Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ὃ,That which,RelPro-NNS,G3739,1 John 1,1
ἦν,was,V-IIA-3S,G1510,1 John 1,2
ἀπ,from,Prep,G575,1 John 1,3
ἀρχῆς,the beginning,N-GFS,G746,1 John 1,4
ὃ,that which,RelPro-ANS,G3739,1 John 1,5
ἀκηκόαμεν,we have heard,V-RIA-1P,G191,1 John 1,6
ἑωράκαμεν,we have seen,V-RIA-1P,G3708,1 John 1,7
τοῖς,with the,Art-DMP,G3588,1 John 1,8
ὀφθαλμοῖς,eyes,N-DMP,G3788,1 John 1,9
ἡμῶν,of us,PPro-G1P,G1473,1 John 1,10
ἐθεασάμεθα,we have gazed upon,V-AIM-1P,G2300,1 John 1,11
καὶ,and,Conj,G2532,1 John 1,12
αἱ,the,Art-NFP,G3588,1 John 1,13
χεῖρες,hands,N-NFP,G5495,1 John 1,14
ἐψηλάφησαν,have handled,V-AIA-3P,G5584,1 John 1,15
περὶ,concerning,Prep,G4012,1 John 1,16
τοῦ,the,Art-GMS,G3588,1 John 1,17
Λόγου,Word,N-GMS,G3056,1 John 1,18
τῆς,-,Art-GFS,G3588,1 John 1,19
ζωῆς,of life,N-GFS,G2222,1 John 1,20
ἡ,the,Art-NFS,G3588,1 John 1,21
ζωὴ,life,N-NFS,G2222,1 John 1,22
ἐφανερώθη,was made manifest,V-AIP-3S,G5319,1 John 1,23
μαρτυροῦμεν,bear witness,V-PIA-1P,G3140,1 John 1,24
ἀπαγγέλλομεν,we proclaim,V-PIA-1P,G518,1 John 1,25
ὑμῖν,to you,PPro-D2P,G4771,1 John 1,26
τὴν,the,Art-AFS,G3588,1 John 1,27
ζωὴν,life,N-AFS,G2222,1 John 1,28
αἰώνιον,eternal,Adj-AFS,G166,1 John 1,29
ἥτις,which,RelPro-NFS,G3748,1 John 1,30
πρὸς,with,Prep,G4314,1 John 1,31
τὸν,the,Art-AMS,G3588,1 John 1,32
Πατέρα,Father,N-AMS,G3962,1 John 1,33
ἡμῖν,to us,PPro-D1P,G1473,1 John 1,34
ἵνα,so that,Conj,G2443,1 John 1,35
ὑμεῖς,you,PPro-N2P,G4771,1 John 1,36
κοινωνίαν,fellowship,N-AFS,G2842,1 John 1,37
ἔχητε,may have,V-PSA-2P,G2192,1 John 1,38
μεθ,with,Prep,G3326,1 John 1,39
κοινωνία,fellowship,N-NFS,G2842,1 John 1,40
δὲ,now,Conj,G1161,1 John 1,41
ἡμετέρα,of us,PPro-NF1P,G2251,1 John 1,42
μετὰ,is with,Prep,G3326,1 John 1,43
