Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,1 Corinthians 1,1
κλητὸς,a called,Adj-NMS,G2822,1 Corinthians 1,2
ἀπόστολος,apostle,N-NMS,G652,1 Corinthians 1,3
Χριστοῦ,of Christ,N-GMS,G5547,1 Corinthians 1,4
Ἰησοῦ,Jesus,N-GMS,G2424,1 Corinthians 1,5
διὰ,by the,Prep,G1223,1 Corinthians 1,6
θελήματος,will,N-GNS,G2307,1 Corinthians 1,7
Θεοῦ,of God,N-GMS,G2316,1 Corinthians 1,8
καὶ,and,Conj,G2532,1 Corinthians 1,9
Σωσθένης,Sosthenes,N-NMS,G4988,1 Corinthians 1,10
ὁ,the,Art-NMS,G3588,1 Corinthians 1,11
ἀδελφὸς,brother,N-NMS,G80,1 Corinthians 1,12
ἐκκλησίᾳ,church,N-DFS,G1577,1 Corinthians 1,13
οὔσῃ,being,V-PPA-DFS,G1510,1 Corinthians 1,14
ἐν,in,Prep,G1722,1 Corinthians 1,15
Κορίνθῳ» ,Corinth,N-DFS,G2882,1 Corinthians 1,16
ἡγιασμένοις,having been sanctified,V-RPM/P-DMP,G37,1 Corinthians 1,17
ἁγίοις,holy,Adj-DMP,G40,1 Corinthians 1,18
σὺν,together with,Prep,G4862,1 Corinthians 1,19
πᾶσιν,all,Adj-DMP,G3956,1 Corinthians 1,20
ἐπικαλουμένοις,calling on,V-PPM-DMP,G1941,1 Corinthians 1,21
ὄνομα,name,N-ANS,G3686,1 Corinthians 1,22
Κυρίου,Lord,N-GMS,G2962,1 Corinthians 1,23
ἡμῶν,of us,PPro-G1P,G1473,1 Corinthians 1,24
τόπῳ,place,N-DMS,G5117,1 Corinthians 1,25
αὐτῶν,both theirs,PPro-GM3P,G846,1 Corinthians 1,26
Χάρις,Grace,N-NFS,G5485,1 Corinthians 1,27
ὑμῖν,to you,PPro-D2P,G4771,1 Corinthians 1,28
εἰρήνη,peace,N-NFS,G1515,1 Corinthians 1,29
ἀπὸ,from,Prep,G575,1 Corinthians 1,30
Πατρὸς,Father,N-GMS,G3962,1 Corinthians 1,31
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,1 Corinthians 1,32
πάντοτε,always,Adv,G3842,1 Corinthians 1,33
περὶ,concerning,Prep,G4012,1 Corinthians 1,34
ἐπὶ,for,Prep,G1909,1 Corinthians 1,35
δοθείσῃ,having been given,V-APP-DFS,G1325,1 Corinthians 1,36
ὅτι,that,Conj,G3754,1 Corinthians 1,37
ἐπλουτίσθητε,you have been enriched,V-AIP-2P,G4148,1 Corinthians 1,38
λόγῳ,speech,N-DMS,G3056,1 Corinthians 1,39
γνώσει,knowledge,N-DFS,G1108,1 Corinthians 1,40
καθὼς,as,Adv,G2531,1 Corinthians 1,41
μαρτύριον,testimony,N-NNS,G3142,1 Corinthians 1,42
ἐβεβαιώθη,was confirmed,V-AIP-3S,G950,1 Corinthians 1,43
ὥστε,so as for,Conj,G5620,1 Corinthians 1,44
μὴ,not,Adv,G3361,1 Corinthians 1,45
ὑστερεῖσθαι,to be lacking,V-PNM/P,G5302,1 Corinthians 1,46
μηδενὶ,not one,Adj-DNS,G3367,1 Corinthians 1,47
χαρίσματι,gift,N-DNP,G5486,1 Corinthians 1,48
ἀπεκδεχομένους,eagerly awaiting,V-PPM/P-AMP,G553,1 Corinthians 1,49
ἀποκάλυψιν,revelation,N-AFS,G602,1 Corinthians 1,50
ὃς,who,RelPro-NMS,G3739,1 Corinthians 1,51
ἕως,to the,Prep,G2193,1 Corinthians 1,52
τέλους,end,N-GNS,G5056,1 Corinthians 1,53
ἀνεγκλήτους,blameless,Adj-AMP,G410,1 Corinthians 1,54
ἡμέρᾳ,day,N-DFS,G2250,1 Corinthians 1,55
πιστὸς,Faithful is,Adj-NMS,G4103,1 Corinthians 1,56
ἐκλήθητε,you were called,V-AIP-2P,G2564,1 Corinthians 1,57
εἰς,into,Prep,G1519,1 Corinthians 1,58
κοινωνίαν,fellowship,N-AFS,G2842,1 Corinthians 1,59
Υἱοῦ,Son,N-GMS,G5207,1 Corinthians 1,60
