Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,1 Timothy 1,1
ἀπόστολος,an apostle,N-NMS,G652,1 Timothy 1,2
Χριστοῦ,of Christ,N-GMS,G5547,1 Timothy 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,1 Timothy 1,4
κατ,according to,Prep,G2596,1 Timothy 1,5
ἐπιταγὴν,the command,N-AFS,G2003,1 Timothy 1,6
Θεοῦ,of God,N-GMS,G2316,1 Timothy 1,7
Σωτῆρος,the Savior,N-GMS,G4990,1 Timothy 1,8
ἡμῶν,of us,PPro-G1P,G1473,1 Timothy 1,9
καὶ,and,Conj,G2532,1 Timothy 1,10
τῆς,the,Art-GFS,G3588,1 Timothy 1,11
ἐλπίδος,hope,N-GFS,G1680,1 Timothy 1,12
Τιμοθέῳ,To Timothy,N-DMS,G5095,1 Timothy 1,13
γνησίῳ,my true,Adj-DNS,G1103,1 Timothy 1,14
τέκνῳ,child,N-DNS,G5043,1 Timothy 1,15
ἐν,in,Prep,G1722,1 Timothy 1,16
πίστει,the faith,N-DFS,G4102,1 Timothy 1,17
Χάρις,Grace,N-NFS,G5485,1 Timothy 1,18
ἔλεος,mercy,N-NNS,G1656,1 Timothy 1,19
εἰρήνη,and peace,N-NFS,G1515,1 Timothy 1,20
ἀπὸ,from,Prep,G575,1 Timothy 1,21
πατρὸς,the Father,N-GMS,G3962,1 Timothy 1,22
κυρίου,Lord,N-GMS,G2962,1 Timothy 1,23
Καθὼς,Just as,Adv,G2531,1 Timothy 1,24
παρεκάλεσά,I urged,V-AIA-1S,G3870,1 Timothy 1,25
σε,you,PPro-A2S,G4771,1 Timothy 1,26
προσμεῖναι,to remain,V-ANA,G4357,1 Timothy 1,27
Ἐφέσῳ,Ephesus,N-DFS,G2181,1 Timothy 1,28
πορευόμενος,when I was going,V-PPM/P-NMS,G4198,1 Timothy 1,29
εἰς,to,Prep,G1519,1 Timothy 1,30
Μακεδονίαν,Macedonia,N-AFS,G3109,1 Timothy 1,31
ἵνα,so that,Conj,G2443,1 Timothy 1,32
παραγγείλῃς,you might warn,V-ASA-2S,G3853,1 Timothy 1,33
τισὶν,certain men,IPro-DMP,G5100,1 Timothy 1,34
μὴ,not,Adv,G3361,1 Timothy 1,35
ἑτεροδιδασκαλεῖν,to teach other doctrines,V-PNA,G2085,1 Timothy 1,36
μηδὲ,nor,Conj,G3366,1 Timothy 1,37
προσέχειν,to give heed,V-PNA,G4337,1 Timothy 1,38
μύθοις,to myths,N-DMP,G3454,1 Timothy 1,39
γενεαλογίαις,genealogies,N-DFP,G1076,1 Timothy 1,40
