Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,2 Corinthians 1,1
ἀπόστολος,apostle,N-NMS,G652,2 Corinthians 1,2
Χριστοῦ,of Christ,N-GMS,G5547,2 Corinthians 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,2 Corinthians 1,4
διὰ,by,Prep,G1223,2 Corinthians 1,5
θελήματος,the will,N-GNS,G2307,2 Corinthians 1,6
Θεοῦ,of God,N-GMS,G2316,2 Corinthians 1,7
καὶ,and,Conj,G2532,2 Corinthians 1,8
Τιμόθεος,Timothy,N-NMS,G5095,2 Corinthians 1,9
ὁ,the,Art-NMS,G3588,2 Corinthians 1,10
ἀδελφὸς,brother,N-NMS,G80,2 Corinthians 1,11
Τῇ,To the,Art-DFS,G3588,2 Corinthians 1,12
ἐκκλησίᾳ,church,N-DFS,G1577,2 Corinthians 1,13
τοῦ,-,Art-GMS,G3588,2 Corinthians 1,14
τῇ,-,Art-DFS,G3588,2 Corinthians 1,15
οὔσῃ,being,V-PPA-DFS,G1510,2 Corinthians 1,16
ἐν,in,Prep,G1722,2 Corinthians 1,17
Κορίνθῳ,Corinth,N-DFS,G2882,2 Corinthians 1,18
σὺν,with,Prep,G4862,2 Corinthians 1,19
τοῖς,the,Art-DMP,G3588,2 Corinthians 1,20
ἁγίοις,saints,Adj-DMP,G40,2 Corinthians 1,21
πᾶσιν,all,Adj-DMP,G3956,2 Corinthians 1,22
οὖσιν,being,V-PPA-DMP,G1510,2 Corinthians 1,23
ὅλῃ,all,Adj-DFS,G3650,2 Corinthians 1,24
Ἀχαΐᾳ,Achaia,N-DFS,G882,2 Corinthians 1,25
Χάρις,Grace,N-NFS,G5485,2 Corinthians 1,26
ὑμῖν,to you,PPro-D2P,G4771,2 Corinthians 1,27
εἰρήνη,peace,N-NFS,G1515,2 Corinthians 1,28
ἀπὸ,from,Prep,G575,2 Corinthians 1,29
Πατρὸς,the Father,N-GMS,G3962,2 Corinthians 1,30
ἡμῶν,of us,PPro-G1P,G1473,2 Corinthians 1,31
Κυρίου,the Lord,N-GMS,G2962,2 Corinthians 1,32
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,2 Corinthians 1,33
Θεὸς,God,N-NMS,G2316,2 Corinthians 1,34
Πατὴρ,Father,N-NMS,G3962,2 Corinthians 1,35
τῶν,-,Art-GMP,G3588,2 Corinthians 1,36
οἰκτιρμῶν,of compassions,N-GMP,G3628,2 Corinthians 1,37
πάσης,of all,Adj-GFS,G3956,2 Corinthians 1,38
παρακλήσεως,comfort,N-GFS,G3874,2 Corinthians 1,39
παρακαλῶν,comforting,V-PPA-NMS,G3870,2 Corinthians 1,40
ἡμᾶς,us,PPro-A1P,G1473,2 Corinthians 1,41
ἐπὶ,in,Prep,G1909,2 Corinthians 1,42
πάσῃ,all,Adj-DFS,G3956,2 Corinthians 1,43
θλίψει,tribulation,N-DFS,G2347,2 Corinthians 1,44
εἰς,for,Prep,G1519,2 Corinthians 1,45
τὸ,-,Art-ANS,G3588,2 Corinthians 1,46
δύνασθαι,to be able,V-PNM/P,G1410,2 Corinthians 1,47
παρακαλεῖν,to comfort,V-PNA,G3870,2 Corinthians 1,48
τοὺς,those,Art-AMP,G3588,2 Corinthians 1,49
τῆς,the,Art-GFS,G3588,2 Corinthians 1,50
ἧς,with which,RelPro-GFS,G3739,2 Corinthians 1,51
παρακαλούμεθα,we are comforted,V-PIM/P-1P,G3870,2 Corinthians 1,52
αὐτοὶ,ourselves,PPro-NM3P,G846,2 Corinthians 1,53
ὑπὸ,by,Prep,G5259,2 Corinthians 1,54
ὅτι,because,Conj,G3754,2 Corinthians 1,55
καθὼς,as,Adv,G2531,2 Corinthians 1,56
περισσεύει,abound,V-PIA-3S,G4052,2 Corinthians 1,57
τὰ,the,Art-NNP,G3588,2 Corinthians 1,58
παθήματα,sufferings,N-NNP,G3804,2 Corinthians 1,59
οὕτως,thus so,Adv,G3779,2 Corinthians 1,60
ἡ,the,Art-NFS,G3588,2 Corinthians 1,61
