Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Συμεὼν,Simon,N-NMS,G4826,2 Peter 1,1
Πέτρος,Peter,N-NMS,G4074,2 Peter 1,2
δοῦλος,a servant,N-NMS,G1401,2 Peter 1,3
καὶ,and,Conj,G2532,2 Peter 1,4
ἀπόστολος,apostle,N-NMS,G652,2 Peter 1,5
Ἰησοῦ,of Jesus,N-GMS,G2424,2 Peter 1,6
Χριστοῦ,Christ,N-GMS,G5547,2 Peter 1,7
Τοῖς,To those,Art-DMP,G3588,2 Peter 1,8
ἰσότιμον,equally precious,Adj-AFS,G2472,2 Peter 1,9
ἡμῖν,with ours,PPro-D1P,G1473,2 Peter 1,10
λαχοῦσιν,having obtained,V-APA-DMP,G2975,2 Peter 1,11
πίστιν,a faith,N-AFS,G4102,2 Peter 1,12
ἐν,through,Prep,G1722,2 Peter 1,13
δικαιοσύνῃ,the righteousness,N-DFS,G1343,2 Peter 1,14
Θεοῦ,God,N-GMS,G2316,2 Peter 1,15
Σωτῆρος,Savior,N-GMS,G4990,2 Peter 1,16
Χάρις,Grace,N-NFS,G5485,2 Peter 1,17
ὑμῖν,to you,PPro-D2P,G4771,2 Peter 1,18
εἰρήνη,peace,N-NFS,G1515,2 Peter 1,19
πληθυνθείη,be multiplied,V-AOP-3S,G4129,2 Peter 1,20
ἐπιγνώσει,the knowledge,N-DFS,G1922,2 Peter 1,21
Κυρίου,Lord,N-GMS,G2962,2 Peter 1,22
Ὡς,Accordingly,Adv,G5613,2 Peter 1,23
πάντα,all things,Adj-ANP,G3956,2 Peter 1,24
θείας,divine,Adj-GFS,G2304,2 Peter 1,25
δυνάμεως,power,N-GFS,G1411,2 Peter 1,26
αὐτοῦ,of Him,PPro-GM3S,G846,2 Peter 1,27
πρὸς,toward,Prep,G4314,2 Peter 1,28
ζωὴν,life,N-AFS,G2222,2 Peter 1,29
εὐσέβειαν,godliness,N-AFS,G2150,2 Peter 1,30
δεδωρημένης,has given,V-RPM/P-GFS,G1433,2 Peter 1,31
διὰ,through,Prep,G1223,2 Peter 1,32
καλέσαντος,having called,V-APA-GMS,G2564,2 Peter 1,33
ἰδίᾳ,by His own,Adj-DFS,G2398,2 Peter 1,34
δόξῃ,glory,N-DFS,G1391,2 Peter 1,35
ἀρετῇ,excellence,N-DFS,G703,2 Peter 1,36
ὧν,which,RelPro-GNP,G3739,2 Peter 1,37
τίμια,precious,Adj-ANP,G5093,2 Peter 1,38
μέγιστα,magnificent,Adj-ANP-S,G3173,2 Peter 1,39
ἐπαγγέλματα,promises,N-ANP,G1862,2 Peter 1,40
ἵνα,so that,Conj,G2443,2 Peter 1,41
τούτων,these,DPro-GNP,G3778,2 Peter 1,42
γένησθε,you might become,V-ASM-2P,G1096,2 Peter 1,43
κοινωνοὶ,partakers,N-NMP,G2844,2 Peter 1,44
φύσεως,nature,N-GFS,G5449,2 Peter 1,45
ἀποφυγόντες,having escaped,V-APA-NMP,G668,2 Peter 1,46
κόσμῳ,world,N-DMS,G2889,2 Peter 1,47
ἐπιθυμίᾳ,desire,N-DFS,G1939,2 Peter 1,48
φθορᾶς,decay,N-GFS,G5356,2 Peter 1,49
δὲ,now,Conj,G1161,2 Peter 1,50
σπουδὴν,earnestness,N-AFS,G4710,2 Peter 1,51
παρεισενέγκαντες,having brought in,V-APA-NMP,G3923,2 Peter 1,52
ἐπιχορηγήσατε,supplement,V-AMA-2P,G2023,2 Peter 1,53
γνῶσιν,knowledge,N-AFS,G1108,2 Peter 1,54
ἐγκράτειαν,self-control,N-AFS,G1466,2 Peter 1,55
