Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,2 Thessalonians 1,1
καὶ,and,Conj,G2532,2 Thessalonians 1,2
Σιλουανὸς,Silvanus,N-NMS,G4610,2 Thessalonians 1,3
Τιμόθεος,Timothy,N-NMS,G5095,2 Thessalonians 1,4
Τῇ,To the,Art-DFS,G3588,2 Thessalonians 1,5
ἐκκλησίᾳ,church,N-DFS,G1577,2 Thessalonians 1,6
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,2 Thessalonians 1,7
ἐν,in,Prep,G1722,2 Thessalonians 1,8
Θεῷ,God,N-DMS,G2316,2 Thessalonians 1,9
Πατρὶ,the Father,N-DMS,G3962,2 Thessalonians 1,10
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,11
Κυρίῳ,the Lord,N-DMS,G2962,2 Thessalonians 1,12
Ἰησοῦ,Jesus,N-DMS,G2424,2 Thessalonians 1,13
Χριστῷ,Christ,N-DMS,G5547,2 Thessalonians 1,14
Χάρις,Grace,N-NFS,G5485,2 Thessalonians 1,15
ὑμῖν,to you,PPro-D2P,G4771,2 Thessalonians 1,16
εἰρήνη,peace,N-NFS,G1515,2 Thessalonians 1,17
ἀπὸ,from,Prep,G575,2 Thessalonians 1,18
Θεοῦ,God,N-GMS,G2316,2 Thessalonians 1,19
Πατρὸς,the Father,N-GMS,G3962,2 Thessalonians 1,20
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,21
Κυρίου,the Lord,N-GMS,G2962,2 Thessalonians 1,22
Ἰησοῦ,Jesus,N-GMS,G2424,2 Thessalonians 1,23
Χριστοῦ,Christ,N-GMS,G5547,2 Thessalonians 1,24
Εὐχαριστεῖν,To thank,V-PNA,G2168,2 Thessalonians 1,25
ὀφείλομεν,we ought,V-PIA-1P,G3784,2 Thessalonians 1,26
τῷ,-,Art-DMS,G3588,2 Thessalonians 1,27
πάντοτε,always,Adv,G3842,2 Thessalonians 1,28
περὶ,concerning,Prep,G4012,2 Thessalonians 1,29
ὑμῶν,you,PPro-G2P,G4771,2 Thessalonians 1,30
ἀδελφοί,brothers,N-VMP,G80,2 Thessalonians 1,31
καθὼς,just as,Adv,G2531,2 Thessalonians 1,32
ἄξιόν,fitting,Adj-NNS,G514,2 Thessalonians 1,33
ἐστιν,it is,V-PIA-3S,G1510,2 Thessalonians 1,34
ὅτι,because,Conj,G3754,2 Thessalonians 1,35
ὑπεραυξάνει,is increasing exceedingly,V-PIA-3S,G5232,2 Thessalonians 1,36
ἡ,the,Art-NFS,G3588,2 Thessalonians 1,37
πίστις,faith,N-NFS,G4102,2 Thessalonians 1,38
πλεονάζει,is abounding,V-PIA-3S,G4121,2 Thessalonians 1,39
ἀγάπη,love,N-NFS,G26,2 Thessalonians 1,40
ἑνὸς,of one,Adj-GMS,G1520,2 Thessalonians 1,41
ἑκάστου,each,Adj-GMS,G1538,2 Thessalonians 1,42
πάντων,of all,Adj-GMP,G3956,2 Thessalonians 1,43
εἰς,to,Prep,G1519,2 Thessalonians 1,44
ἀλλήλους,one another,RecPro-AMP,G240,2 Thessalonians 1,45
ὥστε,so as for,Conj,G5620,2 Thessalonians 1,46
αὐτοὺς,ourselves,PPro-AM3P,G846,2 Thessalonians 1,47
ἡμᾶς,us,PPro-A1P,G1473,2 Thessalonians 1,48
ἐνκαυχᾶσθαι,to boast,V-PNM/P,G2744,2 Thessalonians 1,49
ταῖς,the,Art-DFP,G3588,2 Thessalonians 1,50
ἐκκλησίαις,churches,N-DFP,G1577,2 Thessalonians 1,51
τοῦ,-,Art-GMS,G3588,2 Thessalonians 1,52
ὑπὲρ,about,Prep,G5228,2 Thessalonians 1,53
τῆς,the,Art-GFS,G3588,2 Thessalonians 1,54
ὑπομονῆς,perseverance,N-GFS,G5281,2 Thessalonians 1,55
πίστεως,faith,N-GFS,G4102,2 Thessalonians 1,56
πᾶσιν,all,Adj-DMP,G3956,2 Thessalonians 1,57
τοῖς,the,Art-DMP,G3588,2 Thessalonians 1,58
διωγμοῖς,persecutions,N-DMP,G1375,2 Thessalonians 1,59
θλίψεσιν,tribulations,N-DFP,G2347,2 Thessalonians 1,60
αἷς,that,RelPro-DFP,G3739,2 Thessalonians 1,61
ἀνέχεσθε,you are bearing,V-PIM/P-2P,G430,2 Thessalonians 1,62
Ἔνδειγμα,This is a plain token,N-NNS,G1730,2 Thessalonians 1,63
δικαίας,righteous,Adj-GFS,G1342,2 Thessalonians 1,64
κρίσεως,judgment,N-GFS,G2920,2 Thessalonians 1,65
τὸ,-,Art-ANS,G3588,2 Thessalonians 1,66
καταξιωθῆναι,to be accounted worthy,V-ANP,G2661,2 Thessalonians 1,67
ὑμᾶς,you,PPro-A2P,G4771,2 Thessalonians 1,68
βασιλείας,kingdom,N-GFS,G932,2 Thessalonians 1,69
ἧς,which,RelPro-GFS,G3739,2 Thessalonians 1,70
πάσχετε,you suffer,V-PIA-2P,G3958,2 Thessalonians 1,71
εἴπερ,For indeed,Conj,G1512,2 Thessalonians 1,72
δίκαιον,righteous it is,Adj-NNS,G1342,2 Thessalonians 1,73
παρὰ,with,Prep,G3844,2 Thessalonians 1,74
ἀνταποδοῦναι,to repay,V-ANA,G467,2 Thessalonians 1,75
θλίβουσιν,oppressing,V-PPA-DMP,G2346,2 Thessalonians 1,76
θλῖψιν,with affliction,N-AFS,G2347,2 Thessalonians 1,77
θλιβομένοις,being oppressed,V-PPM/P-DMP,G2346,2 Thessalonians 1,78
ἄνεσιν,repose,N-AFS,G425,2 Thessalonians 1,79
μεθ,with,Prep,G3326,2 Thessalonians 1,80
τῇ,the,Art-DFS,G3588,2 Thessalonians 1,81
ἀποκαλύψει,revelation,N-DFS,G602,2 Thessalonians 1,82
ἀπ,from,Prep,G575,2 Thessalonians 1,83
οὐρανοῦ,heaven,N-GMS,G3772,2 Thessalonians 1,84
μετ,with,Prep,G3326,2 Thessalonians 1,85
ἀγγέλων,the angels,N-GMP,G32,2 Thessalonians 1,86
δυνάμεως,mighty,N-GFS,G1411,2 Thessalonians 1,87
αὐτοῦ,of Him,PPro-GM3S,G846,2 Thessalonians 1,88
πυρὶ ,a fire,N-DNS,G4442,2 Thessalonians 1,89
φλογός,of flame,N-GFS,G5395,2 Thessalonians 1,90
διδόντος,inflicting,V-PPA-GMS,G1325,2 Thessalonians 1,91
ἐκδίκησιν,vengeance,N-AFS,G1557,2 Thessalonians 1,92
μὴ,not,Adv,G3361,2 Thessalonians 1,93
εἰδόσιν,knowing,V-RPA-DMP,G1492,2 Thessalonians 1,94
Θεὸν,God,N-AMS,G2316,2 Thessalonians 1,95
ὑπακούουσιν,obeying,V-PPA-DMP,G5219,2 Thessalonians 1,96
τῷ,the,Art-DNS,G3588,2 Thessalonians 1,97
εὐαγγελίῳ,gospel,N-DNS,G2098,2 Thessalonians 1,98
οἵτινες,who,RelPro-NMP,G3748,2 Thessalonians 1,99
δίκην,the penalty,N-AFS,G1349,2 Thessalonians 1,100
τίσουσιν,will suffer,V-FIA-3P,G5099,2 Thessalonians 1,101
ὄλεθρον,of destruction,N-AMS,G3639,2 Thessalonians 1,102
αἰώνιον,eternal,Adj-AMS,G166,2 Thessalonians 1,103
προσώπου,the presence,N-GNS,G4383,2 Thessalonians 1,104
δόξης,glory,N-GFS,G1391,2 Thessalonians 1,105
ἰσχύος,power,N-GFS,G2479,2 Thessalonians 1,106
ὅταν,when,Conj,G3752,2 Thessalonians 1,107
ἔλθῃ,He shall come,V-ASA-3S,G2064,2 Thessalonians 1,108
ἐνδοξασθῆναι,to be glorified,V-ANP,G1740,2 Thessalonians 1,109
ἁγίοις,saints,Adj-DMP,G40,2 Thessalonians 1,110
θαυμασθῆναι,to be marveled at,V-ANP,G2296,2 Thessalonians 1,111
πιστεύσασιν,having believed,V-APA-DMP,G4100,2 Thessalonians 1,112
ἐπιστεύθη,was believed,V-AIP-3S,G4100,2 Thessalonians 1,113
τὸ,the,Art-NNS,G3588,2 Thessalonians 1,114
μαρτύριον,testimony,N-NNS,G3142,2 Thessalonians 1,115
ἐφ,to,Prep,G1909,2 Thessalonians 1,116
