Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,2 Thessalonians 1,1
καὶ,and,Conj,G2532,2 Thessalonians 1,2
Σιλουανὸς,Silvanus,N-NMS,G4610,2 Thessalonians 1,3
Τιμόθεος,Timothy,N-NMS,G5095,2 Thessalonians 1,4
Τῇ,To the,Art-DFS,G3588,2 Thessalonians 1,5
ἐκκλησίᾳ,church,N-DFS,G1577,2 Thessalonians 1,6
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,2 Thessalonians 1,7
ἐν,in,Prep,G1722,2 Thessalonians 1,8
Θεῷ,God,N-DMS,G2316,2 Thessalonians 1,9
Πατρὶ,the Father,N-DMS,G3962,2 Thessalonians 1,10
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,11
Κυρίῳ,the Lord,N-DMS,G2962,2 Thessalonians 1,12
Ἰησοῦ,Jesus,N-DMS,G2424,2 Thessalonians 1,13
Χριστῷ,Christ,N-DMS,G5547,2 Thessalonians 1,14
Χάρις,Grace,N-NFS,G5485,2 Thessalonians 1,15
ὑμῖν,to you,PPro-D2P,G4771,2 Thessalonians 1,16
εἰρήνη,peace,N-NFS,G1515,2 Thessalonians 1,17
ἀπὸ,from,Prep,G575,2 Thessalonians 1,18
Εὐχαριστεῖν,To thank,V-PNA,G2168,2 Thessalonians 1,19
ὀφείλομεν,we ought,V-PIA-1P,G3784,2 Thessalonians 1,20
πάντοτε,always,Adv,G3842,2 Thessalonians 1,21
περὶ,concerning,Prep,G4012,2 Thessalonians 1,22
ἀδελφοί,brothers,N-VMP,G80,2 Thessalonians 1,23
καθὼς,just as,Adv,G2531,2 Thessalonians 1,24
ἄξιόν,fitting,Adj-NNS,G514,2 Thessalonians 1,25
ἐστιν,it is,V-PIA-3S,G1510,2 Thessalonians 1,26
ὅτι,because,Conj,G3754,2 Thessalonians 1,27
ὑπεραυξάνει,is increasing exceedingly,V-PIA-3S,G5232,2 Thessalonians 1,28
πίστις,faith,N-NFS,G4102,2 Thessalonians 1,29
πλεονάζει,is abounding,V-PIA-3S,G4121,2 Thessalonians 1,30
ἀγάπη,love,N-NFS,G26,2 Thessalonians 1,31
ἑνὸς,of one,Adj-GMS,G1520,2 Thessalonians 1,32
ἑκάστου,each,Adj-GMS,G1538,2 Thessalonians 1,33
πάντων,of all,Adj-GMP,G3956,2 Thessalonians 1,34
εἰς,to,Prep,G1519,2 Thessalonians 1,35
ἀλλήλους,one another,RecPro-AMP,G240,2 Thessalonians 1,36
ὥστε,so as for,Conj,G5620,2 Thessalonians 1,37
αὐτοὺς,ourselves,PPro-AM3P,G846,2 Thessalonians 1,38
ἐνκαυχᾶσθαι,to boast,V-PNM/P,G2744,2 Thessalonians 1,39
ὑπὲρ,about,Prep,G5228,2 Thessalonians 1,40
ὑπομονῆς,perseverance,N-GFS,G5281,2 Thessalonians 1,41
διωγμοῖς,persecutions,N-DMP,G1375,2 Thessalonians 1,42
θλίψεσιν,tribulations,N-DFP,G2347,2 Thessalonians 1,43
αἷς,that,RelPro-DFP,G3739,2 Thessalonians 1,44
ἀνέχεσθε,you are bearing,V-PIM/P-2P,G430,2 Thessalonians 1,45
Ἔνδειγμα,This is a plain token,N-NNS,G1730,2 Thessalonians 1,46
δικαίας,righteous,Adj-GFS,G1342,2 Thessalonians 1,47
κρίσεως,judgment,N-GFS,G2920,2 Thessalonians 1,48
καταξιωθῆναι,to be accounted worthy,V-ANP,G2661,2 Thessalonians 1,49
βασιλείας,kingdom,N-GFS,G932,2 Thessalonians 1,50
πάσχετε,you suffer,V-PIA-2P,G3958,2 Thessalonians 1,51
εἴπερ,For indeed,Conj,G1512,2 Thessalonians 1,52
παρὰ,with,Prep,G3844,2 Thessalonians 1,53
ἀνταποδοῦναι,to repay,V-ANA,G467,2 Thessalonians 1,54
θλίβουσιν,oppressing,V-PPA-DMP,G2346,2 Thessalonians 1,55
ἄνεσιν,repose,N-AFS,G425,2 Thessalonians 1,56
μεθ,with,Prep,G3326,2 Thessalonians 1,57
ἀποκαλύψει,revelation,N-DFS,G602,2 Thessalonians 1,58
οὐρανοῦ,heaven,N-GMS,G3772,2 Thessalonians 1,59
ἀγγέλων,the angels,N-GMP,G32,2 Thessalonians 1,60
δυνάμεως,mighty,N-GFS,G1411,2 Thessalonians 1,61
πυρὶ ,a fire,N-DNS,G4442,2 Thessalonians 1,62
φλογός,of flame,N-GFS,G5395,2 Thessalonians 1,63
διδόντος,inflicting,V-PPA-GMS,G1325,2 Thessalonians 1,64
ἐκδίκησιν,vengeance,N-AFS,G1557,2 Thessalonians 1,65
μὴ,not,Adv,G3361,2 Thessalonians 1,66
εἰδόσιν,knowing,V-RPA-DMP,G1492,2 Thessalonians 1,67
ὑπακούουσιν,obeying,V-PPA-DMP,G5219,2 Thessalonians 1,68
εὐαγγελίῳ,gospel,N-DNS,G2098,2 Thessalonians 1,69
οἵτινες,who,RelPro-NMP,G3748,2 Thessalonians 1,70
δίκην,the penalty,N-AFS,G1349,2 Thessalonians 1,71
τίσουσιν,will suffer,V-FIA-3P,G5099,2 Thessalonians 1,72
ὄλεθρον,of destruction,N-AMS,G3639,2 Thessalonians 1,73
αἰώνιον,eternal,Adj-AMS,G166,2 Thessalonians 1,74
προσώπου,the presence,N-GNS,G4383,2 Thessalonians 1,75
δόξης,glory,N-GFS,G1391,2 Thessalonians 1,76
ἰσχύος,power,N-GFS,G2479,2 Thessalonians 1,77
ὅταν,when,Conj,G3752,2 Thessalonians 1,78
ἔλθῃ,He shall come,V-ASA-3S,G2064,2 Thessalonians 1,79
ἐνδοξασθῆναι,to be glorified,V-ANP,G1740,2 Thessalonians 1,80
ἁγίοις,saints,Adj-DMP,G40,2 Thessalonians 1,81
θαυμασθῆναι,to be marveled at,V-ANP,G2296,2 Thessalonians 1,82
πιστεύσασιν,having believed,V-APA-DMP,G4100,2 Thessalonians 1,83
μαρτύριον,testimony,N-NNS,G3142,2 Thessalonians 1,84
ἐφ,to,Prep,G1909,2 Thessalonians 1,85
ἡμέρᾳ,day,N-DFS,G2250,2 Thessalonians 1,86
ἐκείνῃ,that,DPro-DFS,G1565,2 Thessalonians 1,87
προσευχόμεθα,we pray,V-PIM/P-1P,G4336,2 Thessalonians 1,88
ἵνα,that,Conj,G2443,2 Thessalonians 1,89
ἀξιώσῃ,He may count worthy,V-ASA-3S,G515,2 Thessalonians 1,90
κλήσεως,calling,N-GFS,G2821,2 Thessalonians 1,91
πληρώσῃ,He may fulfill,V-ASA-3S,G4137,2 Thessalonians 1,92
εὐδοκίαν,good pleasure,N-AFS,G2107,2 Thessalonians 1,93
ἀγαθωσύνης,of goodness,N-GFS,G19,2 Thessalonians 1,94
ἔργον,work,N-ANS,G2041,2 Thessalonians 1,95
ὅπως,so that,Conj,G3704,2 Thessalonians 1,96
ὄνομα,name,N-NNS,G3686,2 Thessalonians 1,97
κατὰ,according to,Prep,G2596,2 Thessalonians 1,98
Ἐρωτῶμεν,We implore,V-PIA-1P,G2065,2 Thessalonians 2,99
δὲ,now,Conj,G1161,2 Thessalonians 2,100
παρουσίας,coming,N-GFS,G3952,2 Thessalonians 2,101
ἐπισυναγωγῆς,gathering together,N-GFS,G1997,2 Thessalonians 2,102
ταχέως,quickly,Adv,G5030,2 Thessalonians 2,103
σαλευθῆναι,to be shaken,V-ANP,G4531,2 Thessalonians 2,104
νοὸς,mind,N-GMS,G3563,2 Thessalonians 2,105
μηδὲ,nor,Conj,G3366,2 Thessalonians 2,106
θροεῖσθαι,to be troubled,V-PNM/P,G2360,2 Thessalonians 2,107
μήτε,neither,Conj,G3383,2 Thessalonians 2,108
διὰ,by,Prep,G1223,2 Thessalonians 2,109
πνεύματος,spirit,N-GNS,G4151,2 Thessalonians 2,110
λόγου,word,N-GMS,G3056,2 Thessalonians 2,111
ἐπιστολῆς,letter,N-GFS,G1992,2 Thessalonians 2,112
ὡς,as if,Adv,G5613,2 Thessalonians 2,113
ἐνέστηκεν,is present,V-RIA-3S,G1764,2 Thessalonians 2,114
τις,one,IPro-NMS,G5100,2 Thessalonians 2,115
