Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ὁ,The,Art-NMS,G3588,3 John 1,1
πρεσβύτερος,elder,Adj-NMS,G4245,3 John 1,2
Γαΐῳ,To Gaius,N-DMS,G1050,3 John 1,3
τῷ,the,Art-DMS,G3588,3 John 1,4
ἀγαπητῷ,beloved,Adj-DMS,G27,3 John 1,5
ὃν,whom,RelPro-AMS,G3739,3 John 1,6
ἐγὼ,I,PPro-N1S,G1473,3 John 1,7
ἀγαπῶ,love,V-PIA-1S,G25,3 John 1,8
ἐν,in,Prep,G1722,3 John 1,9
ἀληθείᾳ,truth,N-DFS,G225,3 John 1,10
Ἀγαπητέ,Beloved,Adj-VMS,G27,3 John 1,11
περὶ,concerning,Prep,G4012,3 John 1,12
πάντων,all things,Adj-GNP,G3956,3 John 1,13
εὔχομαί,I pray,V-PIM/P-1S,G2172,3 John 1,14
σε,you,PPro-A2S,G4771,3 John 1,15
εὐοδοῦσθαι,to prosper,V-PNM/P,G2137,3 John 1,16
καὶ,and,Conj,G2532,3 John 1,17
ὑγιαίνειν,to be in good health,V-PNA,G5198,3 John 1,18
καθὼς,just as,Adv,G2531,3 John 1,19
εὐοδοῦταί,prospers,V-PIM/P-3S,G2137,3 John 1,20
σου,your,PPro-G2S,G4771,3 John 1,21
ἡ,-,Art-NFS,G3588,3 John 1,22
ψυχή,soul,N-NFS,G5590,3 John 1,23
ἐχάρην,I rejoiced,V-AIP-1S,G5463,3 John 1,24
γὰρ,for,Conj,G1063,3 John 1,25
λίαν,exceedingly,Adv,G3029,3 John 1,26
ἐρχομένων,coming,V-PPM/P-GMP,G2064,3 John 1,27
ἀδελφῶν,of the brothers,N-GMP,G80,3 John 1,28
μαρτυρούντων,bearing witness,V-PPA-GMP,G3140,3 John 1,29
τῇ,-,Art-DFS,G3588,3 John 1,30
σὺ,you,PPro-N2S,G4771,3 John 1,31
περιπατεῖς,are walking,V-PIA-2S,G4043,3 John 1,32
μειζοτέραν,Greater,Adj-AFS-C,G3173,3 John 1,33
τούτων,than these things,DPro-GNP,G3778,3 John 1,34
οὐκ,not,Adv,G3756,3 John 1,35
ἔχω,I have,V-PIA-1S,G2192,3 John 1,36
χαράν,joy,N-AFS,G5479,3 John 1,37
ἵνα,that,Conj,G2443,3 John 1,38
ἀκούω,I should hear of,V-PSA-1S,G191,3 John 1,39
τὰ,-,Art-ANP,G3588,3 John 1,40
ἐμὰ,my,PPro-AN1P,G1699,3 John 1,41
τέκνα,children,N-ANP,G5043,3 John 1,42
περιπατοῦντα,walking,V-PPA-ANP,G4043,3 John 1,43
πιστὸν,faithfully,Adj-ANS,G4103,3 John 1,44
ποιεῖς,you are doing,V-PIA-2S,G4160,3 John 1,45
ὃ,whatever,RelPro-ANS,G3739,3 John 1,46
ἐὰν,if,Conj,G1437,3 John 1,47
ἐργάσῃ,you might have done,V-ASM-2S,G2038,3 John 1,48
εἰς,toward,Prep,G1519,3 John 1,49
τοὺς,the,Art-AMP,G3588,3 John 1,50
ἀδελφοὺς,brothers,N-AMP,G80,3 John 1,51
τοῦτο,they are,DPro-ANS,G3778,3 John 1,52
ξένους,strangers,Adj-AMP,G3581,3 John 1,53
οἳ,who,RelPro-NMP,G3739,3 John 1,54
ἐμαρτύρησάν,testified,V-AIA-3P,G3140,3 John 1,55
ἀγάπῃ,love,N-DFS,G26,3 John 1,56
ἐνώπιον,before,Prep,G1799,3 John 1,57
ἐκκλησίας,the church,N-GFS,G1577,3 John 1,58
