Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ὁ,The,Art-NMS,G3588,3 John 1,1
πρεσβύτερος,elder,Adj-NMS,G4245,3 John 1,2
Γαΐῳ,To Gaius,N-DMS,G1050,3 John 1,3
ἀγαπητῷ,beloved,Adj-DMS,G27,3 John 1,4
ὃν,whom,RelPro-AMS,G3739,3 John 1,5
ἐγὼ,I,PPro-N1S,G1473,3 John 1,6
ἀγαπῶ,love,V-PIA-1S,G25,3 John 1,7
ἐν,in,Prep,G1722,3 John 1,8
ἀληθείᾳ,truth,N-DFS,G225,3 John 1,9
περὶ,concerning,Prep,G4012,3 John 1,10
πάντων,all things,Adj-GNP,G3956,3 John 1,11
εὔχομαί,I pray,V-PIM/P-1S,G2172,3 John 1,12
σε,you,PPro-A2S,G4771,3 John 1,13
εὐοδοῦσθαι,to prosper,V-PNM/P,G2137,3 John 1,14
καὶ,and,Conj,G2532,3 John 1,15
ὑγιαίνειν,to be in good health,V-PNA,G5198,3 John 1,16
καθὼς,just as,Adv,G2531,3 John 1,17
ψυχή,soul,N-NFS,G5590,3 John 1,18
ἐχάρην,I rejoiced,V-AIP-1S,G5463,3 John 1,19
γὰρ,for,Conj,G1063,3 John 1,20
λίαν,exceedingly,Adv,G3029,3 John 1,21
ἐρχομένων,coming,V-PPM/P-GMP,G2064,3 John 1,22
ἀδελφῶν,of the brothers,N-GMP,G80,3 John 1,23
μαρτυρούντων,bearing witness,V-PPA-GMP,G3140,3 John 1,24
περιπατεῖς,are walking,V-PIA-2S,G4043,3 John 1,25
μειζοτέραν,Greater,Adj-AFS-C,G3173,3 John 1,26
τούτων,than these things,DPro-GNP,G3778,3 John 1,27
οὐκ,not,Adv,G3756,3 John 1,28
ἔχω,I have,V-PIA-1S,G2192,3 John 1,29
χαράν,joy,N-AFS,G5479,3 John 1,30
ἵνα,that,Conj,G2443,3 John 1,31
ἀκούω,I should hear of,V-PSA-1S,G191,3 John 1,32
ἐμὰ,my,PPro-AN1P,G1699,3 John 1,33
τέκνα,children,N-ANP,G5043,3 John 1,34
πιστὸν,faithfully,Adj-ANS,G4103,3 John 1,35
ποιεῖς,you are doing,V-PIA-2S,G4160,3 John 1,36
ἐὰν,if,Conj,G1437,3 John 1,37
ἐργάσῃ,you might have done,V-ASM-2S,G2038,3 John 1,38
εἰς,toward,Prep,G1519,3 John 1,39
ξένους,strangers,Adj-AMP,G3581,3 John 1,40
ἀγάπῃ,love,N-DFS,G26,3 John 1,41
ἐνώπιον,before,Prep,G1799,3 John 1,42
ἐκκλησίας,the church,N-GFS,G1577,3 John 1,43
καλῶς,well,Adv,G2573,3 John 1,44
προπέμψας,having set forward,V-APA-NMS,G4311,3 John 1,45
ἀξίως,worthily,Adv,G516,3 John 1,46
Θεοῦ,of God,N-GMS,G2316,3 John 1,47
ὑπὲρ,On behalf,Prep,G5228,3 John 1,48
Ὀνόματος,name,N-GNS,G3686,3 John 1,49
ἐξῆλθον,they went forth,V-AIA-3P,G1831,3 John 1,50
μηδὲν,nothing,Adj-ANS,G3367,3 John 1,51
λαμβάνοντες,accepting,V-PPA-NMP,G2983,3 John 1,52
ἀπὸ,from,Prep,G575,3 John 1,53
ἐθνικῶν,Gentiles,Adj-GMP,G1482,3 John 1,54
οὖν,therefore,Conj,G3767,3 John 1,55
ὀφείλομεν,ought,V-PIA-1P,G3784,3 John 1,56
ὑπολαμβάνειν,to receive,V-PNA,G5274,3 John 1,57
