Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Τὸν,The,Art-AMS,G3588,Acts 1,1
μὲν,indeed,Prtcl,G3303,Acts 1,2
πρῶτον,first,Adj-AMS,G4413,Acts 1,3
λόγον,account,N-AMS,G3056,Acts 1,4
ἐποιησάμην,I composed,V-AIM-1S,G4160,Acts 1,5
περὶ,concerning,Prep,G4012,Acts 1,6
πάντων,all the things,Adj-GNP,G3956,Acts 1,7
ὦ,O,I,G5599,Acts 1,8
Θεόφιλε,Theophilus,N-VMS,G2321,Acts 1,9
ὧν,which,RelPro-GNP,G3739,Acts 1,10
ἤρξατο,began,V-AIM-3S,G756,Acts 1,11
ὁ,-,Art-NMS,G3588,Acts 1,12
Ἰησοῦς,Jesus,N-NMS,G2424,Acts 1,13
ποιεῖν,to do,V-PNA,G4160,Acts 1,14
τε,both,Conj,G5037,Acts 1,15
καὶ,and,Conj,G2532,Acts 1,16
διδάσκειν,to teach,V-PNA,G1321,Acts 1,17
ἄχρι,until,Prep,G891,Acts 1,18
ἧς,the,RelPro-GFS,G3739,Acts 1,19
ἡμέρας,day,N-GFS,G2250,Acts 1,20
ἐντειλάμενος,having given orders,V-APM-NMS,G1781,Acts 1,21
τοῖς,to the,Art-DMP,G3588,Acts 1,22
ἀποστόλοις,apostles,N-DMP,G652,Acts 1,23
διὰ,by,Prep,G1223,Acts 1,24
Πνεύματος,the Spirit,N-GNS,G4151,Acts 1,25
Ἁγίου,Holy,Adj-GNS,G40,Acts 1,26
οὓς,whom,RelPro-AMP,G3739,Acts 1,27
ἐξελέξατο,He had chosen,V-AIM-3S,G1586,Acts 1,28
ἀνελήμφθη,He was taken up,V-AIP-3S,G353,Acts 1,29
οἷς,to whom,RelPro-DMP,G3739,Acts 1,30
παρέστησεν,He presented,V-AIA-3S,G3936,Acts 1,31
ἑαυτὸν,Himself,RefPro-AM3S,G1438,Acts 1,32
ζῶντα,alive,V-PPA-AMS,G2198,Acts 1,33
μετὰ,after,Prep,G3326,Acts 1,34
τὸ,the,Art-ANS,G3588,Acts 1,35
παθεῖν,suffering,V-ANA,G3958,Acts 1,36
αὐτὸν,of Him,PPro-AM3S,G846,Acts 1,37
ἐν,with,Prep,G1722,Acts 1,38
πολλοῖς,many,Adj-DNP,G4183,Acts 1,39
τεκμηρίοις,proofs,N-DNP,G5039,Acts 1,40
δι,during,Prep,G1223,Acts 1,41
ἡμερῶν,days,N-GFP,G2250,Acts 1,42
τεσσεράκοντα,forty,Adj-GFP,G5062,Acts 1,43
ὀπτανόμενος,being seen,V-PPM/P-NMS,G3700,Acts 1,44
αὐτοῖς,by them,PPro-DM3P,G846,Acts 1,45
λέγων,speaking,V-PPA-NMS,G3004,Acts 1,46
τὰ,the things,Art-ANP,G3588,Acts 1,47
τῆς,the,Art-GFS,G3588,Acts 1,48
βασιλείας,kingdom,N-GFS,G932,Acts 1,49
τοῦ,-,Art-GMS,G3588,Acts 1,50
Θεοῦ,of God,N-GMS,G2316,Acts 1,51
Καὶ,And,Conj,G2532,Acts 1,52
συναλιζόμενος,being assembled together,V-PPM/P-NMS,G4871,Acts 1,53
παρήγγειλεν,He instructed,V-AIA-3S,G3853,Acts 1,54
ἀπὸ,from,Prep,G575,Acts 1,55
Ἱεροσολύμων,Jerusalem,N-GNP,G2414,Acts 1,56
μὴ,not,Adv,G3361,Acts 1,57
χωρίζεσθαι,to depart,V-PNM/P,G5563,Acts 1,58
ἀλλὰ,but,Conj,G235,Acts 1,59
περιμένειν,to await,V-PNA,G4037,Acts 1,60
τὴν,the,Art-AFS,G3588,Acts 1,61
ἐπαγγελίαν,promise,N-AFS,G1860,Acts 1,62
Πατρὸς,Father,N-GMS,G3962,Acts 1,63
Ἣν,That which,RelPro-AFS,G3739,Acts 1,64
ἠκούσατέ,you heard,V-AIA-2P,G191,Acts 1,65
μου,of Me,PPro-G1S,G1473,Acts 1,66
ὅτι,for,Conj,G3754,Acts 1,67
Ἰωάννης,John,N-NMS,G2491,Acts 1,68
μὲν,indeed,Conj,G3303,Acts 1,69
ἐβάπτισεν,baptized,V-AIA-3S,G907,Acts 1,70
ὕδατι,with water,N-DNS,G5204,Acts 1,71
ὑμεῖς,you,PPro-N2P,G4771,Acts 1,72
δὲ,however,Conj,G1161,Acts 1,73
Πνεύματι,the Spirit,N-DNS,G4151,Acts 1,74
βαπτισθήσεσθε,will be baptized,V-FIP-2P,G907,Acts 1,75
Ἁγίῳ,Holy,Adj-DNS,G40,Acts 1,76
οὐ,not,Adv,G3756,Acts 1,77
πολλὰς,many,Adj-AFP,G4183,Acts 1,78
ταύτας,these,DPro-AFP,G3778,Acts 1,79
ἡμέρας,days,N-AFP,G2250,Acts 1,80
Οἱ,Those,Art-NMP,G3588,Acts 1,81
οὖν,therefore,Conj,G3767,Acts 1,82
συνελθόντες,having come together,V-APA-NMP,G4905,Acts 1,83
ἠρώτων,were asking,V-IIA-3P,G2065,Acts 1,84
λέγοντες,saying,V-PPA-NMP,G3004,Acts 1,85
Κύριε,Lord,N-VMS,G2962,Acts 1,86
εἰ,if,Conj,G1487,Acts 1,87
τῷ,the,Art-DMS,G3588,Acts 1,88
χρόνῳ,time,N-DMS,G5550,Acts 1,89
τούτῳ,this,DPro-DMS,G3778,Acts 1,90
ἀποκαθιστάνεις,are you restoring,V-PIA-2S,G600,Acts 1,91
βασιλείαν,kingdom,N-AFS,G932,Acts 1,92
Ἰσραήλ,to Israel,N-DMS,G2474,Acts 1,93
Εἶπεν,He said,V-AIA-3S,G2036,Acts 1,94
δὲ,then,Conj,G1161,Acts 1,95
πρὸς,to,Prep,G4314,Acts 1,96
αὐτούς,them,PPro-AM3P,G846,Acts 1,97
Οὐχ,Not,Adv,G3756,Acts 1,98
ὑμῶν,yours,PPro-G2P,G4771,Acts 1,99
ἐστιν,it is,V-PIA-3S,G1510,Acts 1,100
γνῶναι,to know,V-ANA,G1097,Acts 1,101
χρόνους,times,N-AMP,G5550,Acts 1,102
ἢ,or,Conj,G2228,Acts 1,103
καιροὺς,seasons,N-AMP,G2540,Acts 1,104
Πατὴρ,Father,N-NMS,G3962,Acts 1,105
ἔθετο,put in place,V-AIM-3S,G5087,Acts 1,106
τῇ,-,Art-DFS,G3588,Acts 1,107
ἰδίᾳ,His own,Adj-DFS,G2398,Acts 1,108
ἐξουσίᾳ,authority,N-DFS,G1849,Acts 1,109
λήμψεσθε,you will receive,V-FIM-2P,G2983,Acts 1,110
δύναμιν,power,N-AFS,G1411,Acts 1,111
ἐπελθόντος,having come,V-APA-GNS,G1904,Acts 1,112
τοῦ,the,Art-GNS,G3588,Acts 1,113
ἐφ,upon,Prep,G1909,Acts 1,114
ὑμᾶς,you,PPro-A2P,G4771,Acts 1,115
ἔσεσθέ,you will be,V-FIM-2P,G1510,Acts 1,116
μάρτυρες,witnesses,N-NMP,G3144,Acts 1,117
ἔν,in,Prep,G1722,Acts 1,118
Ἰερουσαλὴμ,Jerusalem,N-DFS,G2419,Acts 1,119
πάσῃ,all,Adj-DFS,G3956,Acts 1,120
Ἰουδαίᾳ,Judea,N-DFS,G2449,Acts 1,121
Σαμαρείᾳ,Samaria,N-DFS,G4540,Acts 1,122
ἕως,to,Prep,G2193,Acts 1,123
ἐσχάτου,the uttermost part,Adj-GNS,G2078,Acts 1,124
γῆς,earth,N-GFS,G1093,Acts 1,125
ταῦτα,these things,DPro-ANP,G3778,Acts 1,126
εἰπὼν,having said,V-APA-NMS,G2036,Acts 1,127
βλεπόντων,beholding,V-PPA-GMP,G991,Acts 1,128
αὐτῶν,they,PPro-GM3P,G846,Acts 1,129
ἐπήρθη,He was taken up,V-AIP-3S,G1869,Acts 1,130
νεφέλη,a cloud,N-NFS,G3507,Acts 1,131
ὑπέλαβεν,hid,V-AIA-3S,G5274,Acts 1,132
τῶν,the,Art-GMP,G3588,Acts 1,133
ὀφθαλμῶν,eyes,N-GMP,G3788,Acts 1,134
ὡς,as,Adv,G5613,Acts 1,135
ἀτενίζοντες,looking intently,V-PPA-NMP,G816,Acts 1,136
ἦσαν,they were,V-IIA-3P,G1510,Acts 1,137
εἰς,into,Prep,G1519,Acts 1,138
τὸν,the,Art-AMS,G3588,Acts 1,139
οὐρανὸν,heaven,N-AMS,G3772,Acts 1,140
πορευομένου,as was going,V-PPM/P-GMS,G4198,Acts 1,141
αὐτοῦ,He,PPro-GM3S,G846,Acts 1,142
ἰδοὺ,behold,V-AMA-2S,G2400,Acts 1,143
ἄνδρες,men,N-NMP,G435,Acts 1,144
δύο,two,Adj-NMP,G1417,Acts 1,145
παρειστήκεισαν,stood by,V-LIA-3P,G3936,Acts 1,146
ἐσθήσεσι,apparel,N-DFP,G2066,Acts 1,147
λευκαῖς,white,Adj-DFP,G3022,Acts 1,148
οἳ,who,RelPro-NMP,G3739,Acts 1,149
εἶπαν,said,V-AIA-3P,G2036,Acts 1,150
Ἄνδρες,Men,N-VMP,G435,Acts 1,151
Γαλιλαῖοι,Galileans,N-VMP,G1057,Acts 1,152
τί,why,IPro-ANS,G5101,Acts 1,153
ἑστήκατε,do you stand,V-RIA-2P,G2476,Acts 1,154
βλέποντες,looking,V-PPA-NMP,G991,Acts 1,155
οὐρανόν,heaven,N-AMS,G3772,Acts 1,156
οὗτος,This,DPro-NMS,G3778,Acts 1,157
ἀναλημφθεὶς,having been taken up,V-APP-NMS,G353,Acts 1,158
ἀφ,from,Prep,G575,Acts 1,159
οὕτως,thus,Adv,G3779,Acts 1,160
ἐλεύσεται,will come,V-FIM-3S,G2064,Acts 1,161
ὃν,in that,RelPro-AMS,G3739,Acts 1,162
τρόπον,manner,N-AMS,G5158,Acts 1,163
ἐθεάσασθε,you beheld,V-AIM-2P,G2300,Acts 1,164
