Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Τὸν,The,Art-AMS,G3588,Acts 1,1
μὲν,indeed,Prtcl,G3303,Acts 1,2
πρῶτον,first,Adj-AMS,G4413,Acts 1,3
λόγον,account,N-AMS,G3056,Acts 1,4
ἐποιησάμην,I composed,V-AIM-1S,G4160,Acts 1,5
περὶ,concerning,Prep,G4012,Acts 1,6
πάντων,all the things,Adj-GNP,G3956,Acts 1,7
ὦ,O,I,G5599,Acts 1,8
Θεόφιλε,Theophilus,N-VMS,G2321,Acts 1,9
ὧν,which,RelPro-GNP,G3739,Acts 1,10
ἤρξατο,began,V-AIM-3S,G756,Acts 1,11
Ἰησοῦς,Jesus,N-NMS,G2424,Acts 1,12
τε,both,Conj,G5037,Acts 1,13
καὶ,and,Conj,G2532,Acts 1,14
διδάσκειν,to teach,V-PNA,G1321,Acts 1,15
ἄχρι,until,Prep,G891,Acts 1,16
ἡμέρας,day,N-GFS,G2250,Acts 1,17
ἐντειλάμενος,having given orders,V-APM-NMS,G1781,Acts 1,18
ἀποστόλοις,apostles,N-DMP,G652,Acts 1,19
διὰ,by,Prep,G1223,Acts 1,20
Πνεύματος,the Spirit,N-GNS,G4151,Acts 1,21
Ἁγίου,Holy,Adj-GNS,G40,Acts 1,22
ἐξελέξατο,He had chosen,V-AIM-3S,G1586,Acts 1,23
ἀνελήμφθη,He was taken up,V-AIP-3S,G353,Acts 1,24
παρέστησεν,He presented,V-AIA-3S,G3936,Acts 1,25
ἑαυτὸν,Himself,RefPro-AM3S,G1438,Acts 1,26
ζῶντα,alive,V-PPA-AMS,G2198,Acts 1,27
μετὰ,after,Prep,G3326,Acts 1,28
παθεῖν,suffering,V-ANA,G3958,Acts 1,29
αὐτὸν,of Him,PPro-AM3S,G846,Acts 1,30
ἐν,with,Prep,G1722,Acts 1,31
πολλοῖς,many,Adj-DNP,G4183,Acts 1,32
τεκμηρίοις,proofs,N-DNP,G5039,Acts 1,33
τεσσεράκοντα,forty,Adj-GFP,G5062,Acts 1,34
ὀπτανόμενος,being seen,V-PPM/P-NMS,G3700,Acts 1,35
λέγων,speaking,V-PPA-NMS,G3004,Acts 1,36
βασιλείας,kingdom,N-GFS,G932,Acts 1,37
Θεοῦ,of God,N-GMS,G2316,Acts 1,38
συναλιζόμενος,being assembled together,V-PPM/P-NMS,G4871,Acts 1,39
παρήγγειλεν,He instructed,V-AIA-3S,G3853,Acts 1,40
ἀπὸ,from,Prep,G575,Acts 1,41
Ἱεροσολύμων,Jerusalem,N-GNP,G2414,Acts 1,42
μὴ,not,Adv,G3361,Acts 1,43
χωρίζεσθαι,to depart,V-PNM/P,G5563,Acts 1,44
ἀλλὰ,but,Conj,G235,Acts 1,45
περιμένειν,to await,V-PNA,G4037,Acts 1,46
ἐπαγγελίαν,promise,N-AFS,G1860,Acts 1,47
Πατρὸς,Father,N-GMS,G3962,Acts 1,48
ἠκούσατέ,you heard,V-AIA-2P,G191,Acts 1,49
μου,of Me,PPro-G1S,G1473,Acts 1,50
ὅτι,for,Conj,G3754,Acts 1,51
Ἰωάννης,John,N-NMS,G2491,Acts 1,52
ἐβάπτισεν,baptized,V-AIA-3S,G907,Acts 1,53
ὕδατι,with water,N-DNS,G5204,Acts 1,54
ὑμεῖς,you,PPro-N2P,G4771,Acts 1,55
δὲ,however,Conj,G1161,Acts 1,56
οὐ,not,Adv,G3756,Acts 1,57
ταύτας,these,DPro-AFP,G3778,Acts 1,58
οὖν,therefore,Conj,G3767,Acts 1,59
συνελθόντες,having come together,V-APA-NMP,G4905,Acts 1,60
ἠρώτων,were asking,V-IIA-3P,G2065,Acts 1,61
Κύριε,Lord,N-VMS,G2962,Acts 1,62
εἰ,if,Conj,G1487,Acts 1,63
χρόνῳ,time,N-DMS,G5550,Acts 1,64
ἀποκαθιστάνεις,are you restoring,V-PIA-2S,G600,Acts 1,65
Ἰσραήλ,to Israel,N-DMS,G2474,Acts 1,66
Εἶπεν,He said,V-AIA-3S,G2036,Acts 1,67
πρὸς,to,Prep,G4314,Acts 1,68
ἐστιν,it is,V-PIA-3S,G1510,Acts 1,69
γνῶναι,to know,V-ANA,G1097,Acts 1,70
ἢ,or,Conj,G2228,Acts 1,71
καιροὺς,seasons,N-AMP,G2540,Acts 1,72
ἔθετο,put in place,V-AIM-3S,G5087,Acts 1,73
ἰδίᾳ,His own,Adj-DFS,G2398,Acts 1,74
ἐξουσίᾳ,authority,N-DFS,G1849,Acts 1,75
λήμψεσθε,you will receive,V-FIM-2P,G2983,Acts 1,76
δύναμιν,power,N-AFS,G1411,Acts 1,77
ἐπελθόντος,having come,V-APA-GNS,G1904,Acts 1,78
ἐφ,upon,Prep,G1909,Acts 1,79
μάρτυρες,witnesses,N-NMP,G3144,Acts 1,80
Ἰερουσαλὴμ,Jerusalem,N-DFS,G2419,Acts 1,81
Ἰουδαίᾳ,Judea,N-DFS,G2449,Acts 1,82
Σαμαρείᾳ,Samaria,N-DFS,G4540,Acts 1,83
ἕως,to,Prep,G2193,Acts 1,84
ἐσχάτου,the uttermost part,Adj-GNS,G2078,Acts 1,85
γῆς,earth,N-GFS,G1093,Acts 1,86
βλεπόντων,beholding,V-PPA-GMP,G991,Acts 1,87
ἐπήρθη,He was taken up,V-AIP-3S,G1869,Acts 1,88
νεφέλη,a cloud,N-NFS,G3507,Acts 1,89
ὑπέλαβεν,hid,V-AIA-3S,G5274,Acts 1,90
ὀφθαλμῶν,eyes,N-GMP,G3788,Acts 1,91
ὡς,as,Adv,G5613,Acts 1,92
ἀτενίζοντες,looking intently,V-PPA-NMP,G816,Acts 1,93
εἰς,into,Prep,G1519,Acts 1,94
οὐρανὸν,heaven,N-AMS,G3772,Acts 1,95
πορευομένου,as was going,V-PPM/P-GMS,G4198,Acts 1,96
ἰδοὺ,behold,V-AMA-2S,G2400,Acts 1,97
ἄνδρες,men,N-NMP,G435,Acts 1,98
δύο,two,Adj-NMP,G1417,Acts 1,99
ἐσθήσεσι,apparel,N-DFP,G2066,Acts 1,100
λευκαῖς,white,Adj-DFP,G3022,Acts 1,101
Γαλιλαῖοι,Galileans,N-VMP,G1057,Acts 1,102
τί,why,IPro-ANS,G5101,Acts 1,103
ἑστήκατε,do you stand,V-RIA-2P,G2476,Acts 1,104
οὕτως,thus,Adv,G3779,Acts 1,105
ἐλεύσεται,will come,V-FIM-3S,G2064,Acts 1,106
τρόπον,manner,N-AMS,G5158,Acts 1,107
ἐθεάσασθε,you beheld,V-AIM-2P,G2300,Acts 1,108
Τότε,Then,Adv,G5119,Acts 1,109
ὑπέστρεψαν,they returned,V-AIA-3P,G5290,Acts 1,110
ὄρους,the mount,N-GNS,G3735,Acts 1,111
καλουμένου,called,V-PPM/P-GNS,G2564,Acts 1,112
Ἐλαιῶνος,Olivet,N-GMS,G1638,Acts 1,113
ἐγγὺς,near,Prep,G1451,Acts 1,114
σαββάτου,a Sabbath day’s,N-GNS,G4521,Acts 1,115
ἔχον,holding,V-PPA-NNS,G2192,Acts 1,116
ὁδόν,journey,N-AFS,G3598,Acts 1,117
ὅτε,when,Adv,G3753,Acts 1,118
εἰσῆλθον,they had entered,V-AIA-3P,G1525,Acts 1,119
ὑπερῷον,upper room,N-ANS,G5253,Acts 1,120
ἀνέβησαν,they went up,V-AIA-3P,G305,Acts 1,121
οὗ,where,Adv,G3757,Acts 1,122
καταμένοντες,staying,V-PPA-NMP,G2650,Acts 1,123
Πέτρος,Peter,N-NMS,G4074,Acts 1,124
Ἰάκωβος,James,N-NMS,G2385,Acts 1,125
Ἀνδρέας,Andrew,N-NMS,G406,Acts 1,126
Φίλιππος,Philip,N-NMS,G5376,Acts 1,127
Θωμᾶς,Thomas,N-NMS,G2381,Acts 1,128
Βαρθολομαῖος,Bartholomew,N-NMS,G918,Acts 1,129
Μαθθαῖος,Matthew,N-NMS,G3156,Acts 1,130
Ἁλφαίου,of Alphaeus,N-GMS,G256,Acts 1,131
Σίμων,Simon,N-NMS,G4613,Acts 1,132
Ζηλωτὴς,Zealot,N-NMS,G2207,Acts 1,133
Ἰούδας,Judas son,N-NMS,G2455,Acts 1,134
προσκαρτεροῦντες,steadfastly continuing,V-PPA-NMP,G4342,Acts 1,135
ὁμοθυμαδὸν,with one accord,Adv,G3661,Acts 1,136
προσευχῇ,in prayer,N-DFS,G4335,Acts 1,137
σὺν,with the,Prep,G4862,Acts 1,138
γυναιξὶν,women,N-DFP,G1135,Acts 1,139
Μαριὰμ,Mary,N-DFS,G3137,Acts 1,140
μητρὶ,mother,N-DFS,G3384,Acts 1,141
ἀδελφοῖς,brothers,N-DMP,G80,Acts 1,142
ἀναστὰς,having stood up,V-APA-NMS,G450,Acts 1,143
μέσῳ,the midst,Adj-DNS,G3319,Acts 1,144
ὄχλος,the number,N-NMS,G3793,Acts 1,145
ὀνομάτων,of names,N-GNP,G3686,Acts 1,146
ὡσεὶ,about,Adv,G5616,Acts 1,147
ἑκατὸν,a hundred,Adj-NMP,G1540,Acts 1,148
εἴκοσι,twenty,Adj-NMP,G1501,Acts 1,149
ἔδει,it was necessary for,V-IIA-3S,G1163,Acts 1,150
πληρωθῆναι,to have been fulfilled,V-ANP,G4137,Acts 1,151
γραφὴν,Scripture,N-AFS,G1124,Acts 1,152
προεῖπεν,spoke beforehand,V-AIA-3S,G4277,Acts 1,153
στόματος,the mouth,N-GNS,G4750,Acts 1,154
Δαυὶδ,of David,N-GMS,G1138,Acts 1,155
γενομένου,having become,V-APM-GMS,G1096,Acts 1,156
ὁδηγοῦ,guide,N-GMS,G3595,Acts 1,157
συλλαβοῦσιν,having arrested,V-APA-DMP,G4815,Acts 1,158
κατηριθμημένος,numbered,V-RPM/P-NMS,G2674,Acts 1,159
