Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Ephesians 1,1
ἀπόστολος,an apostle,N-NMS,G652,Ephesians 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Ephesians 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Ephesians 1,4
διὰ,by,Prep,G1223,Ephesians 1,5
θελήματος,the will,N-GNS,G2307,Ephesians 1,6
Θεοῦ,of God,N-GMS,G2316,Ephesians 1,7
Τοῖς,To the,Art-DMP,G3588,Ephesians 1,8
ἁγίοις,saints,Adj-DMP,G40,Ephesians 1,9
οὖσιν,being,V-PPA-DMP,G1510,Ephesians 1,10
ἐν,in,Prep,G1722,Ephesians 1,11
Ἐφέσῳ,Ephesus,N-DFS,G2181,Ephesians 1,12
καὶ,and,Conj,G2532,Ephesians 1,13
πιστοῖς,faithful,Adj-DMP,G4103,Ephesians 1,14
Χάρις,Grace,N-NFS,G5485,Ephesians 1,15
ὑμῖν,to you,PPro-D2P,G4771,Ephesians 1,16
εἰρήνη,peace,N-NFS,G1515,Ephesians 1,17
ἀπὸ,from,Prep,G575,Ephesians 1,18
Πατρὸς,the Father,N-GMS,G3962,Ephesians 1,19
ἡμῶν,of us,PPro-G1P,G1473,Ephesians 1,20
Κυρίου,the Lord,N-GMS,G2962,Ephesians 1,21
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,Ephesians 1,22
εὐλογήσας,having blessed,V-APA-NMS,G2127,Ephesians 1,23
πάσῃ,every,Adj-DFS,G3956,Ephesians 1,24
εὐλογίᾳ,blessing,N-DFS,G2129,Ephesians 1,25
πνευματικῇ,spiritual,Adj-DFS,G4152,Ephesians 1,26
ἐπουρανίοις,heavenly realms,Adj-DNP,G2032,Ephesians 1,27
καθὼς,just as,Adv,G2531,Ephesians 1,28
ἐξελέξατο,He chose,V-AIM-3S,G1586,Ephesians 1,29
αὐτῷ,Him,PPro-DM3S,G846,Ephesians 1,30
πρὸ,before,Prep,G4253,Ephesians 1,31
καταβολῆς,the foundation,N-GFS,G2602,Ephesians 1,32
κόσμου,of the world,N-GMS,G2889,Ephesians 1,33
ἀμώμους,blameless,Adj-AMP,G299,Ephesians 1,34
κατενώπιον,before,Prep,G2714,Ephesians 1,35
ἀγάπῃ,love,N-DFS,G26,Ephesians 1,36
προορίσας,having predestined,V-APA-NMS,G4309,Ephesians 1,37
εἰς,for,Prep,G1519,Ephesians 1,38
υἱοθεσίαν,divine adoption as sons,N-AFS,G5206,Ephesians 1,39
κατὰ,according to,Prep,G2596,Ephesians 1,40
εὐδοκίαν,good pleasure,N-AFS,G2107,Ephesians 1,41
ἔπαινον,the praise,N-AMS,G1868,Ephesians 1,42
δόξης,of the glory,N-GFS,G1391,Ephesians 1,43
ἧς,which,RelPro-GFS,G3739,Ephesians 1,44
ἐχαρίτωσεν,He has freely given,V-AIA-3S,G5487,Ephesians 1,45
Ἠγαπημένῳ,Beloved One,V-RPM/P-DMS,G25,Ephesians 1,46
ἔχομεν,we have,V-PIA-1P,G2192,Ephesians 1,47
ἀπολύτρωσιν,redemption,N-AFS,G629,Ephesians 1,48
αἵματος,blood,N-GNS,G129,Ephesians 1,49
ἄφεσιν,forgiveness,N-AFS,G859,Ephesians 1,50
παραπτωμάτων,of trespasses,N-GNP,G3900,Ephesians 1,51
πλοῦτος,riches,N-ANS,G4149,Ephesians 1,52
ἐπερίσσευσεν,He lavished,V-AIA-3S,G4052,Ephesians 1,53
σοφίᾳ,wisdom,N-DFS,G4678,Ephesians 1,54
φρονήσει,understanding,N-DFS,G5428,Ephesians 1,55
γνωρίσας,having made known,V-APA-NMS,G1107,Ephesians 1,56
μυστήριον,mystery,N-ANS,G3466,Ephesians 1,57
προέθετο,He purposed,V-AIM-3S,G4388,Ephesians 1,58
οἰκονομίαν,the administration,N-AFS,G3622,Ephesians 1,59
πληρώματος,fullness,N-GNS,G4138,Ephesians 1,60
καιρῶν,times,N-GMP,G2540,Ephesians 1,61
ἀνακεφαλαιώσασθαι,to bring together,V-ANM,G346,Ephesians 1,62
ἐπὶ,in,Prep,G1909,Ephesians 1,63
οὐρανοῖς,heavens,N-DMP,G3772,Ephesians 1,64
γῆς,earth,N-GFS,G1093,Ephesians 1,65
ἐκληρώθημεν,we have obtained an inheritance,V-AIP-1P,G2820,Ephesians 1,66
πρόθεσιν,the purpose,N-AFS,G4286,Ephesians 1,67
ἐνεργοῦντος,working,V-PPA-GMS,G1754,Ephesians 1,68
βουλὴν,counsel,N-AFS,G1012,Ephesians 1,69
προηλπικότας,having first trusted,V-RPA-AMP,G4276,Ephesians 1,70
ἀκούσαντες,having heard,V-APA-NMP,G191,Ephesians 1,71
λόγον,word,N-AMS,G3056,Ephesians 1,72
ἀληθείας,of truth,N-GFS,G225,Ephesians 1,73
εὐαγγέλιον,gospel,N-ANS,G2098,Ephesians 1,74
σωτηρίας,salvation,N-GFS,G4991,Ephesians 1,75
πιστεύσαντες,having believed,V-APA-NMP,G4100,Ephesians 1,76
ἐσφραγίσθητε,you were sealed,V-AIP-2P,G4972,Ephesians 1,77
Πνεύματι,Spirit,N-DNS,G4151,Ephesians 1,78
ἐπαγγελίας,of promise,N-GFS,G1860,Ephesians 1,79
ἀρραβὼν,the guarantee,N-NMS,G728,Ephesians 1,80
κληρονομίας,inheritance,N-GFS,G2817,Ephesians 1,81
περιποιήσεως,acquired possession,N-GFS,G4047,Ephesians 1,82
τοῦτο,this,DPro-ANS,G3778,Ephesians 1,83
κἀγώ,I also,PPro-N1S,G2504,Ephesians 1,84
πίστιν,faith,N-AFS,G4102,Ephesians 1,85
οὐ,not,Adv,G3756,Ephesians 1,86
παύομαι,do cease,V-PIM-1S,G3973,Ephesians 1,87
εὐχαριστῶν,giving thanks,V-PPA-NMS,G2168,Ephesians 1,88
ὑπὲρ,for,Prep,G5228,Ephesians 1,89
μνείαν,mention,N-AFS,G3417,Ephesians 1,90
ποιούμενος,making,V-PPM-NMS,G4160,Ephesians 1,91
προσευχῶν,prayers,N-GFP,G4335,Ephesians 1,92
ἵνα,that,Conj,G2443,Ephesians 1,93
δώῃ,may give,V-ASA-3S,G1325,Ephesians 1,94
ἀποκαλύψεως,revelation,N-GFS,G602,Ephesians 1,95
ἐπιγνώσει,the knowledge,N-DFS,G1922,Ephesians 1,96
πεφωτισμένους,being enlightened,V-RPM/P-AMP,G5461,Ephesians 1,97
ὀφθαλμοὺς,eyes,N-AMP,G3788,Ephesians 1,98
καρδίας,heart,N-GFS,G2588,Ephesians 1,99
