Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Galatians 1,1
ἀπόστολος,an apostle,N-NMS,G652,Galatians 1,2
οὐκ,not,Adv,G3756,Galatians 1,3
ἀπ,from,Prep,G575,Galatians 1,4
ἀνθρώπων,men,N-GMP,G444,Galatians 1,5
οὐδὲ,nor,Conj,G3761,Galatians 1,6
δι,through,Prep,G1223,Galatians 1,7
ἀλλὰ,but,Conj,G235,Galatians 1,8
Ἰησοῦ,Jesus,N-GMS,G2424,Galatians 1,9
Χριστοῦ,Christ,N-GMS,G5547,Galatians 1,10
καὶ,and,Conj,G2532,Galatians 1,11
Θεοῦ,God,N-GMS,G2316,Galatians 1,12
Πατρὸς,the Father,N-GMS,G3962,Galatians 1,13
τοῦ,the One,Art-GMS,G3588,Galatians 1,14
ἐγείραντος,having raised,V-APA-GMS,G1453,Galatians 1,15
αὐτὸν,Him,PPro-AM3S,G846,Galatians 1,16
ἐκ,out from,Prep,G1537,Galatians 1,17
νεκρῶν,the dead,Adj-GMP,G3498,Galatians 1,18
σὺν,with,Prep,G4862,Galatians 1,19
ἐμοὶ,me,PPro-D1S,G1473,Galatians 1,20
πάντες,all,Adj-NMP,G3956,Galatians 1,21
ἀδελφοί,brothers,N-NMP,G80,Galatians 1,22
ἐκκλησίαις,churches,N-DFP,G1577,Galatians 1,23
Γαλατίας,of Galatia,N-GFS,G1053,Galatians 1,24
Χάρις,Grace,N-NFS,G5485,Galatians 1,25
ὑμῖν,to you,PPro-D2P,G4771,Galatians 1,26
εἰρήνη,peace,N-NFS,G1515,Galatians 1,27
Κυρίου,the Lord,N-GMS,G2962,Galatians 1,28
δόντος,having given,V-APA-GMS,G1325,Galatians 1,29
ἑαυτὸν,Himself,RefPro-AM3S,G1438,Galatians 1,30
ὑπὲρ,for,Prep,G5228,Galatians 1,31
ἁμαρτιῶν,sins,N-GFP,G266,Galatians 1,32
ὅπως,so that,Conj,G3704,Galatians 1,33
ἐξέληται,He might deliver,V-ASM-3S,G1807,Galatians 1,34
αἰῶνος,age,N-GMS,G165,Galatians 1,35
ἐνεστῶτος,having come presently,V-RPA-GMS,G1764,Galatians 1,36
πονηροῦ,evil,Adj-GMS,G4190,Galatians 1,37
κατὰ,according to,Prep,G2596,Galatians 1,38
θέλημα,will,N-ANS,G2307,Galatians 1,39
ᾧ,to whom be,RelPro-DMS,G3739,Galatians 1,40
δόξα,glory,N-NFS,G1391,Galatians 1,41
εἰς,to,Prep,G1519,Galatians 1,42
ἀμήν,Amen,Heb,G281,Galatians 1,43
Θαυμάζω,I am astonished,V-PIA-1S,G2296,Galatians 1,44
ὅτι,that,Conj,G3754,Galatians 1,45
οὕτως,so,Adv,G3779,Galatians 1,46
ταχέως,quickly,Adv,G5030,Galatians 1,47
μετατίθεσθε,you are deserting,V-PIM/P-2P,G3346,Galatians 1,48
καλέσαντος,having called,V-APA-GMS,G2564,Galatians 1,49
ἐν,in,Prep,G1722,Galatians 1,50
ἕτερον,a different,Adj-ANS,G2087,Galatians 1,51
εὐαγγέλιον,gospel,N-ANS,G2098,Galatians 1,52
ἔστιν,is,V-PIA-3S,G1510,Galatians 1,53
ἄλλο,another,Adj-NNS,G243,Galatians 1,54
εἰ,if,Conj,G1487,Galatians 1,55
μή,not,Adv,G3361,Galatians 1,56
τινές,some,IPro-NMP,G5100,Galatians 1,57
ταράσσοντες,are troubling,V-PPA-NMP,G5015,Galatians 1,58
θέλοντες,are desiring,V-PPA-NMP,G2309,Galatians 1,59
μεταστρέψαι,to pervert,V-ANA,G3344,Galatians 1,60
ἐὰν,if,Conj,G1437,Galatians 1,61
ἢ,or,Conj,G2228,Galatians 1,62
ἄγγελος,an angel,N-NMS,G32,Galatians 1,63
οὐρανοῦ,heaven,N-GMS,G3772,Galatians 1,64
εὐαγγελίζηται,should preach a gospel,V-PSM-3S,G2097,Galatians 1,65
παρ,contrary to,Prep,G3844,Galatians 1,66
ἀνάθεμα,accursed,N-NNS,G331,Galatians 1,67
ὡς,As,Adv,G5613,Galatians 1,68
προειρήκαμεν,we have said before,V-RIA-1P,G4302,Galatians 1,69
ἄρτι,now,Adv,G737,Galatians 1,70
πάλιν,again,Adv,G3825,Galatians 1,71
λέγω,I say,V-PIA-1S,G3004,Galatians 1,72
παρελάβετε,you received,V-AIA-2P,G3880,Galatians 1,73
γὰρ,for,Conj,G1063,Galatians 1,74
πείθω,do I seek approval,V-PIA-1S,G3982,Galatians 1,75
ζητῶ,do I seek,V-PIA-1S,G2212,Galatians 1,76
ἀρέσκειν,to please,V-PNA,G700,Galatians 1,77
ἔτι,yet,Adv,G2089,Galatians 1,78
δοῦλος,a servant,N-NMS,G1401,Galatians 1,79
ἂν,-,Prtcl,G302,Galatians 1,80
γνωρίζω,I make known,V-PIA-1S,G1107,Galatians 1,81
ὑπ,by,Prep,G5259,Galatians 1,82
οὔτε,nor,Conj,G3777,Galatians 1,83
ἐδιδάχθην,was I taught it,V-AIP-1S,G1321,Galatians 1,84
ἀποκαλύψεως,a revelation,N-GFS,G602,Galatians 1,85
