Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1
καὶ,and,Conj,G2532,Hebrews 1,2
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,3
πάλαι,long ago,Adv,G3819,Hebrews 1,4
ὁ,-,Art-NMS,G3588,Hebrews 1,5
Θεὸς,God,N-NMS,G2316,Hebrews 1,6
λαλήσας,having spoken,V-APA-NMS,G2980,Hebrews 1,7
τοῖς,to the,Art-DMP,G3588,Hebrews 1,8
πατράσιν,fathers,N-DMP,G3962,Hebrews 1,9
ἐν,in,Prep,G1722,Hebrews 1,10
προφήταις,prophets,N-DMP,G4396,Hebrews 1,11
ἐπ,in,Prep,G1909,Hebrews 1,12
ἐσχάτου,last,Adj-GNS,G2078,Hebrews 1,13
τῶν,-,Art-GFP,G3588,Hebrews 1,14
ἡμερῶν,days,N-GFP,G2250,Hebrews 1,15
τούτων,these,DPro-GFP,G3778,Hebrews 1,16
ἐλάλησεν,has spoken,V-AIA-3S,G2980,Hebrews 1,17
ἡμῖν,to us,PPro-D1P,G1473,Hebrews 1,18
Υἱῷ,His Son,N-DMS,G5207,Hebrews 1,19
ὃν,whom,RelPro-AMS,G3739,Hebrews 1,20
ἔθηκεν,He appointed,V-AIA-3S,G5087,Hebrews 1,21
κληρονόμον,heir,N-AMS,G2818,Hebrews 1,22
πάντων,of all things,Adj-GNP,G3956,Hebrews 1,23
δι,through,Prep,G1223,Hebrews 1,24
οὗ,whom,RelPro-GMS,G3739,Hebrews 1,25
ἐποίησεν,He made,V-AIA-3S,G4160,Hebrews 1,26
τοὺς,the,Art-AMP,G3588,Hebrews 1,27
αἰῶνας,ages,N-AMP,G165,Hebrews 1,28
ὃς,who,RelPro-NMS,G3739,Hebrews 1,29
ὢν,being,V-PPA-NMS,G1510,Hebrews 1,30
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,31
τῆς,of His,Art-GFS,G3588,Hebrews 1,32
δόξης,glory,N-GFS,G1391,Hebrews 1,33
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,34
ὑποστάσεως,substance,N-GFS,G5287,Hebrews 1,35
αὐτοῦ,of Him,PPro-GM3S,G846,Hebrews 1,36
φέρων,upholding,V-PPA-NMS,G5342,Hebrews 1,37
τε,then,Conj,G5037,Hebrews 1,38
τὰ,-,Art-ANP,G3588,Hebrews 1,39
πάντα,all things,Adj-ANP,G3956,Hebrews 1,40
τῷ,by the,Art-DNS,G3588,Hebrews 1,41
ῥήματι,word,N-DNS,G4487,Hebrews 1,42
δυνάμεως,power,N-GFS,G1411,Hebrews 1,43
δι,through,Prep,G1223,Hebrews 1,44
καθαρισμὸν,the purification,N-AMS,G2512,Hebrews 1,45
ἁμαρτιῶν,of sins,N-GFP,G266,Hebrews 1,46
ποιησάμενος,having made,V-APM-NMS,G4160,Hebrews 1,47
ἐκάθισεν,sat down,V-AIA-3S,G2523,Hebrews 1,48
