Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1
καὶ,and,Conj,G2532,Hebrews 1,2
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,3
πάλαι,long ago,Adv,G3819,Hebrews 1,4
ὁ,-,Art-NMS,G3588,Hebrews 1,5
Θεὸς,God,N-NMS,G2316,Hebrews 1,6
λαλήσας,having spoken,V-APA-NMS,G2980,Hebrews 1,7
πατράσιν,fathers,N-DMP,G3962,Hebrews 1,8
ἐν,in,Prep,G1722,Hebrews 1,9
προφήταις,prophets,N-DMP,G4396,Hebrews 1,10
ἐπ,in,Prep,G1909,Hebrews 1,11
ἐσχάτου,last,Adj-GNS,G2078,Hebrews 1,12
ἡμερῶν,days,N-GFP,G2250,Hebrews 1,13
τούτων,these,DPro-GFP,G3778,Hebrews 1,14
ἡμῖν,to us,PPro-D1P,G1473,Hebrews 1,15
Υἱῷ,His Son,N-DMS,G5207,Hebrews 1,16
ὃν,whom,RelPro-AMS,G3739,Hebrews 1,17
ἔθηκεν,He appointed,V-AIA-3S,G5087,Hebrews 1,18
κληρονόμον,heir,N-AMS,G2818,Hebrews 1,19
πάντων,of all things,Adj-GNP,G3956,Hebrews 1,20
δι,through,Prep,G1223,Hebrews 1,21
ἐποίησεν,He made,V-AIA-3S,G4160,Hebrews 1,22
αἰῶνας,ages,N-AMP,G165,Hebrews 1,23
ὢν,being,V-PPA-NMS,G1510,Hebrews 1,24
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,25
δόξης,glory,N-GFS,G1391,Hebrews 1,26
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,27
ὑποστάσεως,substance,N-GFS,G5287,Hebrews 1,28
αὐτοῦ,of Him,PPro-GM3S,G846,Hebrews 1,29
φέρων,upholding,V-PPA-NMS,G5342,Hebrews 1,30
τε,then,Conj,G5037,Hebrews 1,31
ῥήματι,word,N-DNS,G4487,Hebrews 1,32
δυνάμεως,power,N-GFS,G1411,Hebrews 1,33
καθαρισμὸν,the purification,N-AMS,G2512,Hebrews 1,34
ἁμαρτιῶν,of sins,N-GFP,G266,Hebrews 1,35
ἐκάθισεν,sat down,V-AIA-3S,G2523,Hebrews 1,36
δεξιᾷ,the right hand,Adj-DFS,G1188,Hebrews 1,37
Μεγαλωσύνης,Majesty,N-GFS,G3172,Hebrews 1,38
ὑψηλοῖς,high,Adj-DMP,G5308,Hebrews 1,39
τοσούτῳ,By so much,DPro-DNS,G5118,Hebrews 1,40
κρείττων,superior,Adj-NMS-C,G2909,Hebrews 1,41
γενόμενος,having become,V-APM-NMS,G1096,Hebrews 1,42
ἀγγέλων,angels,N-GMP,G32,Hebrews 1,43
ὅσῳ,as much as,RelPro-DNS,G3745,Hebrews 1,44
διαφορώτερον,more excellent,Adj-ANS-C,G1313,Hebrews 1,45
παρ,beyond,Prep,G3844,Hebrews 1,46
κεκληρονόμηκεν,He has inherited,V-RIA-3S,G2816,Hebrews 1,47
