Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἰάκωβος,James,N-NMS,G2385,James 1,1
Θεοῦ,of God,N-GMS,G2316,James 1,2
καὶ,and,Conj,G2532,James 1,3
Κυρίου,of the Lord,N-GMS,G2962,James 1,4
Ἰησοῦ,Jesus,N-GMS,G2424,James 1,5
Χριστοῦ,Christ,N-GMS,G5547,James 1,6
δοῦλος,a servant,N-NMS,G1401,James 1,7
Ταῖς,To the,Art-DFP,G3588,James 1,8
δώδεκα,twelve,Adj-DFP,G1427,James 1,9
φυλαῖς,tribes,N-DFP,G5443,James 1,10
ταῖς,-,Art-DFP,G3588,James 1,11
ἐν,in,Prep,G1722,James 1,12
τῇ,the,Art-DFS,G3588,James 1,13
Διασπορᾷ,Dispersion,N-DFS,G1290,James 1,14
Χαίρειν,Greetings,V-PNA,G5463,James 1,15
Πᾶσαν,All,Adj-AFS,G3956,James 1,16
χαρὰν,joy,N-AFS,G5479,James 1,17
ἡγήσασθε,esteem it,V-AMM-2P,G2233,James 1,18
ἀδελφοί,brothers,N-VMP,G80,James 1,19
μου,of me,PPro-G1S,G1473,James 1,20
ὅταν,when,Conj,G3752,James 1,21
πειρασμοῖς,trials,N-DMP,G3986,James 1,22
περιπέσητε,you might fall into,V-ASA-2P,G4045,James 1,23
ποικίλοις,various,Adj-DMP,G4164,James 1,24
γινώσκοντες,knowing,V-PPA-NMP,G1097,James 1,25
ὅτι,that,Conj,G3754,James 1,26
τὸ,the,Art-NNS,G3588,James 1,27
δοκίμιον,testing,N-NNS,G1383,James 1,28
ὑμῶν,of your,PPro-G2P,G4771,James 1,29
τῆς,-,Art-GFS,G3588,James 1,30
πίστεως,faith,N-GFS,G4102,James 1,31
κατεργάζεται,produces,V-PIM/P-3S,G2716,James 1,32
ὑπομονήν,endurance,N-AFS,G5281,James 1,33
ἡ,-,Art-NFS,G3588,James 1,34
δὲ,And,Conj,G1161,James 1,35
ὑπομονὴ,endurance,N-NFS,G5281,James 1,36
ἔργον,work,N-ANS,G2041,James 1,37
τέλειον,its perfect,Adj-ANS,G5046,James 1,38
ἐχέτω,let have,V-PMA-3S,G2192,James 1,39
ἵνα,so that,Conj,G2443,James 1,40
ἦτε,you may be,V-PSA-2P,G1510,James 1,41
τέλειοι,perfect,Adj-NMP,G5046,James 1,42
ὁλόκληροι,complete,Adj-NMP,G3648,James 1,43
μηδενὶ,nothing,Adj-DNS,G3367,James 1,44
λειπόμενοι,lacking,V-PPM/P-NMP,G3007,James 1,45
Εἰ,If,Conj,G1487,James 1,46
δέ,now,Conj,G1161,James 1,47
τις,any,IPro-NMS,G5100,James 1,48
λείπεται,lacks,V-PIM/P-3S,G3007,James 1,49
σοφίας,wisdom,N-GFS,G4678,James 1,50
αἰτείτω,let him ask,V-PMA-3S,G154,James 1,51
παρὰ,from,Prep,G3844,James 1,52
τοῦ,the One,Art-GMS,G3588,James 1,53
διδόντος,giving,V-PPA-GMS,G1325,James 1,54
πᾶσιν,to all,Adj-DMP,G3956,James 1,55
ἁπλῶς,generously,Adv,G574,James 1,56
μὴ,not,Adv,G3361,James 1,57
ὀνειδίζοντος,finding fault,V-PPA-GMS,G3679,James 1,58
δοθήσεται,it will be given,V-FIP-3S,G1325,James 1,59
αὐτῷ,to him,PPro-DM3S,G846,James 1,60
