Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἐν,In the,Prep,G1722,John 1,1
ἀρχῇ,beginning,N-DFS,G746,John 1,2
ἦν,was,V-IIA-3S,G1510,John 1,3
ὁ,the,Art-NMS,G3588,John 1,4
Λόγος,Word,N-NMS,G3056,John 1,5
καὶ,and,Conj,G2532,John 1,6
πρὸς,with,Prep,G4314,John 1,7
τὸν,-,Art-AMS,G3588,John 1,8
Θεόν,God,N-AMS,G2316,John 1,9
Θεὸς,God,N-NMS,G2316,John 1,10
Οὗτος,He,DPro-NMS,G3778,John 1,11
ἐν,in the,Prep,G1722,John 1,12
πάντα,All things,Adj-NNP,G3956,John 1,13
δι,through,Prep,G1223,John 1,14
αὐτοῦ,Him,PPro-GM3S,G846,John 1,15
ἐγένετο,came into being,V-AIM-3S,G1096,John 1,16
χωρὶς,without,Prep,G5565,John 1,17
οὐδὲ,not even,Adv,G3761,John 1,18
ἕν,one thing,Adj-NNS,G1520,John 1,19
ὃ,that,RelPro-NNS,G3739,John 1,20
γέγονεν,has come into being,V-RIA-3S,G1096,John 1,21
αὐτῷ,Him,PPro-DM3S,G846,John 1,22
ζωὴ,life,N-NFS,G2222,John 1,23
ἡ,the,Art-NFS,G3588,John 1,24
τὸ,the,Art-NNS,G3588,John 1,25
φῶς,light,N-NNS,G5457,John 1,26
τῶν,-,Art-GMP,G3588,John 1,27
ἀνθρώπων,of men,N-GMP,G444,John 1,28
τῇ,the,Art-DFS,G3588,John 1,29
σκοτίᾳ,darkness,N-DFS,G4653,John 1,30
φαίνει,shines,V-PIA-3S,G5316,John 1,31
σκοτία,darkness,N-NFS,G4653,John 1,32
αὐτὸ,it,PPro-AN3S,G846,John 1,33
οὐ,not,Adv,G3756,John 1,34
κατέλαβεν,overcame,V-AIA-3S,G2638,John 1,35
Ἐγένετο,There came,V-AIM-3S,G1096,John 1,36
ἄνθρωπος,a man,N-NMS,G444,John 1,37
