Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἐν,In the,Prep,G1722,John 1,1
ἀρχῇ,beginning,N-DFS,G746,John 1,2
ἦν,was,V-IIA-3S,G1510,John 1,3
ὁ,the,Art-NMS,G3588,John 1,4
Λόγος,Word,N-NMS,G3056,John 1,5
καὶ,and,Conj,G2532,John 1,6
πρὸς,with,Prep,G4314,John 1,7
Θεόν,God,N-AMS,G2316,John 1,8
Οὗτος,He,DPro-NMS,G3778,John 1,9
πάντα,All things,Adj-NNP,G3956,John 1,10
δι,through,Prep,G1223,John 1,11
αὐτοῦ,Him,PPro-GM3S,G846,John 1,12
ἐγένετο,came into being,V-AIM-3S,G1096,John 1,13
χωρὶς,without,Prep,G5565,John 1,14
οὐδὲ,not even,Adv,G3761,John 1,15
ἕν,one thing,Adj-NNS,G1520,John 1,16
ὃ,that,RelPro-NNS,G3739,John 1,17
ζωὴ,life,N-NFS,G2222,John 1,18
φῶς,light,N-NNS,G5457,John 1,19
ἀνθρώπων,of men,N-GMP,G444,John 1,20
σκοτίᾳ,darkness,N-DFS,G4653,John 1,21
φαίνει,shines,V-PIA-3S,G5316,John 1,22
οὐ,not,Adv,G3756,John 1,23
κατέλαβεν,overcame,V-AIA-3S,G2638,John 1,24
ἀπεσταλμένος,having been sent,V-RPM/P-NMS,G649,John 1,25
παρὰ,from,Prep,G3844,John 1,26
ὄνομα,the name,N-NNS,G3686,John 1,27
Ἰωάννης,was John,N-NMS,G2491,John 1,28
ἦλθεν,came,V-AIA-3S,G2064,John 1,29
εἰς,as,Prep,G1519,John 1,30
μαρτυρίαν,a witness,N-AFS,G3141,John 1,31
ἵνα,that,Conj,G2443,John 1,32
μαρτυρήσῃ,he might testify,V-ASA-3S,G3140,John 1,33
περὶ,concerning,Prep,G4012,John 1,34
πιστεύσωσιν,might believe,V-ASA-3P,G4100,John 1,35
ἐκεῖνος,He,DPro-NMS,G1565,John 1,36
