Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἰούδας,Jude,N-NMS,G2455,Jude 1,1
Ἰησοῦ,of Jesus,N-GMS,G2424,Jude 1,2
Χριστοῦ,Christ,N-GMS,G5547,Jude 1,3
δοῦλος,servant,N-NMS,G1401,Jude 1,4
ἀδελφὸς,brother,N-NMS,G80,Jude 1,5
δὲ,then,Conj,G1161,Jude 1,6
Ἰακώβου,of James,N-GMS,G2385,Jude 1,7
Τοῖς,To those,Art-DMP,G3588,Jude 1,8
ἐν,in,Prep,G1722,Jude 1,9
Θεῷ,God,N-DMS,G2316,Jude 1,10
Πατρὶ,the Father,N-DMS,G3962,Jude 1,11
ἠγαπημένοις,having been loved,V-RPM/P-DMP,G25,Jude 1,12
καὶ,and,Conj,G2532,Jude 1,13
Ἰησοῦ,in Jesus,N-DMS,G2424,Jude 1,14
Χριστῷ,Christ,N-DMS,G5547,Jude 1,15
τετηρημένοις,having been kept,V-RPM/P-DMP,G5083,Jude 1,16
κλητοῖς,called,Adj-DMP,G2822,Jude 1,17
Ἔλεος,Mercy,N-NNS,G1656,Jude 1,18
ὑμῖν,to you,PPro-D2P,G4771,Jude 1,19
εἰρήνη,peace,N-NFS,G1515,Jude 1,20
ἀγάπη,love,N-NFS,G26,Jude 1,21
πληθυνθείη,be multiplied,V-AOP-3S,G4129,Jude 1,22
Ἀγαπητοί,Beloved,Adj-VMP,G27,Jude 1,23
πᾶσαν,all,Adj-AFS,G3956,Jude 1,24
σπουδὴν,diligence,N-AFS,G4710,Jude 1,25
ποιούμενος,using,V-PPM-NMS,G4160,Jude 1,26
γράφειν,to write,V-PNA,G1125,Jude 1,27
περὶ,concerning,Prep,G4012,Jude 1,28
τῆς,-,Art-GFS,G3588,Jude 1,29
κοινῆς,common,Adj-GFS,G2839,Jude 1,30
ἡμῶν,of us,PPro-G1P,G1473,Jude 1,31
σωτηρίας,salvation,N-GFS,G4991,Jude 1,32
ἀνάγκην,necessity,N-AFS,G318,Jude 1,33
ἔσχον,I had,V-AIA-1S,G2192,Jude 1,34
γράψαι,to write,V-ANA,G1125,Jude 1,35
παρακαλῶν,exhorting you,V-PPA-NMS,G3870,Jude 1,36
ἐπαγωνίζεσθαι,to contend earnestly,V-PNM/P,G1864,Jude 1,37
τῇ,for the,Art-DFS,G3588,Jude 1,38
ἅπαξ,once for all,Adv,G530,Jude 1,39
παραδοθείσῃ,having been delivered,V-APP-DFS,G3860,Jude 1,40
