Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἐπειδήπερ,Inasmuch as,Conj,G1895,Luke 1,1
πολλοὶ,many,Adj-NMP,G4183,Luke 1,2
ἐπεχείρησαν,have undertaken,V-AIA-3P,G2021,Luke 1,3
ἀνατάξασθαι,to draw up,V-ANM,G392,Luke 1,4
διήγησιν,a narration,N-AFS,G1335,Luke 1,5
περὶ,concerning,Prep,G4012,Luke 1,6
τῶν,the,Art-GNP,G3588,Luke 1,7
πεπληροφορημένων,having been accomplished,V-RPM/P-GNP,G4135,Luke 1,8
ἐν,among,Prep,G1722,Luke 1,9
ἡμῖν,us,PPro-D1P,G1473,Luke 1,10
πραγμάτων,things,N-GNP,G4229,Luke 1,11
καθὼς,as,Adv,G2531,Luke 1,12
παρέδοσαν,delivered them,V-AIA-3P,G3860,Luke 1,13
οἱ,those,Art-NMP,G3588,Luke 1,14
ἀπ,from,Prep,G575,Luke 1,15
ἀρχῆς,the beginning,N-GFS,G746,Luke 1,16
αὐτόπται,eyewitnesses,N-NMP,G845,Luke 1,17
καὶ,and,Conj,G2532,Luke 1,18
ὑπηρέται,servants,N-NMP,G5257,Luke 1,19
γενόμενοι,having been,V-APM-NMP,G1096,Luke 1,20
τοῦ,of the,Art-GMS,G3588,Luke 1,21
λόγου,word,N-GMS,G3056,Luke 1,22
ἔδοξε,it seemed good,V-AIA-3S,G1380,Luke 1,23
κἀμοὶ,also to me,PPro-D1S,G2504,Luke 1,24
παρηκολουθηκότι,having been acquainted,V-RPA-DMS,G3877,Luke 1,25
ἄνωθεν,from the first,Adv,G509,Luke 1,26
πᾶσιν,with all things,Adj-DNP,G3956,Luke 1,27
ἀκριβῶς,carefully,Adv,G199,Luke 1,28
καθεξῆς,with method,Adv,G2517,Luke 1,29
σοι,to you,PPro-D2S,G4771,Luke 1,30
γράψαι,to write,V-ANA,G1125,Luke 1,31
κράτιστε,most excellent,Adj-VMS-S,G2903,Luke 1,32
Θεόφιλε,Theophilus,N-VMS,G2321,Luke 1,33
ἵνα,so that,Conj,G2443,Luke 1,34
ἐπιγνῷς,you may know,V-ASA-2S,G1921,Luke 1,35
ὧν,which,RelPro-GMP,G3739,Luke 1,36
κατηχήθης,you were instructed,V-AIP-2S,G2727,Luke 1,37
λόγων,of the things,N-GMP,G3056,Luke 1,38
τὴν,the,Art-AFS,G3588,Luke 1,39
ἀσφάλειαν,certainty,N-AFS,G803,Luke 1,40
Ἐγένετο,There was,V-AIM-3S,G1096,Luke 1,41
ταῖς,the,Art-DFP,G3588,Luke 1,42
ἡμέραις,days,N-DFP,G2250,Luke 1,43
Ἡρῴδου,of Herod,N-GMS,G2264,Luke 1,44
βασιλέως,king,N-GMS,G935,Luke 1,45
τῆς,-,Art-GFS,G3588,Luke 1,46
Ἰουδαίας,of Judea,N-GFS,G2449,Luke 1,47
ἱερεύς,a priest,N-NMS,G2409,Luke 1,48
τις,certain,IPro-NMS,G5100,Luke 1,49
ὀνόματι,named,N-DNS,G3686,Luke 1,50
Ζαχαρίας,Zechariah,N-NMS,G2197,Luke 1,51
ἐξ,of the,Prep,G1537,Luke 1,52
ἐφημερίας,division,N-GFS,G2183,Luke 1,53
Ἀβιά,of Abijah,N-GMS,G7,Luke 1,54
γυνὴ,wife,N-NFS,G1135,Luke 1,55
αὐτῷ,of him,PPro-DM3S,G846,Luke 1,56
ἐκ,of,Prep,G1537,Luke 1,57
τῶν,the,Art-GFP,G3588,Luke 1,58
θυγατέρων,daughters,N-GFP,G2364,Luke 1,59
Ἀαρών,of Aaron,N-GMS,G2,Luke 1,60
τὸ,the,Art-NNS,G3588,Luke 1,61
ὄνομα,name,N-NNS,G3686,Luke 1,62
αὐτῆς,of her,PPro-GF3S,G846,Luke 1,63
Ἐλισάβετ,Elizabeth,N-NFS,G1665,Luke 1,64
ἦσαν,They were,V-IIA-3P,G1510,Luke 1,65
δὲ,now,Conj,G1161,Luke 1,66
δίκαιοι,righteous,Adj-NMP,G1342,Luke 1,67
ἀμφότεροι,both,Adj-NMP,G297,Luke 1,68
ἐναντίον,before,Prep,G1726,Luke 1,69
Θεοῦ,God,N-GMS,G2316,Luke 1,70
πορευόμενοι,walking,V-PPM/P-NMP,G4198,Luke 1,71
πάσαις,all,Adj-DFP,G3956,Luke 1,72
ἐντολαῖς,commandments,N-DFP,G1785,Luke 1,73
δικαιώμασιν,ordinances,N-DNP,G1345,Luke 1,74
Κυρίου,Lord,N-GMS,G2962,Luke 1,75
ἄμεμπτοι,blameless,Adj-NMP,G273,Luke 1,76
οὐκ,no,Adv,G3756,Luke 1,77
ἦν,there was,V-IIA-3S,G1510,Luke 1,78
αὐτοῖς,to them,PPro-DM3P,G846,Luke 1,79
τέκνον,child,N-NNS,G5043,Luke 1,80
καθότι,inasmuch as,Adv,G2530,Luke 1,81
ἡ,-,Art-NFS,G3588,Luke 1,82
στεῖρα,barren,Adj-NFS,G4723,Luke 1,83
προβεβηκότες,advanced,V-RPA-NMP,G4260,Luke 1,84
αὐτῶν,of them,PPro-GM3P,G846,Luke 1,85
τῷ,the,Art-DNS,G3588,Luke 1,86
ἱερατεύειν,fulfilling the priestly service,V-PNA,G2407,Luke 1,87
αὐτὸν,of him,PPro-AM3S,G846,Luke 1,88
τῇ,the,Art-DFS,G3588,Luke 1,89
τάξει,order,N-DFS,G5010,Luke 1,90
αὐτοῦ,of him,PPro-GM3S,G846,Luke 1,91
ἔναντι,before,Prep,G1725,Luke 1,92
κατὰ,according to,Prep,G2596,Luke 1,93
τὸ,the,Art-ANS,G3588,Luke 1,94
ἔθος,custom,N-ANS,G1485,Luke 1,95
ἱερατείας,priesthood,N-GFS,G2405,Luke 1,96
ἔλαχε,it fell to him by lot,V-AIA-3S,G2975,Luke 1,97
τοῦ,-,Art-GNS,G3588,Luke 1,98
θυμιᾶσαι,to burn incense,V-ANA,G2370,Luke 1,99
εἰσελθὼν,having entered,V-APA-NMS,G1525,Luke 1,100
εἰς,into,Prep,G1519,Luke 1,101
τὸν,the,Art-AMS,G3588,Luke 1,102
ναὸν,temple,N-AMS,G3485,Luke 1,103
πᾶν,all,Adj-NNS,G3956,Luke 1,104
πλῆθος,multitude,N-NNS,G4128,Luke 1,105
λαοῦ,people,N-GMS,G2992,Luke 1,106
προσευχόμενον,praying,V-PPM/P-NNS,G4336,Luke 1,107
ἔξω,outside,Adv,G1854,Luke 1,108
ὥρᾳ,hour,N-DFS,G5610,Luke 1,109
θυμιάματος,incense,N-GNS,G2368,Luke 1,110
Ὤφθη,Appeared,V-AIP-3S,G3708,Luke 1,111
ἄγγελος,an angel,N-NMS,G32,Luke 1,112
ἑστὼς,standing,V-RPA-NMS,G2476,Luke 1,113
δεξιῶν,the right,Adj-GNP,G1188,Luke 1,114
θυσιαστηρίου,altar,N-GNS,G2379,Luke 1,115
ἐταράχθη,was troubled,V-AIP-3S,G5015,Luke 1,116
ἰδών,having seen him,V-APA-NMS,G3708,Luke 1,117
φόβος,fear,N-NMS,G5401,Luke 1,118
ἐπέπεσεν,fell,V-AIA-3S,G1968,Luke 1,119
ἐπ,upon,Prep,G1909,Luke 1,120
αὐτόν,him,PPro-AM3S,G846,Luke 1,121
Εἶπεν,Said,V-AIA-3S,G2036,Luke 1,122
πρὸς,to,Prep,G4314,Luke 1,123
ὁ,the,Art-NMS,G3588,Luke 1,124
Μὴ,Not,Adv,G3361,Luke 1,125
φοβοῦ,fear,V-PMM/P-2S,G5399,Luke 1,126
Ζαχαρία,Zechariah,N-VMS,G2197,Luke 1,127
διότι,because,Conj,G1360,Luke 1,128
εἰσηκούσθη,has been heard,V-AIP-3S,G1522,Luke 1,129
δέησίς,prayer,N-NFS,G1162,Luke 1,130
σου,of you,PPro-G2S,G4771,Luke 1,131
γυνή,wife,N-NFS,G1135,Luke 1,132
γεννήσει,will bear,V-FIA-3S,G1080,Luke 1,133
υἱόν,a son,N-AMS,G5207,Luke 1,134
καλέσεις,you shall call,V-FIA-2S,G2564,Luke 1,135
ὄνομα,name,N-ANS,G3686,Luke 1,136
Ἰωάννην,John,N-AMS,G2491,Luke 1,137
ἔσται,he will be,V-FIM-3S,G1510,Luke 1,138
χαρά,joy,N-NFS,G5479,Luke 1,139
ἀγαλλίασις,gladness,N-NFS,G20,Luke 1,140
ἐπὶ,at,Prep,G1909,Luke 1,141
γενέσει,birth,N-DFS,G1078,Luke 1,142
χαρήσονται,will rejoice,V-FIP-3P,G5463,Luke 1,143
γὰρ,for,Conj,G1063,Luke 1,144
μέγας,great,Adj-NMS,G3173,Luke 1,145
ἐνώπιον,before,Prep,G1799,Luke 1,146
τοῦ,the,Art-GMS,G3588,Luke 1,147
οἶνον,wine,N-AMS,G3631,Luke 1,148
σίκερα,strong drink,N-ANS,G4608,Luke 1,149
οὐ,no,Adv,G3756,Luke 1,150
μὴ,not,Adv,G3361,Luke 1,151
πίῃ,shall he drink,V-ASA-3S,G4095,Luke 1,152
Πνεύματος,of the Spirit,N-GNS,G4151,Luke 1,153
Ἁγίου,Holy,Adj-GNS,G40,Luke 1,154
πλησθήσεται,he will be filled,V-FIP-3S,G4130,Luke 1,155
ἔτι,even,Adv,G2089,Luke 1,156
κοιλίας,the womb,N-GFS,G2836,Luke 1,157
μητρὸς,of the mother,N-GFS,G3384,Luke 1,158
πολλοὺς,many,Adj-AMP,G4183,Luke 1,159
τῶν,of the,Art-GMP,G3588,Luke 1,160
υἱῶν,sons,N-GMP,G5207,Luke 1,161
Ἰσραὴλ,of Israel,N-GMS,G2474,Luke 1,162
ἐπιστρέψει,he will turn,V-FIA-3S,G1994,Luke 1,163
Κύριον,the Lord,N-AMS,G2962,Luke 1,164
Θεὸν,God,N-AMS,G2316,Luke 1,165
αὐτὸς,he,PPro-NM3S,G846,Luke 1,166
προελεύσεται,will go forth,V-FIM-3S,G4281,Luke 1,167
πνεύματι,the spirit,N-DNS,G4151,Luke 1,168
δυνάμει,power,N-DFS,G1411,Luke 1,169
Ἠλίου,of Elijah,N-GMS,G2243,Luke 1,170
ἐπιστρέψαι,to turn,V-ANA,G1994,Luke 1,171
καρδίας,the hearts,N-AFP,G2588,Luke 1,172
πατέρων,of the fathers,N-GMP,G3962,Luke 1,173
τέκνα,the children,N-ANP,G5043,Luke 1,174
ἀπειθεῖς,the disobedient,Adj-AMP,G545,Luke 1,175
φρονήσει,the wisdom,N-DFS,G5428,Luke 1,176
δικαίων,of the righteous,Adj-GMP,G1342,Luke 1,177
ἑτοιμάσαι,to make ready,V-ANA,G2090,Luke 1,178
Κυρίῳ,for the Lord,N-DMS,G2962,Luke 1,179
λαὸν,a people,N-AMS,G2992,Luke 1,180
κατεσκευασμένον,prepared,V-RPM/P-AMS,G2680,Luke 1,181
Καὶ,And,Conj,G2532,Luke 1,182
εἶπεν,said,V-AIA-3S,G2036,Luke 1,183
ἄγγελον,angel,N-AMS,G32,Luke 1,184
Κατὰ,By,Prep,G2596,Luke 1,185
τί,what,IPro-ANS,G5101,Luke 1,186
γνώσομαι,will I know,V-FIM-1S,G1097,Luke 1,187
τοῦτο,this,DPro-ANS,G3778,Luke 1,188
ἐγὼ,I,PPro-N1S,G1473,Luke 1,189
γάρ,for,Conj,G1063,Luke 1,190
εἰμι,am,V-PIA-1S,G1510,Luke 1,191
πρεσβύτης,an old man,N-NMS,G4246,Luke 1,192
μου,of me,PPro-G1S,G1473,Luke 1,193
προβεβηκυῖα,is advanced,V-RPA-NFS,G4260,Luke 1,194
ἀποκριθεὶς,answering,V-APP-NMS,G611,Luke 1,195
Ἐγώ,I,PPro-N1S,G1473,Luke 1,196
Γαβριὴλ,Gabriel,N-NMS,G1043,Luke 1,197
παρεστηκὼς,standing,V-RPA-NMS,G3936,Luke 1,198
ἀπεστάλην,I was sent,V-AIP-1S,G649,Luke 1,199
λαλῆσαι,to speak,V-ANA,G2980,Luke 1,200
σὲ,you,PPro-A2S,G4771,Luke 1,201
εὐαγγελίσασθαί,to bring glad tidings,V-ANM,G2097,Luke 1,202
ταῦτα,these,DPro-ANP,G3778,Luke 1,203
ἰδοὺ,behold,V-AMA-2S,G2400,Luke 1,204
ἔσῃ,you will be,V-FIM-2S,G1510,Luke 1,205
σιωπῶν,silent,V-PPA-NMS,G4623,Luke 1,206
δυνάμενος,able,V-PPM/P-NMS,G1410,Luke 1,207
ἄχρι,until,Prep,G891,Luke 1,208
ἧς,that,RelPro-GFS,G3739,Luke 1,209
ἡμέρας,day,N-GFS,G2250,Luke 1,210
γένηται,shall take place,V-ASM-3S,G1096,Luke 1,211
ταῦτα,these things,DPro-NNP,G3778,Luke 1,212
ἀνθ,in return for,Prep,G473,Luke 1,213
ὧν,that,RelPro-GNP,G3739,Luke 1,214
ἐπίστευσας,you did believe,V-AIA-2S,G4100,Luke 1,215
τοῖς,the,Art-DMP,G3588,Luke 1,216
λόγοις,words,N-DMP,G3056,Luke 1,217
οἵτινες,which,RelPro-NMP,G3748,Luke 1,218
πληρωθήσονται,will be fulfilled,V-FIP-3P,G4137,Luke 1,219
καιρὸν,season,N-AMS,G2540,Luke 1,220
λαὸς,people,N-NMS,G2992,Luke 1,221
προσδοκῶν,expecting,V-PPA-NMS,G4328,Luke 1,222
Ζαχαρίαν,Zechariah,N-AMS,G2197,Luke 1,223
