Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἐπειδήπερ,Inasmuch as,Conj,G1895,Luke 1,1
πολλοὶ,many,Adj-NMP,G4183,Luke 1,2
ἐπεχείρησαν,have undertaken,V-AIA-3P,G2021,Luke 1,3
ἀνατάξασθαι,to draw up,V-ANM,G392,Luke 1,4
διήγησιν,a narration,N-AFS,G1335,Luke 1,5
περὶ,concerning,Prep,G4012,Luke 1,6
τῶν,the,Art-GNP,G3588,Luke 1,7
πεπληροφορημένων,having been accomplished,V-RPM/P-GNP,G4135,Luke 1,8
ἐν,among,Prep,G1722,Luke 1,9
ἡμῖν,us,PPro-D1P,G1473,Luke 1,10
πραγμάτων,things,N-GNP,G4229,Luke 1,11
καθὼς,as,Adv,G2531,Luke 1,12
παρέδοσαν,delivered them,V-AIA-3P,G3860,Luke 1,13
ἀπ,from,Prep,G575,Luke 1,14
ἀρχῆς,the beginning,N-GFS,G746,Luke 1,15
αὐτόπται,eyewitnesses,N-NMP,G845,Luke 1,16
καὶ,and,Conj,G2532,Luke 1,17
ὑπηρέται,servants,N-NMP,G5257,Luke 1,18
γενόμενοι,having been,V-APM-NMP,G1096,Luke 1,19
λόγου,word,N-GMS,G3056,Luke 1,20
ἔδοξε,it seemed good,V-AIA-3S,G1380,Luke 1,21
κἀμοὶ,also to me,PPro-D1S,G2504,Luke 1,22
παρηκολουθηκότι,having been acquainted,V-RPA-DMS,G3877,Luke 1,23
ἄνωθεν,from the first,Adv,G509,Luke 1,24
πᾶσιν,with all things,Adj-DNP,G3956,Luke 1,25
ἀκριβῶς,carefully,Adv,G199,Luke 1,26
καθεξῆς,with method,Adv,G2517,Luke 1,27
σοι,to you,PPro-D2S,G4771,Luke 1,28
γράψαι,to write,V-ANA,G1125,Luke 1,29
κράτιστε,most excellent,Adj-VMS-S,G2903,Luke 1,30
Θεόφιλε,Theophilus,N-VMS,G2321,Luke 1,31
ἵνα,so that,Conj,G2443,Luke 1,32
ἐπιγνῷς,you may know,V-ASA-2S,G1921,Luke 1,33
ὧν,which,RelPro-GMP,G3739,Luke 1,34
κατηχήθης,you were instructed,V-AIP-2S,G2727,Luke 1,35
ἀσφάλειαν,certainty,N-AFS,G803,Luke 1,36
ἡμέραις,days,N-DFP,G2250,Luke 1,37
Ἡρῴδου,of Herod,N-GMS,G2264,Luke 1,38
βασιλέως,king,N-GMS,G935,Luke 1,39
Ἰουδαίας,of Judea,N-GFS,G2449,Luke 1,40
ἱερεύς,a priest,N-NMS,G2409,Luke 1,41
τις,certain,IPro-NMS,G5100,Luke 1,42
ὀνόματι,named,N-DNS,G3686,Luke 1,43
Ζαχαρίας,Zechariah,N-NMS,G2197,Luke 1,44
ἐξ,of the,Prep,G1537,Luke 1,45
ἐφημερίας,division,N-GFS,G2183,Luke 1,46
Ἀβιά,of Abijah,N-GMS,G7,Luke 1,47
γυνὴ,wife,N-NFS,G1135,Luke 1,48
αὐτῷ,of him,PPro-DM3S,G846,Luke 1,49
θυγατέρων,daughters,N-GFP,G2364,Luke 1,50
Ἀαρών,of Aaron,N-GMS,G2,Luke 1,51
Ἐλισάβετ,Elizabeth,N-NFS,G1665,Luke 1,52
ἦσαν,They were,V-IIA-3P,G1510,Luke 1,53
δὲ,now,Conj,G1161,Luke 1,54
δίκαιοι,righteous,Adj-NMP,G1342,Luke 1,55
ἀμφότεροι,both,Adj-NMP,G297,Luke 1,56
ἐναντίον,before,Prep,G1726,Luke 1,57
Θεοῦ,God,N-GMS,G2316,Luke 1,58
πορευόμενοι,walking,V-PPM/P-NMP,G4198,Luke 1,59
ἐντολαῖς,commandments,N-DFP,G1785,Luke 1,60
δικαιώμασιν,ordinances,N-DNP,G1345,Luke 1,61
Κυρίου,Lord,N-GMS,G2962,Luke 1,62
ἄμεμπτοι,blameless,Adj-NMP,G273,Luke 1,63
οὐκ,no,Adv,G3756,Luke 1,64
τέκνον,child,N-NNS,G5043,Luke 1,65
καθότι,inasmuch as,Adv,G2530,Luke 1,66
στεῖρα,barren,Adj-NFS,G4723,Luke 1,67
προβεβηκότες,advanced,V-RPA-NMP,G4260,Luke 1,68
ἱερατεύειν,fulfilling the priestly service,V-PNA,G2407,Luke 1,69
τάξει,order,N-DFS,G5010,Luke 1,70
ἔναντι,before,Prep,G1725,Luke 1,71
κατὰ,according to,Prep,G2596,Luke 1,72
ἔθος,custom,N-ANS,G1485,Luke 1,73
ἱερατείας,priesthood,N-GFS,G2405,Luke 1,74
ἔλαχε,it fell to him by lot,V-AIA-3S,G2975,Luke 1,75
θυμιᾶσαι,to burn incense,V-ANA,G2370,Luke 1,76
εἰσελθὼν,having entered,V-APA-NMS,G1525,Luke 1,77
εἰς,into,Prep,G1519,Luke 1,78
ναὸν,temple,N-AMS,G3485,Luke 1,79
πλῆθος,multitude,N-NNS,G4128,Luke 1,80
λαοῦ,people,N-GMS,G2992,Luke 1,81
προσευχόμενον,praying,V-PPM/P-NNS,G4336,Luke 1,82
ἔξω,outside,Adv,G1854,Luke 1,83
ὥρᾳ,hour,N-DFS,G5610,Luke 1,84
θυμιάματος,incense,N-GNS,G2368,Luke 1,85
Ὤφθη,Appeared,V-AIP-3S,G3708,Luke 1,86
ἄγγελος,an angel,N-NMS,G32,Luke 1,87
ἑστὼς,standing,V-RPA-NMS,G2476,Luke 1,88
δεξιῶν,the right,Adj-GNP,G1188,Luke 1,89
θυσιαστηρίου,altar,N-GNS,G2379,Luke 1,90
ἐταράχθη,was troubled,V-AIP-3S,G5015,Luke 1,91
φόβος,fear,N-NMS,G5401,Luke 1,92
ἐπέπεσεν,fell,V-AIA-3S,G1968,Luke 1,93
ἐπ,upon,Prep,G1909,Luke 1,94
Εἶπεν,Said,V-AIA-3S,G2036,Luke 1,95
πρὸς,to,Prep,G4314,Luke 1,96
Μὴ,Not,Adv,G3361,Luke 1,97
φοβοῦ,fear,V-PMM/P-2S,G5399,Luke 1,98
διότι,because,Conj,G1360,Luke 1,99
εἰσηκούσθη,has been heard,V-AIP-3S,G1522,Luke 1,100
δέησίς,prayer,N-NFS,G1162,Luke 1,101
γεννήσει,will bear,V-FIA-3S,G1080,Luke 1,102
υἱόν,a son,N-AMS,G5207,Luke 1,103
καλέσεις,you shall call,V-FIA-2S,G2564,Luke 1,104
Ἰωάννην,John,N-AMS,G2491,Luke 1,105
χαρά,joy,N-NFS,G5479,Luke 1,106
ἀγαλλίασις,gladness,N-NFS,G20,Luke 1,107
γενέσει,birth,N-DFS,G1078,Luke 1,108
χαρήσονται,will rejoice,V-FIP-3P,G5463,Luke 1,109
γὰρ,for,Conj,G1063,Luke 1,110
μέγας,great,Adj-NMS,G3173,Luke 1,111
ἐνώπιον,before,Prep,G1799,Luke 1,112
οἶνον,wine,N-AMS,G3631,Luke 1,113
σίκερα,strong drink,N-ANS,G4608,Luke 1,114
πίῃ,shall he drink,V-ASA-3S,G4095,Luke 1,115
Πνεύματος,of the Spirit,N-GNS,G4151,Luke 1,116
Ἁγίου,Holy,Adj-GNS,G40,Luke 1,117
πλησθήσεται,he will be filled,V-FIP-3S,G4130,Luke 1,118
ἔτι,even,Adv,G2089,Luke 1,119
κοιλίας,the womb,N-GFS,G2836,Luke 1,120
μητρὸς,of the mother,N-GFS,G3384,Luke 1,121
Ἰσραὴλ,of Israel,N-GMS,G2474,Luke 1,122
ἐπιστρέψει,he will turn,V-FIA-3S,G1994,Luke 1,123
προελεύσεται,will go forth,V-FIM-3S,G4281,Luke 1,124
δυνάμει,power,N-DFS,G1411,Luke 1,125
Ἠλίου,of Elijah,N-GMS,G2243,Luke 1,126
καρδίας,the hearts,N-AFP,G2588,Luke 1,127
πατέρων,of the fathers,N-GMP,G3962,Luke 1,128
ἀπειθεῖς,the disobedient,Adj-AMP,G545,Luke 1,129
φρονήσει,the wisdom,N-DFS,G5428,Luke 1,130
ἑτοιμάσαι,to make ready,V-ANA,G2090,Luke 1,131
κατεσκευασμένον,prepared,V-RPM/P-AMS,G2680,Luke 1,132
τί,what,IPro-ANS,G5101,Luke 1,133
γνώσομαι,will I know,V-FIM-1S,G1097,Luke 1,134
τοῦτο,this,DPro-ANS,G3778,Luke 1,135
πρεσβύτης,an old man,N-NMS,G4246,Luke 1,136
ἀποκριθεὶς,answering,V-APP-NMS,G611,Luke 1,137
Γαβριὴλ,Gabriel,N-NMS,G1043,Luke 1,138
παρεστηκὼς,standing,V-RPA-NMS,G3936,Luke 1,139
ἀπεστάλην,I was sent,V-AIP-1S,G649,Luke 1,140
λαλῆσαι,to speak,V-ANA,G2980,Luke 1,141
εὐαγγελίσασθαί,to bring glad tidings,V-ANM,G2097,Luke 1,142
ἰδοὺ,behold,V-AMA-2S,G2400,Luke 1,143
σιωπῶν,silent,V-PPA-NMS,G4623,Luke 1,144
δυνάμενος,able,V-PPM/P-NMS,G1410,Luke 1,145
ἄχρι,until,Prep,G891,Luke 1,146
ἀνθ,in return for,Prep,G473,Luke 1,147
ἐπίστευσας,you did believe,V-AIA-2S,G4100,Luke 1,148
οἵτινες,which,RelPro-NMP,G3748,Luke 1,149
πληρωθήσονται,will be fulfilled,V-FIP-3P,G4137,Luke 1,150
καιρὸν,season,N-AMS,G2540,Luke 1,151
προσδοκῶν,expecting,V-PPA-NMS,G4328,Luke 1,152
ἐθαύμαζον,they were wondering,V-IIA-3P,G2296,Luke 1,153
χρονίζειν,delaying,V-PNA,G5549,Luke 1,154
ἐξελθὼν,Having come out,V-APA-NMS,G1831,Luke 1,155
ὅτι,that,Conj,G3754,Luke 1,156
ὀπτασίαν,a vision,N-AFS,G3701,Luke 1,157
διανεύων,making signs,V-PPA-NMS,G1269,Luke 1,158
διέμενεν,remained,V-IIA-3S,G1265,Luke 1,159
κωφός,mute,Adj-NMS,G2974,Luke 1,160
ὡς,when,Adv,G5613,Luke 1,161
λειτουργίας,service,N-GFS,G3009,Luke 1,162
ἀπῆλθεν,he departed,V-AIA-3S,G565,Luke 1,163
οἶκον,home,N-AMS,G3624,Luke 1,164
Μετὰ,After,Prep,G3326,Luke 1,165
συνέλαβεν,conceived,V-AIA-3S,G4815,Luke 1,166
περιέκρυβεν,hid,V-IIA-3S,G4032,Luke 1,167
ἑαυτὴν,herself,RefPro-AF3S,G1438,Luke 1,168
μῆνας,months,N-AMP,G3376,Luke 1,169
πέντε,five,Adj-AMP,G4002,Luke 1,170
λέγουσα,saying,V-PPA-NFS,G3004,Luke 1,171
Οὕτως,Thus,Adv,G3779,Luke 1,172
πεποίηκεν,has done,V-RIA-3S,G4160,Luke 1,173
ἐπεῖδεν,He looked upon me,V-AIA-3S,G1896,Luke 1,174
ἀφελεῖν,to take away,V-ANA,G851,Luke 1,175
ὄνειδός,the disgrace,N-ANS,G3681,Luke 1,176
ἀνθρώποις,men,N-DMP,G444,Luke 1,177
ἕκτῳ,sixth,Adj-DMS,G1623,Luke 1,178
πόλιν,a city,N-AFS,G4172,Luke 1,179
Γαλιλαίας,of Galilee,N-GFS,G1056,Luke 1,180
Ναζαρὲθ,Nazareth,N-NFS,G3478,Luke 1,181
παρθένον,a virgin,N-AFS,G3933,Luke 1,182
ἐμνηστευμένην,betrothed,V-RPM/P-AFS,G3423,Luke 1,183
ἀνδρὶ,to a man,N-DMS,G435,Luke 1,184
Ἰωσὴφ,Joseph,N-NMS,G2501,Luke 1,185
Δαυὶδ,of David,N-GMS,G1138,Luke 1,186
Μαριάμ,was Mary,N-NFS,G3137,Luke 1,187
κεχαριτωμένη,you favored with grace,V-RPM/P-VFS,G5487,Luke 1,188
εὐλογημένη,Blessed,V-RPP-NFS,G2127,Luke 1,189
διεταράχθη,she was troubled,V-AIP-3S,G1298,Luke 1,190
διελογίζετο,was pondering,V-IIM/P-3S,G1260,Luke 1,191
ποταπὸς,what kind,IPro-NMS,G4217,Luke 1,192
ἀσπασμὸς,salutation,N-NMS,G783,Luke 1,193
εὗρες,you have found,V-AIA-2S,G2147,Luke 1,194
χάριν,favor,N-AFS,G5485,Luke 1,195
παρὰ,with,Prep,G3844,Luke 1,196
γαστρὶ,womb,N-DFS,G1064,Luke 1,197
τέξῃ,will bring forth,V-FIM-2S,G5088,Luke 1,198
Ἰησοῦν,Jesus,N-AMS,G2424,Luke 1,199
Ὑψίστου,of the Most High,Adj-GMS-S,G5310,Luke 1,200
δώσει,will give,V-FIA-3S,G1325,Luke 1,201
θρόνον,throne,N-AMS,G2362,Luke 1,202
βασιλεύσει,He will reign,V-FIA-3S,G936,Luke 1,203
Ἰακὼβ,of Jacob,N-GMS,G2384,Luke 1,204
αἰῶνας,ages,N-AMP,G165,Luke 1,205
βασιλείας,kingdom,N-GFS,G932,Luke 1,206
τέλος,an end,N-NNS,G5056,Luke 1,207
Πῶς,How,Adv,G4459,Luke 1,208
ἐπεὶ,since,Conj,G1893,Luke 1,209
ἐπελεύσεται,will come,V-FIM-3S,G1904,Luke 1,210
ἐπισκιάσει,will overshadow,V-FIA-3S,G1982,Luke 1,211
διὸ,therefore,Conj,G1352,Luke 1,212
συγγενίς,relative,N-NFS,G4773,Luke 1,213
γήρει,old age,N-DNS,G1094,Luke 1,214
ἀδυνατήσει,will be impossible,V-FIA-3S,G101,Luke 1,215
ῥῆμα,thing,N-NNS,G4487,Luke 1,216
δούλη,handmaid,N-NFS,G1399,Luke 1,217
