Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἀρχὴ,The beginning,N-NFS,G746,Mark 1,1
τοῦ,of the,Art-GNS,G3588,Mark 1,2
εὐαγγελίου,gospel,N-GNS,G2098,Mark 1,3
Ἰησοῦ,of Jesus,N-GMS,G2424,Mark 1,4
Χριστοῦ,Christ,N-GMS,G5547,Mark 1,5
Υἱοῦ,Son,N-GMS,G5207,Mark 1,6
Θεοῦ,of God,N-GMS,G2316,Mark 1,7
Καθὼς,As,Adv,G2531,Mark 1,8
γέγραπται,it has been written,V-RIM/P-3S,G1125,Mark 1,9
ἐν,in,Prep,G1722,Mark 1,10
τῷ,-,Art-DMS,G3588,Mark 1,11
Ἠσαΐᾳ,Isaiah,N-DMS,G2268,Mark 1,12
προφήτῃ,prophet,N-DMS,G4396,Mark 1,13
Ἰδοὺ,Behold,V-AMA-2S,G2400,Mark 1,14
ἀποστέλλω,I send,V-PIA-1S,G649,Mark 1,15
τὸν,the,Art-AMS,G3588,Mark 1,16
ἄγγελόν,messenger,N-AMS,G32,Mark 1,17
μου,of Me,PPro-G1S,G1473,Mark 1,18
πρὸ,before,Prep,G4253,Mark 1,19
προσώπου,face,N-GNS,G4383,Mark 1,20
σου,of You,PPro-G2S,G4771,Mark 1,21
ὃς,who,RelPro-NMS,G3739,Mark 1,22
κατασκευάσει,will prepare,V-FIA-3S,G2680,Mark 1,23
τὴν,the,Art-AFS,G3588,Mark 1,24
ὁδόν,way,N-AFS,G3598,Mark 1,25
Φωνὴ,The voice,N-NFS,G5456,Mark 1,26
βοῶντος,of one crying,V-PPA-GMS,G994,Mark 1,27
τῇ,the,Art-DFS,G3588,Mark 1,28
ἐρήμῳ,wilderness,Adj-DFS,G2048,Mark 1,29
Ἑτοιμάσατε,Prepare,V-AMA-2P,G2090,Mark 1,30
ὁδὸν,way,N-AFS,G3598,Mark 1,31
Κυρίου,of the Lord,N-GMS,G2962,Mark 1,32
εὐθείας,straight,Adj-AFP,G2117,Mark 1,33
ποιεῖτε,make,V-PMA-2P,G4160,Mark 1,34
τὰς,the,Art-AFP,G3588,Mark 1,35
τρίβους,paths,N-AFP,G5147,Mark 1,36
αὐτοῦ,of Him,PPro-GM3S,G846,Mark 1,37
Ἐγένετο,Came,V-AIM-3S,G1096,Mark 1,38
Ἰωάννης,John,N-NMS,G2491,Mark 1,39
ὁ,-,Art-NMS,G3588,Mark 1,40
βαπτίζων,baptizing,V-PPA-NMS,G907,Mark 1,41
καὶ,and,Conj,G2532,Mark 1,42
κηρύσσων,proclaiming,V-PPA-NMS,G2784,Mark 1,43
βάπτισμα,a baptism,N-ANS,G908,Mark 1,44
μετανοίας,of repentance,N-GFS,G3341,Mark 1,45
εἰς,for,Prep,G1519,Mark 1,46
ἄφεσιν,forgiveness,N-AFS,G859,Mark 1,47
ἁμαρτιῶν,of sins,N-GFP,G266,Mark 1,48
καὶ,And,Conj,G2532,Mark 1,49
ἐξεπορεύετο,were going out,V-IIM/P-3S,G1607,Mark 1,50
πρὸς,to,Prep,G4314,Mark 1,51
αὐτὸν,him,PPro-AM3S,G846,Mark 1,52
πᾶσα,all,Adj-NFS,G3956,Mark 1,53
ἡ,the,Art-NFS,G3588,Mark 1,54
Ἰουδαία,of Judea,N-NFS,G2449,Mark 1,55
χώρα,region,N-NFS,G5561,Mark 1,56
οἱ,-,Art-NMP,G3588,Mark 1,57
Ἱεροσολυμῖται,of Jerusalem,N-NMP,G2415,Mark 1,58
πάντες,all,Adj-NMP,G3956,Mark 1,59
ἐβαπτίζοντο,were being baptized,V-IIM/P-3P,G907,Mark 1,60
ὑπ,by,Prep,G5259,Mark 1,61
Ἰορδάνῃ,Jordan,N-DMS,G2446,Mark 1,62
ποταμῷ,river,N-DMS,G4215,Mark 1,63
ἐξομολογούμενοι,confessing,V-PPM-NMP,G1843,Mark 1,64
ἁμαρτίας,sins,N-AFP,G266,Mark 1,65
αὐτῶν,of them,PPro-GM3P,G846,Mark 1,66
Καὶ,And,Conj,G2532,Mark 1,67
ἦν,was,V-IIA-3S,G1510,Mark 1,68
ἐνδεδυμένος,clothed in,V-RPM-NMS,G1746,Mark 1,69
τρίχας,hair,N-AFP,G2359,Mark 1,70
καμήλου,of a camel,N-GFS,G2574,Mark 1,71
ζώνην,a belt,N-AFS,G2223,Mark 1,72
δερματίνην,of leather,Adj-AFS,G1193,Mark 1,73
περὶ,around,Prep,G4012,Mark 1,74
ὀσφὺν,waist,N-AFS,G3751,Mark 1,75
ἔσθων,he is eating,V-PPA-NMS,G2068,Mark 1,76
ἀκρίδας,locusts,N-AFP,G200,Mark 1,77
μέλι,honey,N-ANS,G3192,Mark 1,78
ἄγριον,wild,Adj-ANS,G66,Mark 1,79
ἐκήρυσσεν,he was preaching,V-IIA-3S,G2784,Mark 1,80
λέγων,saying,V-PPA-NMS,G3004,Mark 1,81
Ἔρχεται,He comes,V-PIM/P-3S,G2064,Mark 1,82
ἰσχυρότερός,is mightier,Adj-NMS-C,G2478,Mark 1,83
ὀπίσω,after,Prep,G3694,Mark 1,84
οὗ,of whom,RelPro-GMS,G3739,Mark 1,85
οὐκ,not,Adv,G3756,Mark 1,86
εἰμὶ,I am,V-PIA-1S,G1510,Mark 1,87
