Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἀρχὴ,The beginning,N-NFS,G746,Mark 1,1
τοῦ,of the,Art-GNS,G3588,Mark 1,2
εὐαγγελίου,gospel,N-GNS,G2098,Mark 1,3
Ἰησοῦ,of Jesus,N-GMS,G2424,Mark 1,4
Χριστοῦ,Christ,N-GMS,G5547,Mark 1,5
Υἱοῦ,Son,N-GMS,G5207,Mark 1,6
Θεοῦ,of God,N-GMS,G2316,Mark 1,7
Καθὼς,As,Adv,G2531,Mark 1,8
γέγραπται,it has been written,V-RIM/P-3S,G1125,Mark 1,9
ἐν,in,Prep,G1722,Mark 1,10
Ἠσαΐᾳ,Isaiah,N-DMS,G2268,Mark 1,11
προφήτῃ,prophet,N-DMS,G4396,Mark 1,12
Ἰδοὺ,Behold,V-AMA-2S,G2400,Mark 1,13
ἀποστέλλω,I send,V-PIA-1S,G649,Mark 1,14
ἄγγελόν,messenger,N-AMS,G32,Mark 1,15
μου,of Me,PPro-G1S,G1473,Mark 1,16
πρὸ,before,Prep,G4253,Mark 1,17
προσώπου,face,N-GNS,G4383,Mark 1,18
σου,of You,PPro-G2S,G4771,Mark 1,19
ὃς,who,RelPro-NMS,G3739,Mark 1,20
κατασκευάσει,will prepare,V-FIA-3S,G2680,Mark 1,21
ὁδόν,way,N-AFS,G3598,Mark 1,22
Φωνὴ,The voice,N-NFS,G5456,Mark 1,23
βοῶντος,of one crying,V-PPA-GMS,G994,Mark 1,24
ἐρήμῳ,wilderness,Adj-DFS,G2048,Mark 1,25
Ἑτοιμάσατε,Prepare,V-AMA-2P,G2090,Mark 1,26
Κυρίου,of the Lord,N-GMS,G2962,Mark 1,27
εὐθείας,straight,Adj-AFP,G2117,Mark 1,28
ποιεῖτε,make,V-PMA-2P,G4160,Mark 1,29
τρίβους,paths,N-AFP,G5147,Mark 1,30
αὐτοῦ,of Him,PPro-GM3S,G846,Mark 1,31
Ἐγένετο,Came,V-AIM-3S,G1096,Mark 1,32
Ἰωάννης,John,N-NMS,G2491,Mark 1,33
βαπτίζων,baptizing,V-PPA-NMS,G907,Mark 1,34
καὶ,and,Conj,G2532,Mark 1,35
κηρύσσων,proclaiming,V-PPA-NMS,G2784,Mark 1,36
βάπτισμα,a baptism,N-ANS,G908,Mark 1,37
μετανοίας,of repentance,N-GFS,G3341,Mark 1,38
εἰς,for,Prep,G1519,Mark 1,39
ἄφεσιν,forgiveness,N-AFS,G859,Mark 1,40
ἁμαρτιῶν,of sins,N-GFP,G266,Mark 1,41
ἐξεπορεύετο,were going out,V-IIM/P-3S,G1607,Mark 1,42
πρὸς,to,Prep,G4314,Mark 1,43
πᾶσα,all,Adj-NFS,G3956,Mark 1,44
Ἰουδαία,of Judea,N-NFS,G2449,Mark 1,45
χώρα,region,N-NFS,G5561,Mark 1,46
Ἱεροσολυμῖται,of Jerusalem,N-NMP,G2415,Mark 1,47
ὑπ,by,Prep,G5259,Mark 1,48
Ἰορδάνῃ,Jordan,N-DMS,G2446,Mark 1,49
ποταμῷ,river,N-DMS,G4215,Mark 1,50
ἐξομολογούμενοι,confessing,V-PPM-NMP,G1843,Mark 1,51
ἦν,was,V-IIA-3S,G1510,Mark 1,52
ἐνδεδυμένος,clothed in,V-RPM-NMS,G1746,Mark 1,53
τρίχας,hair,N-AFP,G2359,Mark 1,54
καμήλου,of a camel,N-GFS,G2574,Mark 1,55
ζώνην,a belt,N-AFS,G2223,Mark 1,56
δερματίνην,of leather,Adj-AFS,G1193,Mark 1,57
περὶ,around,Prep,G4012,Mark 1,58
ὀσφὺν,waist,N-AFS,G3751,Mark 1,59
ἔσθων,he is eating,V-PPA-NMS,G2068,Mark 1,60
ἀκρίδας,locusts,N-AFP,G200,Mark 1,61
μέλι,honey,N-ANS,G3192,Mark 1,62
ἄγριον,wild,Adj-ANS,G66,Mark 1,63
λέγων,saying,V-PPA-NMS,G3004,Mark 1,64
Ἔρχεται,He comes,V-PIM/P-3S,G2064,Mark 1,65
ἰσχυρότερός,is mightier,Adj-NMS-C,G2478,Mark 1,66
ὀπίσω,after,Prep,G3694,Mark 1,67
οὐκ,not,Adv,G3756,Mark 1,68
ἱκανὸς,sufficient,Adj-NMS,G2425,Mark 1,69
κύψας,having stooped down,V-APA-NMS,G2955,Mark 1,70
λῦσαι,to untie,V-ANA,G3089,Mark 1,71
ἱμάντα,strap,N-AMS,G2438,Mark 1,72
ὑποδημάτων,sandals,N-GNP,G5266,Mark 1,73
ὕδατι,with water,N-DNS,G5204,Mark 1,74
δὲ,however,Conj,G1161,Mark 1,75
Πνεύματι,the Spirit,N-DNS,G4151,Mark 1,76
Ἁγίῳ,Holy,Adj-DNS,G40,Mark 1,77
ἐκείναις,those,DPro-DFP,G1565,Mark 1,78
ἡμέραις,days,N-DFP,G2250,Mark 1,79
ἀπὸ,from,Prep,G575,Mark 1,80
Ναζαρὲτ,Nazareth,N-GFS,G3478,Mark 1,81
Γαλιλαίας,of Galilee,N-GFS,G1056,Mark 1,82
εὐθὺς,immediately,Adv,G2112,Mark 1,83
ἀναβαίνων,going up,V-PPA-NMS,G305,Mark 1,84
ἐκ,from,Prep,G1537,Mark 1,85
εἶδεν,he saw,V-AIA-3S,G3708,Mark 1,86
