Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Philemon 1,1
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Philemon 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Philemon 1,4
καὶ,and,Conj,G2532,Philemon 1,5
Τιμόθεος,Timothy,N-NMS,G5095,Philemon 1,6
ὁ,our,Art-NMS,G3588,Philemon 1,7
ἀδελφὸς,brother,N-NMS,G80,Philemon 1,8
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,9
τῷ,the,Art-DMS,G3588,Philemon 1,10
ἀγαπητῷ,beloved,Adj-DMS,G27,Philemon 1,11
συνεργῷ,fellow worker,Adj-DMS,G4904,Philemon 1,12
ἡμῶν,of us,PPro-G1P,G1473,Philemon 1,13
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,14
τῇ,our,Art-DFS,G3588,Philemon 1,15
ἀδελφῇ,sister,N-DFS,G79,Philemon 1,16
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,17
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,18
κατ,at,Prep,G2596,Philemon 1,19
οἶκόν,the house,N-AMS,G3624,Philemon 1,20
σου,of you,PPro-G2S,G4771,Philemon 1,21
ἐκκλησίᾳ,church,N-DFS,G1577,Philemon 1,22
Χάρις,Grace,N-NFS,G5485,Philemon 1,23
ὑμῖν,to you,PPro-D2P,G4771,Philemon 1,24
εἰρήνη,peace,N-NFS,G1515,Philemon 1,25
ἀπὸ,from,Prep,G575,Philemon 1,26
Θεοῦ,God,N-GMS,G2316,Philemon 1,27
Πατρὸς,Father,N-GMS,G3962,Philemon 1,28
Κυρίου,the Lord,N-GMS,G2962,Philemon 1,29
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,Philemon 1,30
Θεῷ,God,N-DMS,G2316,Philemon 1,31
μου,of me,PPro-G1S,G1473,Philemon 1,32
πάντοτε,always,Adv,G3842,Philemon 1,33
μνείαν,mention,N-AFS,G3417,Philemon 1,34
ποιούμενος,making,V-PPM-NMS,G4160,Philemon 1,35
ἐπὶ,upon,Prep,G1909,Philemon 1,36
τῶν,the,Art-GFP,G3588,Philemon 1,37
προσευχῶν,prayers,N-GFP,G4335,Philemon 1,38
ἀκούων,hearing,V-PPA-NMS,G191,Philemon 1,39
τὴν,-,Art-AFS,G3588,Philemon 1,40
ἀγάπην,love,N-AFS,G26,Philemon 1,41
