Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Philemon 1,1
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Philemon 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Philemon 1,4
καὶ,and,Conj,G2532,Philemon 1,5
Τιμόθεος,Timothy,N-NMS,G5095,Philemon 1,6
ὁ,our,Art-NMS,G3588,Philemon 1,7
ἀδελφὸς,brother,N-NMS,G80,Philemon 1,8
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,9
ἀγαπητῷ,beloved,Adj-DMS,G27,Philemon 1,10
συνεργῷ,fellow worker,Adj-DMS,G4904,Philemon 1,11
ἡμῶν,of us,PPro-G1P,G1473,Philemon 1,12
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,13
ἀδελφῇ,sister,N-DFS,G79,Philemon 1,14
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,15
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,16
κατ,at,Prep,G2596,Philemon 1,17
οἶκόν,the house,N-AMS,G3624,Philemon 1,18
σου,of you,PPro-G2S,G4771,Philemon 1,19
ἐκκλησίᾳ,church,N-DFS,G1577,Philemon 1,20
Χάρις,Grace,N-NFS,G5485,Philemon 1,21
εἰρήνη,peace,N-NFS,G1515,Philemon 1,22
ἀπὸ,from,Prep,G575,Philemon 1,23
Θεοῦ,God,N-GMS,G2316,Philemon 1,24
Πατρὸς,Father,N-GMS,G3962,Philemon 1,25
Κυρίου,the Lord,N-GMS,G2962,Philemon 1,26
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,Philemon 1,27
πάντοτε,always,Adv,G3842,Philemon 1,28
μνείαν,mention,N-AFS,G3417,Philemon 1,29
ποιούμενος,making,V-PPM-NMS,G4160,Philemon 1,30
ἐπὶ,upon,Prep,G1909,Philemon 1,31
προσευχῶν,prayers,N-GFP,G4335,Philemon 1,32
ἀκούων,hearing,V-PPA-NMS,G191,Philemon 1,33
ἀγάπην,love,N-AFS,G26,Philemon 1,34
πίστιν,faith,N-AFS,G4102,Philemon 1,35
ἣν,that,RelPro-AFS,G3739,Philemon 1,36
ἔχεις,you have,V-PIA-2S,G2192,Philemon 1,37
πρὸς,toward,Prep,G4314,Philemon 1,38
εἰς,toward,Prep,G1519,Philemon 1,39
πάντας,all,Adj-AMP,G3956,Philemon 1,40
ἁγίους,saints,Adj-AMP,G40,Philemon 1,41
