Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἀποκάλυψις,The revelation,N-NFS,G602,Revelation 1,1
Ἰησοῦ,of Jesus,N-GMS,G2424,Revelation 1,2
Χριστοῦ,Christ,N-GMS,G5547,Revelation 1,3
ἣν,which,RelPro-AFS,G3739,Revelation 1,4
ἔδωκεν,gave,V-AIA-3S,G1325,Revelation 1,5
αὐτῷ,Him,PPro-DM3S,G846,Revelation 1,6
ὁ,-,Art-NMS,G3588,Revelation 1,7
Θεός,God,N-NMS,G2316,Revelation 1,8
δεῖξαι,to show,V-ANA,G1166,Revelation 1,9
τοῖς,to the,Art-DMP,G3588,Revelation 1,10
δούλοις,bond-servants,N-DMP,G1401,Revelation 1,11
αὐτοῦ,of Him,PPro-GM3S,G846,Revelation 1,12
ἃ,what things,RelPro-ANP,G3739,Revelation 1,13
δεῖ,it behooves,V-PIA-3S,G1163,Revelation 1,14
γενέσθαι,to take place,V-ANM,G1096,Revelation 1,15
ἐν,in,Prep,G1722,Revelation 1,16
τάχει,quickness,N-DNS,G5034,Revelation 1,17
καὶ,And,Conj,G2532,Revelation 1,18
ἐσήμανεν,He signified it,V-AIA-3S,G4591,Revelation 1,19
ἀποστείλας,having sent,V-APA-NMS,G649,Revelation 1,20
διὰ,through,Prep,G1223,Revelation 1,21
τοῦ,the,Art-GMS,G3588,Revelation 1,22
ἀγγέλου,angel,N-GMS,G32,Revelation 1,23
τῷ,to the,Art-DMS,G3588,Revelation 1,24
δούλῳ,servant,N-DMS,G1401,Revelation 1,25
Ἰωάννῃ,John,N-DMS,G2491,Revelation 1,26
ὃς,who,RelPro-NMS,G3739,Revelation 1,27
ἐμαρτύρησεν,testified,V-AIA-3S,G3140,Revelation 1,28
τὸν,to the,Art-AMS,G3588,Revelation 1,29
λόγον,word,N-AMS,G3056,Revelation 1,30
Θεοῦ,of God,N-GMS,G2316,Revelation 1,31
τὴν,to the,Art-AFS,G3588,Revelation 1,32
μαρτυρίαν,testimony,N-AFS,G3141,Revelation 1,33
ὅσα,as much as,RelPro-ANP,G3745,Revelation 1,34
εἶδεν,he saw,V-AIA-3S,G3708,Revelation 1,35
Μακάριος,Blessed is,Adj-NMS,G3107,Revelation 1,36
ἀναγινώσκων,reading,V-PPA-NMS,G314,Revelation 1,37
οἱ,those,Art-NMP,G3588,Revelation 1,38
ἀκούοντες,hearing,V-PPA-NMP,G191,Revelation 1,39
τοὺς,the,Art-AMP,G3588,Revelation 1,40
λόγους,words,N-AMP,G3056,Revelation 1,41
