Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἀποκάλυψις,The revelation,N-NFS,G602,Revelation 1,1
Ἰησοῦ,of Jesus,N-GMS,G2424,Revelation 1,2
Χριστοῦ,Christ,N-GMS,G5547,Revelation 1,3
ἣν,which,RelPro-AFS,G3739,Revelation 1,4
ἔδωκεν,gave,V-AIA-3S,G1325,Revelation 1,5
αὐτῷ,Him,PPro-DM3S,G846,Revelation 1,6
ὁ,-,Art-NMS,G3588,Revelation 1,7
Θεός,God,N-NMS,G2316,Revelation 1,8
δεῖξαι,to show,V-ANA,G1166,Revelation 1,9
δούλοις,bond-servants,N-DMP,G1401,Revelation 1,10
δεῖ,it behooves,V-PIA-3S,G1163,Revelation 1,11
γενέσθαι,to take place,V-ANM,G1096,Revelation 1,12
ἐν,in,Prep,G1722,Revelation 1,13
τάχει,quickness,N-DNS,G5034,Revelation 1,14
καὶ,And,Conj,G2532,Revelation 1,15
ἐσήμανεν,He signified it,V-AIA-3S,G4591,Revelation 1,16
ἀποστείλας,having sent,V-APA-NMS,G649,Revelation 1,17
διὰ,through,Prep,G1223,Revelation 1,18
ἀγγέλου,angel,N-GMS,G32,Revelation 1,19
Ἰωάννῃ,John,N-DMS,G2491,Revelation 1,20
ἐμαρτύρησεν,testified,V-AIA-3S,G3140,Revelation 1,21
λόγον,word,N-AMS,G3056,Revelation 1,22
μαρτυρίαν,testimony,N-AFS,G3141,Revelation 1,23
ὅσα,as much as,RelPro-ANP,G3745,Revelation 1,24
εἶδεν,he saw,V-AIA-3S,G3708,Revelation 1,25
Μακάριος,Blessed is,Adj-NMS,G3107,Revelation 1,26
ἀναγινώσκων,reading,V-PPA-NMS,G314,Revelation 1,27
ἀκούοντες,hearing,V-PPA-NMP,G191,Revelation 1,28
προφητείας,prophecy,N-GFS,G4394,Revelation 1,29
τηροῦντες,keeping,V-PPA-NMP,G5083,Revelation 1,30
γεγραμμένα,having been written,V-RPM/P-ANP,G1125,Revelation 1,31
γὰρ,for,Conj,G1063,Revelation 1,32
καιρὸς,the time is,N-NMS,G2540,Revelation 1,33
ἐγγύς,near,Adv,G1451,Revelation 1,34
ἑπτὰ,seven,Adj-DFP,G2033,Revelation 1,35
ἐκκλησίαις,churches,N-DFP,G1577,Revelation 1,36
Ἀσίᾳ,Asia,N-DFS,G773,Revelation 1,37
Χάρις,Grace,N-NFS,G5485,Revelation 1,38
ὑμῖν,to you,PPro-D2P,G4771,Revelation 1,39
εἰρήνη,peace,N-NFS,G1515,Revelation 1,40
