Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Romans 1,1
δοῦλος,a servant,N-NMS,G1401,Romans 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Romans 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Romans 1,4
κλητὸς,a called,Adj-NMS,G2822,Romans 1,5
ἀπόστολος,apostle,N-NMS,G652,Romans 1,6
ἀφωρισμένος,having been set apart,V-RPM/P-NMS,G873,Romans 1,7
εἰς,for,Prep,G1519,Romans 1,8
εὐαγγέλιον,the gospel,N-ANS,G2098,Romans 1,9
Θεοῦ,of God,N-GMS,G2316,Romans 1,10
ὃ,which,RelPro-ANS,G3739,Romans 1,11
προεπηγγείλατο,He promised beforehand,V-AIM-3S,G4279,Romans 1,12
διὰ,through,Prep,G1223,Romans 1,13
τῶν,the,Art-GMP,G3588,Romans 1,14
προφητῶν,prophets,N-GMP,G4396,Romans 1,15
αὐτοῦ,of Him,PPro-GM3S,G846,Romans 1,16
ἐν,in,Prep,G1722,Romans 1,17
γραφαῖς,the Scriptures,N-DFP,G1124,Romans 1,18
ἁγίαις,Holy,Adj-DFP,G40,Romans 1,19
περὶ,concerning,Prep,G4012,Romans 1,20
Υἱοῦ,Son,N-GMS,G5207,Romans 1,21
γενομένου,having come,V-APM-GMS,G1096,Romans 1,22
ἐκ,of the,Prep,G1537,Romans 1,23
σπέρματος,seed,N-GNS,G4690,Romans 1,24
Δαυὶδ,of David,N-GMS,G1138,Romans 1,25
κατὰ,according to,Prep,G2596,Romans 1,26
σάρκα,flesh,N-AFS,G4561,Romans 1,27
ὁρισθέντος,having been declared,V-APP-GMS,G3724,Romans 1,28
δυνάμει,power,N-DFS,G1411,Romans 1,29
πνεῦμα,Spirit,N-ANS,G4151,Romans 1,30
ἁγιωσύνης,of holiness,N-GFS,G42,Romans 1,31
ἀναστάσεως,resurrection,N-GFS,G386,Romans 1,32
νεκρῶν,from the dead,Adj-GMP,G3498,Romans 1,33
Κυρίου,Lord,N-GMS,G2962,Romans 1,34
ἡμῶν,of us,PPro-G1P,G1473,Romans 1,35
ἐλάβομεν,we have received,V-AIA-1P,G2983,Romans 1,36
χάριν,grace,N-AFS,G5485,Romans 1,37
καὶ,and,Conj,G2532,Romans 1,38
ἀποστολὴν,apostleship,N-AFS,G651,Romans 1,39
ὑπακοὴν,obedience,N-AFS,G5218,Romans 1,40
πίστεως,of faith,N-GFS,G4102,Romans 1,41
πᾶσιν,all,Adj-DNP,G3956,Romans 1,42
ἔθνεσιν,Gentiles,N-DNP,G1484,Romans 1,43
ὑπὲρ,on behalf of,Prep,G5228,Romans 1,44
ὀνόματος,name,N-GNS,G3686,Romans 1,45
ἐστε,are,V-PIA-2P,G1510,Romans 1,46
ὑμεῖς,you,PPro-N2P,G4771,Romans 1,47
Ῥώμῃ,Rome,N-DFS,G4516,Romans 1,48
ἀγαπητοῖς,beloved,Adj-DMP,G27,Romans 1,49
εἰρήνη,peace,N-NFS,G1515,Romans 1,50
ἀπὸ,from,Prep,G575,Romans 1,51
Πατρὸς,the Father,N-GMS,G3962,Romans 1,52
Πρῶτον,First,Adv-S,G4412,Romans 1,53
μὲν,indeed,Conj,G3303,Romans 1,54
εὐχαριστῶ,I thank,V-PIA-1S,G2168,Romans 1,55
ὅτι,because,Conj,G3754,Romans 1,56
καταγγέλλεται,is being proclaimed,V-PIM/P-3S,G2605,Romans 1,57
ὅλῳ,all,Adj-DMS,G3650,Romans 1,58
κόσμῳ,world,N-DMS,G2889,Romans 1,59
μάρτυς,Witness,N-NMS,G3144,Romans 1,60
γάρ,for,Conj,G1063,Romans 1,61
λατρεύω,I serve,V-PIA-1S,G3000,Romans 1,62
ὡς,how,Adv,G5613,Romans 1,63
ἀδιαλείπτως,unceasingly,Adv,G89,Romans 1,64
μνείαν,mention,N-AFS,G3417,Romans 1,65
ποιοῦμαι,I make,V-PIM-1S,G4160,Romans 1,66
πάντοτε,always,Adv,G3842,Romans 1,67
ἐπὶ,upon,Prep,G1909,Romans 1,68
προσευχῶν,prayers,N-GFP,G4335,Romans 1,69
δεόμενος,imploring,V-PPM/P-NMS,G1189,Romans 1,70
εἴ,if,Conj,G1487,Romans 1,71
πως,perhaps,Adv,G4459,Romans 1,72
ἤδη,now,Adv,G2235,Romans 1,73
ποτὲ,at last,Adv,G4218,Romans 1,74
εὐοδωθήσομαι,I will make a prosperous journey,V-FIP-1S,G2137,Romans 1,75
θελήματι,will,N-DNS,G2307,Romans 1,76
ἐλθεῖν,to come,V-ANA,G2064,Romans 1,77
πρὸς,to,Prep,G4314,Romans 1,78
ἐπιποθῶ,I long,V-PIA-1S,G1971,Romans 1,79
ἰδεῖν,to see,V-ANA,G3708,Romans 1,80
ἵνα,that,Conj,G2443,Romans 1,81
τι,some,IPro-ANS,G5100,Romans 1,82
μεταδῶ,I may impart,V-ASA-1S,G3330,Romans 1,83
χάρισμα,gift,N-ANS,G5486,Romans 1,84
πνευματικὸν,spiritual,Adj-ANS,G4152,Romans 1,85
στηριχθῆναι,strengthening,V-ANP,G4741,Romans 1,86
τοῦτο,that,DPro-NNS,G3778,Romans 1,87
δέ,now,Conj,G1161,Romans 1,88
συμπαρακληθῆναι,to be encouraged together,V-ANP,G4837,Romans 1,89
ἀλλήλοις,one another,RecPro-DMP,G240,Romans 1,90
τε,both,Conj,G5037,Romans 1,91
Οὐ,Not,Adv,G3756,Romans 1,92
θέλω,I do want,V-PIA-1S,G2309,Romans 1,93
ἀγνοεῖν,to be ignorant,V-PNA,G50,Romans 1,94
ἀδελφοί,brothers,N-VMP,G80,Romans 1,95
πολλάκις,many times,Adv,G4178,Romans 1,96
προεθέμην,I purposed,V-AIM-1S,G4388,Romans 1,97
ἐκωλύθην,was hindered,V-AIP-1S,G2967,Romans 1,98
ἄχρι,until,Prep,G891,Romans 1,99
δεῦρο,present,Adv,G1204,Romans 1,100
καρπὸν,fruit,N-AMS,G2590,Romans 1,101
σχῶ,I might have,V-ASA-1S,G2192,Romans 1,102
καθὼς,as,Adv,G2531,Romans 1,103
λοιποῖς,other,Adj-DNP,G3062,Romans 1,104
Ἕλλησίν,To Greeks,N-DMP,G1672,Romans 1,105
Βαρβάροις,to barbarians,Adj-DMP,G915,Romans 1,106
σοφοῖς,to the wise,Adj-DMP,G4680,Romans 1,107
ἀνοήτοις,the foolish,Adj-DMP,G453,Romans 1,108
ὀφειλέτης,a debtor,N-NMS,G3781,Romans 1,109
οὕτως,Thus,Adv,G3779,Romans 1,110
πρόθυμον,readiness,Adj-NNS,G4289,Romans 1,111
εὐαγγελίσασθαι,to preach the gospel,V-ANM,G2097,Romans 1,112
ἐπαισχύνομαι,I am ashamed of,V-PIM/P-1S,G1870,Romans 1,113
σωτηρίαν,salvation,N-AFS,G4991,Romans 1,114
πιστεύοντι,believing,V-PPA-DMS,G4100,Romans 1,115
Ἰουδαίῳ,to Jewish,Adj-DMS,G2453,Romans 1,116
δικαιοσύνη,The righteousness,N-NFS,G1343,Romans 1,117
ἀποκαλύπτεται,is revealed,V-PIM/P-3S,G601,Romans 1,118
γέγραπται,it has been written,V-RIM/P-3S,G1125,Romans 1,119
δίκαιος,the righteous,Adj-NMS,G1342,Romans 1,120
ζήσεται,will live,V-FIM-3S,G2198,Romans 1,121
ὀργὴ,the wrath,N-NFS,G3709,Romans 1,122
οὐρανοῦ,heaven,N-GMS,G3772,Romans 1,123
