Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ὁ,The,Art-NMS,G3588,2 John 1,1,2
πρεσβύτερος,elder,Adj-NMS,G4245,2 John 1,2,2
Ἐκλεκτῇ,To the elect,Adj-DFS,G1588,2 John 1,3,2
κυρίᾳ,lady,N-DFS,G2959,2 John 1,4,2
καὶ,and,Conj,G2532,2 John 1,5,2
τοῖς,the,Art-DNP,G3588,2 John 1,6,2
τέκνοις,children,N-DNP,G5043,2 John 1,7,2
αὐτῆς,of her,PPro-GF3S,G846,2 John 1,8,2
οὓς,whom,RelPro-AMP,G3739,2 John 1,9,2
ἐγὼ,I,PPro-N1S,G1473,2 John 1,10,2
ἀγαπῶ,love,V-PIA-1S,G25,2 John 1,11,2
ἐν,in,Prep,G1722,2 John 1,12,2
ἀληθείᾳ,truth,N-DFS,G225,2 John 1,13,2
οὐκ,not,Adv,G3756,2 John 1,14,2
μόνος,only,Adj-NMS,G3441,2 John 1,15,2
ἀλλὰ,but,Conj,G235,2 John 1,16,2
πάντες,all,Adj-NMP,G3956,2 John 1,17,2
οἱ,those,Art-NMP,G3588,2 John 1,18,2
ἐγνωκότες,having known,V-RPA-NMP,G1097,2 John 1,19,2
τὴν,the,Art-AFS,G3588,2 John 1,20,2
ἀλήθειαν,truth,N-AFS,G225,2 John 1,21,2
διὰ,because of,Prep,G1223,2 John 1,22,2
μένουσαν,abiding,V-PPA-AFS,G3306,2 John 1,23,2
ἡμῖν,us,PPro-D1P,G1473,2 John 1,24,2
μεθ,with,Prep,G3326,2 John 1,25,2
ἡμῶν,us,PPro-G1P,G1473,2 John 1,26,2
ἔσται,that will be,V-FIM-3S,G1510,2 John 1,27,2
εἰς,to,Prep,G1519,2 John 1,28,2
τὸν,the,Art-AMS,G3588,2 John 1,29,2
αἰῶνα,age,N-AMS,G165,2 John 1,30,2
Ἔσται,Will be,V-FIM-3S,G1510,2 John 1,31,2
χάρις,grace,N-NFS,G5485,2 John 1,32,2
ἔλεος,mercy,N-NNS,G1656,2 John 1,33,2
