Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐφανερώθη,was made manifest,V-AIP-3S,G5319,1 John 1,1,4
κοινωνίαν,fellowship,N-AFS,G2842,1 John 1,2,4
ἡμετέρα,of us,PPro-NF1P,G2251,1 John 1,3,4
ἀγγελία,message,N-NFS,G31,1 John 1,4,4
ἀναγγέλλομεν,we preach,V-PIA-1P,G312,1 John 1,5,4
ψευδόμεθα,we lie,V-PIM/P-1P,G5574,1 John 1,6,4
ψεύστην,a liar,N-AMS,G5583,1 John 1,7,4
Τεκνία,Little children,N-VNP,G5040,1 John 2,8,4
Παράκλητον,an advocate,N-AMS,G3875,1 John 2,9,4
ἱλασμός,the propitiation,N-NMS,G2434,1 John 2,10,4
τηρῶμεν,we should keep,V-PSA-1P,G5083,1 John 2,11,4
παράγεται,is passing away,V-PIP-3S,G3855,1 John 2,12,4
ἄρτι,now,Adv,G737,1 John 2,13,4
ποῦ,where,Adv,G4225,1 John 2,14,4
ἐτύφλωσεν,has blinded,V-AIA-3S,G5186,1 John 2,15,4
ἀλαζονεία,vaunting,N-NFS,G212,1 John 2,16,4
χρῖσμα,the anointing,N-ANS,G5545,1 John 2,17,4
ψεῦδος,lie,N-NNS,G5579,1 John 2,18,4
ἐπηγγείλατο,promised,V-AIM-3S,G1861,1 John 2,19,4
παρρησίαν,boldness,N-AFS,G3954,1 John 2,20,4
παρουσίᾳ,coming,N-DFS,G3952,1 John 2,21,4
ἐλπίδα,hope,N-AFS,G1680,1 John 3,22,4
ἁγνίζει,purifies,V-PIA-3S,G48,1 John 3,23,4
ἁγνός,pure,Adj-NMS,G53,1 John 3,24,4
ἀνομίαν,lawlessness,N-AFS,G458,1 John 3,25,4
Κάϊν,Cain,N-NMS,G2535,1 John 3,26,4
ἔσφαξεν,slew,V-AIA-3S,G4969,1 John 3,27,4
ἀνθρωποκτόνος,a murderer,N-NMS,G443,1 John 3,28,4
καταγινώσκῃ,should condemn us,V-PSA-3S,G2607,1 John 3,29,4
ἀρεστὰ,pleasing,Adj-ANP,G701,1 John 3,30,4
πλάνης,of falsehood,N-GFS,G4106,1 John 4,31,4
τελεία,perfect,Adj-NFS,G5046,1 John 4,32,4
κόλασιν,punishment,N-AFS,G2851,1 John 4,33,4
βαρεῖαι,burdensome,Adj-NFP,G926,1 John 5,34,4
νίκη,victory,N-NFS,G3529,1 John 5,35,4
εἰσι,are,V-PIA-3P,G1526,1 John 5,36,4
εἰδώλων,idols,N-GNP,G1497,1 John 5,37,4
