Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ὃ,That which,RelPro-NNS,G3739,1 John 1,1,4
ἦν,was,V-IIA-3S,G1510,1 John 1,2,4
ἀπ,from,Prep,G575,1 John 1,3,4
ἀρχῆς,the beginning,N-GFS,G746,1 John 1,4,4
ἀκηκόαμεν,we have heard,V-RIA-1P,G191,1 John 1,5,4
ἑωράκαμεν,we have seen,V-RIA-1P,G3708,1 John 1,6,4
τοῖς,with the,Art-DMP,G3588,1 John 1,7,4
ὀφθαλμοῖς,eyes,N-DMP,G3788,1 John 1,8,4
ἡμῶν,of us,PPro-G1P,G1473,1 John 1,9,4
ἐθεασάμεθα,we have gazed upon,V-AIM-1P,G2300,1 John 1,10,4
καὶ,and,Conj,G2532,1 John 1,11,4
χεῖρες,hands,N-NFP,G5495,1 John 1,12,4
ἐψηλάφησαν,have handled,V-AIA-3P,G5584,1 John 1,13,4
περὶ,concerning,Prep,G4012,1 John 1,14,4
Λόγου,Word,N-GMS,G3056,1 John 1,15,4
ζωῆς,of life,N-GFS,G2222,1 John 1,16,4
ἐφανερώθη,was made manifest,V-AIP-3S,G5319,1 John 1,17,4
μαρτυροῦμεν,bear witness,V-PIA-1P,G3140,1 John 1,18,4
ἀπαγγέλλομεν,we proclaim,V-PIA-1P,G518,1 John 1,19,4
ὑμῖν,to you,PPro-D2P,G4771,1 John 1,20,4
αἰώνιον,eternal,Adj-AFS,G166,1 John 1,21,4
ἥτις,which,RelPro-NFS,G3748,1 John 1,22,4
πρὸς,with,Prep,G4314,1 John 1,23,4
Πατέρα,Father,N-AMS,G3962,1 John 1,24,4
ἵνα,so that,Conj,G2443,1 John 1,25,4
κοινωνίαν,fellowship,N-AFS,G2842,1 John 1,26,4
ἔχητε,may have,V-PSA-2P,G2192,1 John 1,27,4
μεθ,with,Prep,G3326,1 John 1,28,4
δὲ,now,Conj,G1161,1 John 1,29,4
ἡμετέρα,of us,PPro-NF1P,G2251,1 John 1,30,4
Υἱοῦ,Son,N-GMS,G5207,1 John 1,31,4
αὐτοῦ,of Him,PPro-GM3S,G846,1 John 1,32,4
Ἰησοῦ,Jesus,N-GMS,G2424,1 John 1,33,4
Χριστοῦ,Christ,N-GMS,G5547,1 John 1,34,4
ταῦτα,these things,DPro-ANP,G3778,1 John 1,35,4
γράφομεν,write,V-PIA-1P,G1125,1 John 1,36,4
χαρὰ,joy,N-NFS,G5479,1 John 1,37,4
πεπληρωμένη,complete,V-RPM/P-NFS,G4137,1 John 1,38,4
ἀγγελία,message,N-NFS,G31,1 John 1,39,4
ἀναγγέλλομεν,we preach,V-PIA-1P,G312,1 John 1,40,4
ὅτι,that,Conj,G3754,1 John 1,41,4
Θεὸς,God,N-NMS,G2316,1 John 1,42,4
φῶς,light,N-NNS,G5457,1 John 1,43,4
