Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Philemon 1,1,5
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,2,5
Τιμόθεος,Timothy,N-NMS,G5095,Philemon 1,3,5
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,4,5
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,5,5
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,6,5
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,7,5
μνείαν,mention,N-AFS,G3417,Philemon 1,8,5
ἐνεργὴς,effective,Adj-NFS,G1756,Philemon 1,9,5
ἐπιγνώσει,the acknowledgment,N-DFS,G1922,Philemon 1,10,5
ἀνῆκον,befitting,V-PPA-ANS,G433,Philemon 1,11,5
νυνὶ,now,Adv,G3570,Philemon 1,12,5
Ὀνήσιμον,Onesimus,N-AMS,G3682,Philemon 1,13,5
ἄχρηστον,useless,Adj-AMS,G890,Philemon 1,14,5
εὔχρηστον,useful,Adj-AMS,G2173,Philemon 1,15,5
εὐαγγελίου,gospel,N-GNS,G2098,Philemon 1,16,5
γνώμης,consent,N-GFS,G1106,Philemon 1,17,5
ἑκούσιον,willingness,Adj-ANS,G1595,Philemon 1,18,5
τάχα,Perhaps,Adv,G5029,Philemon 1,19,5
ἐχωρίσθη,he was separated from you,V-AIP-3S,G5563,Philemon 1,20,5
μάλιστα,especially,Adv,G3122,Philemon 1,21,5
προσλαβοῦ,receive,V-AMM-2S,G4355,Philemon 1,22,5
ἐλλόγα,charge,V-PMA-2S,G1677,Philemon 1,23,5
ἀποτίσω,will repay it,V-FIA-1S,G661,Philemon 1,24,5
προσοφείλεις,you owe also,V-PIA-2S,G4359,Philemon 1,25,5
ὀναίμην,may have profit,V-AOM-1S,G3685,Philemon 1,26,5
ὑπακοῇ,obedience,N-DFS,G5218,Philemon 1,27,5
Ἅμα,At the same time,Adv,G260,Philemon 1,28,5
ξενίαν,a lodging,N-AFS,G3578,Philemon 1,29,5
Ἐπαφρᾶς,Epaphras,N-NMS,G1889,Philemon 1,30,5
συναιχμάλωτός,fellow prisoner,N-NMS,G4869,Philemon 1,31,5
Μᾶρκος,as do Mark,N-NMS,G3138,Philemon 1,32,5
Ἀρίσταρχος,Aristarchus,N-NMS,G708,Philemon 1,33,5
Δημᾶς,Demas,N-NMS,G1214,Philemon 1,34,5
Λουκᾶς,and Luke,N-NMS,G3065,Philemon 1,35,5
