Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Philemon 1,1,5
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,2,5
Χριστοῦ,of Christ,N-GMS,G5547,Philemon 1,3,5
Ἰησοῦ,Jesus,N-GMS,G2424,Philemon 1,4,5
καὶ,and,Conj,G2532,Philemon 1,5,5
Τιμόθεος,Timothy,N-NMS,G5095,Philemon 1,6,5
ὁ,our,Art-NMS,G3588,Philemon 1,7,5
ἀδελφὸς,brother,N-NMS,G80,Philemon 1,8,5
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,9,5
ἀγαπητῷ,beloved,Adj-DMS,G27,Philemon 1,10,5
συνεργῷ,fellow worker,Adj-DMS,G4904,Philemon 1,11,5
ἡμῶν,of us,PPro-G1P,G1473,Philemon 1,12,5
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,13,5
ἀδελφῇ,sister,N-DFS,G79,Philemon 1,14,5
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,15,5
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,16,5
κατ,at,Prep,G2596,Philemon 1,17,5
οἶκόν,the house,N-AMS,G3624,Philemon 1,18,5
σου,of you,PPro-G2S,G4771,Philemon 1,19,5
ἐκκλησίᾳ,church,N-DFS,G1577,Philemon 1,20,5
Χάρις,Grace,N-NFS,G5485,Philemon 1,21,5
εἰρήνη,peace,N-NFS,G1515,Philemon 1,22,5
ἀπὸ,from,Prep,G575,Philemon 1,23,5
Θεοῦ,God,N-GMS,G2316,Philemon 1,24,5
Πατρὸς,Father,N-GMS,G3962,Philemon 1,25,5
Κυρίου,the Lord,N-GMS,G2962,Philemon 1,26,5
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,Philemon 1,27,5
πάντοτε,always,Adv,G3842,Philemon 1,28,5
μνείαν,mention,N-AFS,G3417,Philemon 1,29,5
ποιούμενος,making,V-PPM-NMS,G4160,Philemon 1,30,5
ἐπὶ,upon,Prep,G1909,Philemon 1,31,5
προσευχῶν,prayers,N-GFP,G4335,Philemon 1,32,5
ἀκούων,hearing,V-PPA-NMS,G191,Philemon 1,33,5
ἀγάπην,love,N-AFS,G26,Philemon 1,34,5
πίστιν,faith,N-AFS,G4102,Philemon 1,35,5
ἣν,that,RelPro-AFS,G3739,Philemon 1,36,5
ἔχεις,you have,V-PIA-2S,G2192,Philemon 1,37,5
πρὸς,toward,Prep,G4314,Philemon 1,38,5
εἰς,toward,Prep,G1519,Philemon 1,39,5
πάντας,all,Adj-AMP,G3956,Philemon 1,40,5
ἁγίους,saints,Adj-AMP,G40,Philemon 1,41,5
ὅπως,so that,Conj,G3704,Philemon 1,42,5
κοινωνία,fellowship,N-NFS,G2842,Philemon 1,43,5
ἐνεργὴς,effective,Adj-NFS,G1756,Philemon 1,44,5
γένηται,might become,V-ASM-3S,G1096,Philemon 1,45,5
ἐν,in,Prep,G1722,Philemon 1,46,5
ἐπιγνώσει,the acknowledgment,N-DFS,G1922,Philemon 1,47,5
ἀγαθοῦ,good thing,Adj-GNS,G18,Philemon 1,48,5
χαρὰν,Joy,N-AFS,G5479,Philemon 1,49,5
γὰρ,for,Conj,G1063,Philemon 1,50,5
πολλὴν,great,Adj-AFS,G4183,Philemon 1,51,5
παράκλησιν,encouragement,N-AFS,G3874,Philemon 1,52,5
ὅτι,because,Conj,G3754,Philemon 1,53,5
σπλάγχνα,hearts,N-NNP,G4698,Philemon 1,54,5
ἀναπέπαυται,have been refreshed,V-RIM/P-3S,G373,Philemon 1,55,5
διὰ,by,Prep,G1223,Philemon 1,56,5
Διό,Therefore,Conj,G1352,Philemon 1,57,5
παρρησίαν,boldness,N-AFS,G3954,Philemon 1,58,5
ἐπιτάσσειν,to order,V-PNA,G2004,Philemon 1,59,5
ἀνῆκον,befitting,V-PPA-ANS,G433,Philemon 1,60,5
μᾶλλον,rather,Adv,G3123,Philemon 1,61,5
παρακαλῶ,I exhort you,V-PIA-1S,G3870,Philemon 1,62,5
τοιοῦτος,such a one,DPro-NMS,G5108,Philemon 1,63,5
ὢν,being,V-PPA-NMS,G1510,Philemon 1,64,5
ὡς,as,Adv,G5613,Philemon 1,65,5
πρεσβύτης,aged,N-NMS,G4246,Philemon 1,66,5
νυνὶ,now,Adv,G3570,Philemon 1,67,5
δὲ,then,Conj,G1161,Philemon 1,68,5
περὶ,for,Prep,G4012,Philemon 1,69,5
ἐμοῦ,my,PPro-G1S,G1699,Philemon 1,70,5
