Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,2 Thessalonians 1,1,6
καὶ,and,Conj,G2532,2 Thessalonians 1,2,6
Σιλουανὸς,Silvanus,N-NMS,G4610,2 Thessalonians 1,3,6
Τιμόθεος,Timothy,N-NMS,G5095,2 Thessalonians 1,4,6
Τῇ,To the,Art-DFS,G3588,2 Thessalonians 1,5,6
ἐκκλησίᾳ,church,N-DFS,G1577,2 Thessalonians 1,6,6
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,2 Thessalonians 1,7,6
ἐν,in,Prep,G1722,2 Thessalonians 1,8,6
Θεῷ,God,N-DMS,G2316,2 Thessalonians 1,9,6
Πατρὶ,the Father,N-DMS,G3962,2 Thessalonians 1,10,6
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,11,6
Κυρίῳ,the Lord,N-DMS,G2962,2 Thessalonians 1,12,6
Ἰησοῦ,Jesus,N-DMS,G2424,2 Thessalonians 1,13,6
Χριστῷ,Christ,N-DMS,G5547,2 Thessalonians 1,14,6
Χάρις,Grace,N-NFS,G5485,2 Thessalonians 1,15,6
ὑμῖν,to you,PPro-D2P,G4771,2 Thessalonians 1,16,6
εἰρήνη,peace,N-NFS,G1515,2 Thessalonians 1,17,6
ἀπὸ,from,Prep,G575,2 Thessalonians 1,18,6
Θεοῦ,God,N-GMS,G2316,2 Thessalonians 1,19,6
Πατρὸς,the Father,N-GMS,G3962,2 Thessalonians 1,20,6
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,21,6
Κυρίου,the Lord,N-GMS,G2962,2 Thessalonians 1,22,6
Ἰησοῦ,Jesus,N-GMS,G2424,2 Thessalonians 1,23,6
Χριστοῦ,Christ,N-GMS,G5547,2 Thessalonians 1,24,6
Εὐχαριστεῖν,To thank,V-PNA,G2168,2 Thessalonians 1,25,6
