Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Σιλουανὸς,Silvanus,N-NMS,G4610,2 Thessalonians 1,1,6
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,2 Thessalonians 1,2,6
ὑπεραυξάνει,is increasing exceedingly,V-PIA-3S,G5232,2 Thessalonians 1,3,6
πλεονάζει,is abounding,V-PIA-3S,G4121,2 Thessalonians 1,4,6
ἐνκαυχᾶσθαι,to boast,V-PNM/P,G2744,2 Thessalonians 1,5,6
διωγμοῖς,persecutions,N-DMP,G1375,2 Thessalonians 1,6,6
θλίψεσιν,tribulations,N-DFP,G2347,2 Thessalonians 1,7,6
Ἔνδειγμα,This is a plain token,N-NNS,G1730,2 Thessalonians 1,8,6
εἴπερ,For indeed,Conj,G1512,2 Thessalonians 1,9,6
θλίβουσιν,oppressing,V-PPA-DMP,G2346,2 Thessalonians 1,10,6
ἄνεσιν,repose,N-AFS,G425,2 Thessalonians 1,11,6
δίκην,the penalty,N-AFS,G1349,2 Thessalonians 1,12,6
τίσουσιν,will suffer,V-FIA-3P,G5099,2 Thessalonians 1,13,6
ὄλεθρον,of destruction,N-AMS,G3639,2 Thessalonians 1,14,6
ἐνδοξασθῆναι,to be glorified,V-ANP,G1740,2 Thessalonians 1,15,6
κλήσεως,calling,N-GFS,G2821,2 Thessalonians 1,16,6
ἀγαθωσύνης,of goodness,N-GFS,G19,2 Thessalonians 1,17,6
ἐπισυναγωγῆς,gathering together,N-GFS,G1997,2 Thessalonians 2,18,6
θροεῖσθαι,to be troubled,V-PNM/P,G2360,2 Thessalonians 2,19,6
ἐπιστολῆς,letter,N-GFS,G1992,2 Thessalonians 2,20,6
ἐνέστηκεν,is present,V-RIA-3S,G1764,2 Thessalonians 2,21,6
ἐξαπατήσῃ,should deceive,V-ASA-3S,G1818,2 Thessalonians 2,22,6
ἀποστασία,apostasy,N-NFS,G646,2 Thessalonians 2,23,6
ἀπωλείας,of destruction,N-GFS,G684,2 Thessalonians 2,24,6
ὑπεραιρόμενος,exalting himself,V-PPM/P-NMS,G5229,2 Thessalonians 2,25,6
σέβασμα,object of worship,N-ANS,G4574,2 Thessalonians 2,26,6
ἀποδεικνύντα,setting forth,V-PPA-AMS,G584,2 Thessalonians 2,27,6
ἐνεργεῖται,is working,V-PIM-3S,G1754,2 Thessalonians 2,28,6
ἐπιφανείᾳ,appearing,N-DFS,G2015,2 Thessalonians 2,29,6
ἐνέργειαν,the working,N-AFS,G1753,2 Thessalonians 2,30,6
τέρασιν,in wonders,N-DNP,G5059,2 Thessalonians 2,31,6
ἀπάτῃ,deceit,N-DFS,G539,2 Thessalonians 2,32,6
εἵλατο,has chosen,V-AIM-3S,G138,2 Thessalonians 2,33,6
ἁγιασμῷ,the sanctification,N-DMS,G38,2 Thessalonians 2,34,6
περιποίησιν,the obtaining,N-AFS,G4047,2 Thessalonians 2,35,6
στήκετε,stand firm,V-PMA-2P,G4739,2 Thessalonians 2,36,6
παραδόσεις,traditions,N-AFP,G3862,2 Thessalonians 2,37,6
εἴτε,whether,Conj,G1535,2 Thessalonians 2,38,6
λοιπὸν,Finally,Adj-ANS,G3063,2 Thessalonians 3,39,6
στέλλεσθαι,are to withdraw,V-PNM,G4724,2 Thessalonians 3,40,6
ἀτάκτως,idly,Adv,G814,2 Thessalonians 3,41,6
ἠτακτήσαμεν,we were idle,V-AIA-1P,G812,2 Thessalonians 3,42,6
δωρεὰν,without payment,Adv,G1432,2 Thessalonians 3,43,6
μόχθῳ,hardship,N-DMS,G3449,2 Thessalonians 3,44,6
ἐπιβαρῆσαί,to be burdensome to,V-ANA,G1912,2 Thessalonians 3,45,6
τύπον,as an example,N-AMS,G5179,2 Thessalonians 3,46,6
περιεργαζομένους,being busybodies,V-PPM/P-AMP,G4020,2 Thessalonians 3,47,6
ἡσυχίας,quietness,N-GFS,G2271,2 Thessalonians 3,48,6
καλοποιοῦντες,in well-doing,V-PPA-NMP,G2569,2 Thessalonians 3,49,6
σημειοῦσθε,take note,V-PMM-2P,G4593,2 Thessalonians 3,50,6
συναναμίγνυσθαι,to mix with,V-PNM,G4874,2 Thessalonians 3,51,6
νουθετεῖτε,admonish him,V-PMA-2P,G3560,2 Thessalonians 3,52,6
