Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἰούδας,Jude,N-NMS,G2455,Jude 1,1,7
Ἰησοῦ,of Jesus,N-GMS,G2424,Jude 1,2,7
Χριστοῦ,Christ,N-GMS,G5547,Jude 1,3,7
δοῦλος,servant,N-NMS,G1401,Jude 1,4,7
ἀδελφὸς,brother,N-NMS,G80,Jude 1,5,7
δὲ,then,Conj,G1161,Jude 1,6,7
Ἰακώβου,of James,N-GMS,G2385,Jude 1,7,7
Τοῖς,To those,Art-DMP,G3588,Jude 1,8,7
ἐν,in,Prep,G1722,Jude 1,9,7
Θεῷ,God,N-DMS,G2316,Jude 1,10,7
Πατρὶ,the Father,N-DMS,G3962,Jude 1,11,7
ἠγαπημένοις,having been loved,V-RPM/P-DMP,G25,Jude 1,12,7
καὶ,and,Conj,G2532,Jude 1,13,7
Ἰησοῦ,in Jesus,N-DMS,G2424,Jude 1,14,7
Χριστῷ,Christ,N-DMS,G5547,Jude 1,15,7
τετηρημένοις,having been kept,V-RPM/P-DMP,G5083,Jude 1,16,7
κλητοῖς,called,Adj-DMP,G2822,Jude 1,17,7
Ἔλεος,Mercy,N-NNS,G1656,Jude 1,18,7
ὑμῖν,to you,PPro-D2P,G4771,Jude 1,19,7
εἰρήνη,peace,N-NFS,G1515,Jude 1,20,7
ἀγάπη,love,N-NFS,G26,Jude 1,21,7
πληθυνθείη,be multiplied,V-AOP-3S,G4129,Jude 1,22,7
Ἀγαπητοί,Beloved,Adj-VMP,G27,Jude 1,23,7
πᾶσαν,all,Adj-AFS,G3956,Jude 1,24,7
σπουδὴν,diligence,N-AFS,G4710,Jude 1,25,7
ποιούμενος,using,V-PPM-NMS,G4160,Jude 1,26,7
γράφειν,to write,V-PNA,G1125,Jude 1,27,7
περὶ,concerning,Prep,G4012,Jude 1,28,7
τῆς,-,Art-GFS,G3588,Jude 1,29,7
κοινῆς,common,Adj-GFS,G2839,Jude 1,30,7
ἡμῶν,of us,PPro-G1P,G1473,Jude 1,31,7
σωτηρίας,salvation,N-GFS,G4991,Jude 1,32,7
ἀνάγκην,necessity,N-AFS,G318,Jude 1,33,7
ἔσχον,I had,V-AIA-1S,G2192,Jude 1,34,7
γράψαι,to write,V-ANA,G1125,Jude 1,35,7
παρακαλῶν,exhorting you,V-PPA-NMS,G3870,Jude 1,36,7
ἐπαγωνίζεσθαι,to contend earnestly,V-PNM/P,G1864,Jude 1,37,7
τῇ,for the,Art-DFS,G3588,Jude 1,38,7
ἅπαξ,once for all,Adv,G530,Jude 1,39,7
παραδοθείσῃ,having been delivered,V-APP-DFS,G3860,Jude 1,40,7
τοῖς,to the,Art-DMP,G3588,Jude 1,41,7
ἁγίοις,saints,Adj-DMP,G40,Jude 1,42,7
πίστει,faith,N-DFS,G4102,Jude 1,43,7
παρεισέδυσαν,Came in stealthily,V-AIA-3P,G3921,Jude 1,44,7
γάρ,for,Conj,G1063,Jude 1,45,7
τινες,certain,IPro-NMP,G5100,Jude 1,46,7
ἄνθρωποι,men,N-NMP,G444,Jude 1,47,7
οἱ,those,Art-NMP,G3588,Jude 1,48,7
πάλαι,long ago,Adv,G3819,Jude 1,49,7
προγεγραμμένοι,having been designated,V-RPM/P-NMP,G4270,Jude 1,50,7
εἰς,unto,Prep,G1519,Jude 1,51,7
τοῦτο,this,DPro-ANS,G3778,Jude 1,52,7
τὸ,-,Art-ANS,G3588,Jude 1,53,7
κρίμα,condemnation,N-ANS,G2917,Jude 1,54,7
ἀσεβεῖς,ungodly ones,Adj-NMP,G765,Jude 1,55,7
τὴν,the,Art-AFS,G3588,Jude 1,56,7
τοῦ,of the,Art-GMS,G3588,Jude 1,57,7
Θεοῦ,God,N-GMS,G2316,Jude 1,58,7
χάριτα,grace,N-AFS,G5485,Jude 1,59,7
μετατιθέντες,changing,V-PPA-NMP,G3346,Jude 1,60,7
ἀσέλγειαν,sensuality,N-AFS,G766,Jude 1,61,7
τὸν,the,Art-AMS,G3588,Jude 1,62,7
μόνον,only,Adj-AMS,G3441,Jude 1,63,7
Δεσπότην,master,N-AMS,G1203,Jude 1,64,7
Κύριον,Lord,N-AMS,G2962,Jude 1,65,7
Ἰησοῦν,Jesus,N-AMS,G2424,Jude 1,66,7
Χριστὸν,Christ,N-AMS,G5547,Jude 1,67,7
ἀρνούμενοι,denying,V-PPM/P-NMP,G720,Jude 1,68,7
Ὑπομνῆσαι,To remind,V-ANA,G5279,Jude 1,69,7
ὑμᾶς,you,PPro-A2P,G4771,Jude 1,70,7
βούλομαι,I want,V-PIM/P-1S,G1014,Jude 1,71,7
εἰδότας,having known,V-RPA-AMP,G1492,Jude 1,72,7
ὑμᾶς,you,PPro-A2P,G4771,Jude 1,73,7
ἅπαξ ,at one time,Adv,G530,Jude 1,74,7
πάντα,all this,Adj-ANP,G3956,Jude 1,75,7
ὅτι,that,Conj,G3754,Jude 1,76,7
ὁ,-,Art-NMS,G3588,Jude 1,77,7
Ἰησοῦς,Jesus,N-NMS,G2424,Jude 1,78,7
λαὸν,a people,N-AMS,G2992,Jude 1,79,7
ἐκ,out of,Prep,G1537,Jude 1,80,7
γῆς,the land,N-GFS,G1093,Jude 1,81,7
Αἰγύπτου,of Egypt,N-GFS,G125,Jude 1,82,7
σώσας,having saved,V-APA-NMS,G4982,Jude 1,83,7
δεύτερον,afterward,Adj-ANS,G1208,Jude 1,84,7
τοὺς,those,Art-AMP,G3588,Jude 1,85,7
μὴ,not,Adv,G3361,Jude 1,86,7
πιστεύσαντας,having believed,V-APA-AMP,G4100,Jude 1,87,7
ἀπώλεσεν,He destroyed,V-AIA-3S,G622,Jude 1,88,7
ἀγγέλους,The angels,N-AMP,G32,Jude 1,89,7
τε,both,Conj,G5037,Jude 1,90,7
τηρήσαντας,having kept,V-APA-AMP,G5083,Jude 1,91,7
ἑαυτῶν,their,RefPro-GM3P,G1438,Jude 1,92,7
ἀρχὴν,domain,N-AFS,G746,Jude 1,93,7
ἀλλὰ,but,Conj,G235,Jude 1,94,7
ἀπολιπόντας,having left,V-APA-AMP,G620,Jude 1,95,7
ἴδιον,own,Adj-ANS,G2398,Jude 1,96,7
οἰκητήριον,dwelling,N-ANS,G3613,Jude 1,97,7
κρίσιν,the judgment,N-AFS,G2920,Jude 1,98,7
μεγάλης,of the great,Adj-GFS,G3173,Jude 1,99,7
ἡμέρας,day,N-GFS,G2250,Jude 1,100,7
δεσμοῖς,in chains,N-DMP,G1199,Jude 1,101,7
ἀϊδίοις,eternal,Adj-DMP,G126,Jude 1,102,7
ὑπὸ,under,Prep,G5259,Jude 1,103,7
ζόφον,darkness,N-AMS,G2217,Jude 1,104,7
τετήρηκεν,He keeps,V-RIA-3S,G5083,Jude 1,105,7
ὡς,just as,Adv,G5613,Jude 1,106,7
Σόδομα,Sodom,N-NNP,G4670,Jude 1,107,7
Γόμορρα,Gomorrah,N-NFS,G1116,Jude 1,108,7
αἱ,the,Art-NFP,G3588,Jude 1,109,7
αὐτὰς,them,PPro-AF3P,G846,Jude 1,110,7
πόλεις,cities,N-NFP,G4172,Jude 1,111,7
ὅμοιον,in like,Adj-AMS,G3664,Jude 1,112,7
τρόπον,manner,N-AMS,G5158,Jude 1,113,7
τούτοις,with them,DPro-DMP,G3778,Jude 1,114,7
ἐκπορνεύσασαι,having indulged in sexual immorality,V-APA-NFP,G1608,Jude 1,115,7
ἀπελθοῦσαι,having gone,V-APA-NFP,G565,Jude 1,116,7
ὀπίσω,after,Prep,G3694,Jude 1,117,7
σαρκὸς,flesh,N-GFS,G4561,Jude 1,118,7
ἑτέρας,strange,Adj-GFS,G2087,Jude 1,119,7
πρόκεινται,are set forth as,V-PIM/P-3P,G4295,Jude 1,120,7
δεῖγμα,an example,N-ANS,G1164,Jude 1,121,7
πυρὸς,of fire,N-GNS,G4442,Jude 1,122,7
αἰωνίου,eternal,Adj-GNS,G166,Jude 1,123,7
δίκην,the penalty,N-AFS,G1349,Jude 1,124,7
ὑπέχουσαι,undergoing,V-PPA-NFP,G5254,Jude 1,125,7
Ὁμοίως,Likewise,Adv,G3668,Jude 1,126,7
μέντοι,yet,Conj,G3305,Jude 1,127,7
οὗτοι,these,DPro-NMP,G3778,Jude 1,128,7
ἐνυπνιαζόμενοι,dreaming ones,V-PPM/P-NMP,G1797,Jude 1,129,7
σάρκα,the flesh,N-AFS,G4561,Jude 1,130,7
μὲν,indeed,Conj,G3303,Jude 1,131,7
μιαίνουσιν,defile,V-PIA-3P,G3392,Jude 1,132,7
κυριότητα,authority,N-AFS,G2963,Jude 1,133,7
ἀθετοῦσιν,set aside,V-PIA-3P,G114,Jude 1,134,7
δόξας,glorious ones,N-AFP,G1391,Jude 1,135,7
βλασφημοῦσιν,blaspheme,V-PIA-3P,G987,Jude 1,136,7
ὁ,-,Art-NMS,G3588,Jude 1,137,7
Μιχαὴλ,Michael,N-NMS,G3413,Jude 1,138,7
ἀρχάγγελος,archangel,N-NMS,G743,Jude 1,139,7
ὅτε,when,Adv,G3753,Jude 1,140,7
τῷ,with the,Art-DMS,G3588,Jude 1,141,7
διαβόλῳ,devil,Adj-DMS,G1228,Jude 1,142,7
διακρινόμενος,disputing,V-PPM-NMS,G1252,Jude 1,143,7
διελέγετο,he was reasoning,V-IIM/P-3S,G1256,Jude 1,144,7
τοῦ,-,Art-GNS,G3588,Jude 1,145,7
Μωϋσέως,Moses’,N-GMS,G3475,Jude 1,146,7
σώματος,body,N-GNS,G4983,Jude 1,147,7
οὐκ,not,Adv,G3756,Jude 1,148,7
ἐτόλμησεν,did dare,V-AIA-3S,G5111,Jude 1,149,7
ἐπενεγκεῖν,to bring against him,V-ANA,G2018,Jude 1,150,7
βλασφημίας,blasphemous,N-GFS,G988,Jude 1,151,7
εἶπεν,said,V-AIA-3S,G2036,Jude 1,152,7
Ἐπιτιμήσαι,Rebuke,V-AOA-3S,G2008,Jude 1,153,7
σοι,you,PPro-D2S,G4771,Jude 1,154,7
Κύριος,the Lord,N-NMS,G2962,Jude 1,155,7
ὅσα,whatever things,RelPro-ANP,G3745,Jude 1,156,7
οἴδασιν,they have seen,V-RIA-3P,G1492,Jude 1,157,7
φυσικῶς,naturally,Adv,G5447,Jude 1,158,7
τὰ,the,Art-NNP,G3588,Jude 1,159,7
ἄλογα,irrational,Adj-NNP,G249,Jude 1,160,7
ζῷα,animals,N-NNP,G2226,Jude 1,161,7
ἐπίστανται,they understand,V-PIM/P-3P,G1987,Jude 1,162,7
τούτοις,these things,DPro-DNP,G3778,Jude 1,163,7
φθείρονται,they corrupt themselves,V-PIM/P-3P,G5351,Jude 1,164,7
οὐαὶ,Woe,I,G3759,Jude 1,165,7
αὐτοῖς,to them,PPro-DM3P,G846,Jude 1,166,7
ὁδῷ,way,N-DFS,G3598,Jude 1,167,7
Κάϊν,of Cain,N-GMS,G2535,Jude 1,168,7
ἐπορεύθησαν,they went,V-AIP-3P,G4198,Jude 1,169,7
πλάνῃ,error,N-DFS,G4106,Jude 1,170,7
Βαλαὰμ,of Balaam,N-GMS,G903,Jude 1,171,7
μισθοῦ,for reward,N-GMS,G3408,Jude 1,172,7
ἐξεχύθησαν,they rushed,V-AIP-3P,G1632,Jude 1,173,7
ἀντιλογίᾳ,rebellion,N-DFS,G485,Jude 1,174,7
Κόρε,of Korah,N-GMS,G2879,Jude 1,175,7
ἀπώλοντο,they perished,V-AIM-3P,G622,Jude 1,176,7
Οὗτοί,These,DPro-NMP,G3778,Jude 1,177,7
εἰσιν,are,V-PIA-3P,G1510,Jude 1,178,7
ταῖς,the,Art-DFP,G3588,Jude 1,179,7
ἀγάπαις,love feasts,N-DFP,G26,Jude 1,180,7
ὑμῶν,of you,PPro-G2P,G4771,Jude 1,181,7
σπιλάδες,hidden reefs,N-NFP,G4694,Jude 1,182,7
συνευωχούμενοι,feasting together with you,V-PPM/P-NMP,G4910,Jude 1,183,7
ἀφόβως,fearlessly,Adv,G870,Jude 1,184,7
ἑαυτοὺς,themselves,RefPro-AM3P,G1438,Jude 1,185,7
ποιμαίνοντες,shepherding,V-PPA-NMP,G4165,Jude 1,186,7
νεφέλαι,clouds,N-NFP,G3507,Jude 1,187,7
ἄνυδροι,without water,Adj-NFP,G504,Jude 1,188,7
ἀνέμων,winds,N-GMP,G417,Jude 1,189,7
παραφερόμεναι,being carried about,V-PPM/P-NFP,G3911,Jude 1,190,7
δένδρα,trees,N-NNP,G1186,Jude 1,191,7
φθινοπωρινὰ,autumnal,Adj-NNP,G5352,Jude 1,192,7
ἄκαρπα,without fruit,Adj-NNP,G175,Jude 1,193,7
δὶς,twice,Adv,G1364,Jude 1,194,7
ἀποθανόντα,having died,V-APA-NNP,G599,Jude 1,195,7
ἐκριζωθέντα,having been uprooted,V-APP-NNP,G1610,Jude 1,196,7
κύματα,waves,N-NNP,G2949,Jude 1,197,7
ἄγρια,wild,Adj-NNP,G66,Jude 1,198,7
θαλάσσης,of the sea,N-GFS,G2281,Jude 1,199,7
ἐπαφρίζοντα,foaming out,V-PPA-NNP,G1890,Jude 1,200,7
τὰς,-,Art-AFP,G3588,Jude 1,201,7
ἑαυτῶν,of their,RefPro-GN3P,G1438,Jude 1,202,7
αἰσχύνας,shame,N-AFP,G152,Jude 1,203,7
ἀστέρες,stars,N-NMP,G792,Jude 1,204,7
πλανῆται,wandering,N-NMP,G4107,Jude 1,205,7
οἷς,to whom,RelPro-DMP,G3739,Jude 1,206,7
ζόφος,gloom,N-NMS,G2217,Jude 1,207,7
σκότους,of darkness,N-GNS,G4655,Jude 1,208,7
αἰῶνα,the age,N-AMS,G165,Jude 1,209,7
τετήρηται,has been reserved,V-RIM/P-3S,G5083,Jude 1,210,7
Προεφήτευσεν,Prophesied,V-AIA-3S,G4395,Jude 1,211,7
ἕβδομος,the seventh,Adj-NMS,G1442,Jude 1,212,7
ἀπὸ,from,Prep,G575,Jude 1,213,7
Ἀδὰμ,Adam,N-GMS,G76,Jude 1,214,7
Ἑνὼχ,Enoch,N-NMS,G1802,Jude 1,215,7
λέγων,saying,V-PPA-NMS,G3004,Jude 1,216,7
Ἰδοὺ,Behold,V-AMA-2S,G2400,Jude 1,217,7
ἦλθεν,has come,V-AIA-3S,G2064,Jude 1,218,7
ἁγίαις,holy ones,Adj-DFP,G40,Jude 1,219,7
μυριάσιν,myriads,N-DFP,G3461,Jude 1,220,7
αὐτοῦ,of His,PPro-GM3S,G846,Jude 1,221,7
ποιῆσαι,to execute,V-ANA,G4160,Jude 1,222,7
κατὰ,against,Prep,G2596,Jude 1,223,7
πάντων,all,Adj-GMP,G3956,Jude 1,224,7
ἐλέγξαι,to convict,V-ANA,G1651,Jude 1,225,7
πάντας,all,Adj-AMP,G3956,Jude 1,226,7
πάντων,all,Adj-GNP,G3956,Jude 1,227,7
τῶν,the,Art-GNP,G3588,Jude 1,228,7
ἔργων,works,N-GNP,G2041,Jude 1,229,7
ἀσεβείας,of ungodliness,N-GFS,G763,Jude 1,230,7
αὐτῶν,of them,PPro-GM3P,G846,Jude 1,231,7
ὧν,which,RelPro-GNP,G3739,Jude 1,232,7
ἠσέβησαν,they have done in an ungodly way,V-AIA-3P,G764,Jude 1,233,7
σκληρῶν,harsh things,Adj-GNP,G4642,Jude 1,234,7
ἐλάλησαν,have spoken,V-AIA-3P,G2980,Jude 1,235,7
κατ,against,Prep,G2596,Jude 1,236,7
ἁμαρτωλοὶ,sinners,Adj-NMP,G268,Jude 1,237,7
γογγυσταί,grumblers,N-NMP,G1113,Jude 1,238,7
μεμψίμοιροι,discontented,Adj-NMP,G3202,Jude 1,239,7
ἐπιθυμίας,lusts,N-AFP,G1939,Jude 1,240,7
πορευόμενοι,following,V-PPM/P-NMP,G4198,Jude 1,241,7
τὸ,the,Art-NNS,G3588,Jude 1,242,7
στόμα,mouth,N-NNS,G4750,Jude 1,243,7
λαλεῖ,speaks,V-PIA-3S,G2980,Jude 1,244,7
ὑπέρογκα,great swelling words,Adj-ANP,G5246,Jude 1,245,7
θαυμάζοντες,flattering,V-PPA-NMP,G2296,Jude 1,246,7
πρόσωπα,faces,N-ANP,G4383,Jude 1,247,7
ὠφελείας,profit,N-GFS,G5622,Jude 1,248,7
χάριν,for the sake of,Prep,G5484,Jude 1,249,7
Ὑμεῖς,You,PPro-N2P,G4771,Jude 1,250,7
δέ,however,Conj,G1161,Jude 1,251,7
