Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
κλητοῖς,called,Adj-DMP,G2822,Jude 1,1,7
πληθυνθείη,be multiplied,V-AOP-3S,G4129,Jude 1,2,7
κοινῆς,common,Adj-GFS,G2839,Jude 1,3,7
ἐπαγωνίζεσθαι,to contend earnestly,V-PNM/P,G1864,Jude 1,4,7
ἅπαξ,once for all,Adv,G530,Jude 1,5,7
παρεισέδυσαν,Came in stealthily,V-AIA-3P,G3921,Jude 1,6,7
προγεγραμμένοι,having been designated,V-RPM/P-NMP,G4270,Jude 1,7,7
ἀσεβεῖς,ungodly ones,Adj-NMP,G765,Jude 1,8,7
μετατιθέντες,changing,V-PPA-NMP,G3346,Jude 1,9,7
ἀσέλγειαν,sensuality,N-AFS,G766,Jude 1,10,7
Αἰγύπτου,of Egypt,N-GFS,G125,Jude 1,11,7
ἀπολιπόντας,having left,V-APA-AMP,G620,Jude 1,12,7
οἰκητήριον,dwelling,N-ANS,G3613,Jude 1,13,7
ἀϊδίοις,eternal,Adj-DMP,G126,Jude 1,14,7
ζόφον,darkness,N-AMS,G2217,Jude 1,15,7
Γόμορρα,Gomorrah,N-NFS,G1116,Jude 1,16,7
ἐκπορνεύσασαι,having indulged in sexual immorality,V-APA-NFP,G1608,Jude 1,17,7
πρόκεινται,are set forth as,V-PIM/P-3P,G4295,Jude 1,18,7
δεῖγμα,an example,N-ANS,G1164,Jude 1,19,7
ὑπέχουσαι,undergoing,V-PPA-NFP,G5254,Jude 1,20,7
μέντοι,yet,Conj,G3305,Jude 1,21,7
ἐνυπνιαζόμενοι,dreaming ones,V-PPM/P-NMP,G1797,Jude 1,22,7
μιαίνουσιν,defile,V-PIA-3P,G3392,Jude 1,23,7
κυριότητα,authority,N-AFS,G2963,Jude 1,24,7
Μιχαὴλ,Michael,N-NMS,G3413,Jude 1,25,7
ἀρχάγγελος,archangel,N-NMS,G743,Jude 1,26,7
διακρινόμενος,disputing,V-PPM-NMS,G1252,Jude 1,27,7
διελέγετο,he was reasoning,V-IIM/P-3S,G1256,Jude 1,28,7
ἐπενεγκεῖν,to bring against him,V-ANA,G2018,Jude 1,29,7
φυσικῶς,naturally,Adv,G5447,Jude 1,30,7
ἄλογα,irrational,Adj-NNP,G249,Jude 1,31,7
ζῷα,animals,N-NNP,G2226,Jude 1,32,7
ἐπίστανται,they understand,V-PIM/P-3P,G1987,Jude 1,33,7
φθείρονται,they corrupt themselves,V-PIM/P-3P,G5351,Jude 1,34,7
Βαλαὰμ,of Balaam,N-GMS,G903,Jude 1,35,7
ἀντιλογίᾳ,rebellion,N-DFS,G485,Jude 1,36,7
Κόρε,of Korah,N-GMS,G2879,Jude 1,37,7
σπιλάδες,hidden reefs,N-NFP,G4694,Jude 1,38,7
συνευωχούμενοι,feasting together with you,V-PPM/P-NMP,G4910,Jude 1,39,7
φθινοπωρινὰ,autumnal,Adj-NNP,G5352,Jude 1,40,7
ἄκαρπα,without fruit,Adj-NNP,G175,Jude 1,41,7
κύματα,waves,N-NNP,G2949,Jude 1,42,7
ἄγρια,wild,Adj-NNP,G66,Jude 1,43,7
ἐπαφρίζοντα,foaming out,V-PPA-NNP,G1890,Jude 1,44,7
ἀστέρες,stars,N-NMP,G792,Jude 1,45,7
πλανῆται,wandering,N-NMP,G4107,Jude 1,46,7
ἕβδομος,the seventh,Adj-NMS,G1442,Jude 1,47,7
ἀσεβείας,of ungodliness,N-GFS,G763,Jude 1,48,7
ἠσέβησαν,they have done in an ungodly way,V-AIA-3P,G764,Jude 1,49,7
σκληρῶν,harsh things,Adj-GNP,G4642,Jude 1,50,7
γογγυσταί,grumblers,N-NMP,G1113,Jude 1,51,7
μεμψίμοιροι,discontented,Adj-NMP,G3202,Jude 1,52,7
ὑπέρογκα,great swelling words,Adj-ANP,G5246,Jude 1,53,7
ὠφελείας,profit,N-GFS,G5622,Jude 1,54,7
προειρημένων,having been spoken beforehand,V-RPM/P-GNP,G4302,Jude 1,55,7
ἐμπαῖκται,scoffers,N-NMP,G1703,Jude 1,56,7
ἀποδιορίζοντες,causing divisions,V-PPA-NMP,G592,Jude 1,57,7
ψυχικοί,worldly-minded,Adj-NMP,G5591,Jude 1,58,7
ἐποικοδομοῦντες,building up,V-PPA-NMP,G2026,Jude 1,59,7
ἁρπάζοντες,snatching,V-PPA-NMP,G726,Jude 1,60,7
ἐσπιλωμένον,having been stained,V-RPM/P-AMS,G4695,Jude 1,61,7
ἀπταίστους,from stumbling,Adj-AMP,G679,Jude 1,62,7
κατενώπιον,in the presence of,Prep,G2714,Jude 1,63,7
ἀμώμους,blameless,Adj-AMP,G299,Jude 1,64,7
μεγαλωσύνη,majesty,N-NFS,G3172,Jude 1,65,7
