Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἀδιαλείπτως,unceasingly,Adv,G89,1 Thessalonians 1,1,8
ἐκλογὴν,election,N-AFS,G1589,1 Thessalonians 1,2,8
πληροφορίᾳ,full assurance,N-DFS,G4136,1 Thessalonians 1,3,8
μιμηταὶ,imitators,N-NMP,G3402,1 Thessalonians 1,4,8
Μακεδονίᾳ,Macedonia,N-DFS,G3109,1 Thessalonians 1,5,8
Ἀχαΐᾳ,Achaia,N-DFS,G882,1 Thessalonians 1,6,8
ἐξήχηται,has sounded forth,V-RIM/P-3S,G1837,1 Thessalonians 1,7,8
ὁποίαν,what,Adj-AFS,G3697,1 Thessalonians 1,8,8
εἴσοδον,reception,N-AFS,G1529,1 Thessalonians 1,9,8
ἀναμένειν,to await,V-PNA,G362,1 Thessalonians 1,10,8
προπαθόντες,having previously suffered,V-APA-NMP,G4310,1 Thessalonians 2,11,8
Φιλίπποις,Philippi,N-DMP,G5375,1 Thessalonians 2,12,8
ἐπαρρησιασάμεθα,we had boldness,V-AIM-1P,G3955,1 Thessalonians 2,13,8
ἀγῶνι,conflict,N-DMS,G73,1 Thessalonians 2,14,8
ἀκαθαρσίας,impurity,N-GFS,G167,1 Thessalonians 2,15,8
δόλῳ,trickery,N-DMS,G1388,1 Thessalonians 2,16,8
ἀρέσκοντες,pleasing,V-PPA-NMP,G700,1 Thessalonians 2,17,8
κολακείας,of flattery,N-GFS,G2850,1 Thessalonians 2,18,8
βάρει,weight,N-DNS,G922,1 Thessalonians 2,19,8
τροφὸς,a nursing mother,N-NFS,G5162,1 Thessalonians 2,20,8
θάλπῃ,would cherish,V-PSA-3S,G2282,1 Thessalonians 2,21,8
ὁμειρόμενοι,yearning over,V-PPM/P-NMP,G2442,1 Thessalonians 2,22,8
ὁσίως,holily,Adv,G3743,1 Thessalonians 2,23,8
ἀμέμπτως,blamelessly,Adv,G274,1 Thessalonians 2,24,8
καθάπερ,just as,Adv,G2509,1 Thessalonians 2,25,8
παραμυθούμενοι,comforting,V-PPM/P-NMP,G3888,1 Thessalonians 2,26,8
μαρτυρόμενοι,charging,V-PPM/P-NMP,G3143,1 Thessalonians 2,27,8
συμφυλετῶν,countrymen,N-GMP,G4853,1 Thessalonians 2,28,8
ἐκδιωξάντων,having driven out,V-APA-GMP,G1559,1 Thessalonians 2,29,8
ἐναντίων,who are set against,Adj-GMP,G1727,1 Thessalonians 2,30,8
ἀναπληρῶσαι,to fill up,V-ANA,G378,1 Thessalonians 2,31,8
ἀπορφανισθέντες,having been bereaved,V-APP-NMP,G642,1 Thessalonians 2,32,8
περισσοτέρως,more abundantly,Adv,G4057,1 Thessalonians 2,33,8
ἐσπουδάσαμεν,were eager,V-AIA-1P,G4704,1 Thessalonians 2,34,8
ἐνέκοψεν,hindered,V-AIA-3S,G1465,1 Thessalonians 2,35,8
στέφανος,crown,N-NMS,G4735,1 Thessalonians 2,36,8
καυχήσεως,of boasting,N-GFS,G2746,1 Thessalonians 2,37,8
στέγοντες,enduring,V-PPA-NMP,G4722,1 Thessalonians 3,38,8
Ἀθήναις,Athens,N-DFP,G116,1 Thessalonians 3,39,8
σαίνεσθαι,be moved,V-PNM/P,G4525,1 Thessalonians 3,40,8
ἐπιποθοῦντες,longing,V-PPA-NMP,G1971,1 Thessalonians 3,41,8
εὐχαριστίαν,thanksgiving,N-AFS,G2169,1 Thessalonians 3,42,8
ἁγιωσύνῃ,holiness,N-DFS,G42,1 Thessalonians 3,43,8
παραγγελίας,instructions,N-AFP,G3852,1 Thessalonians 4,44,8
πορνείας,sexual immorality,N-GFS,G4202,1 Thessalonians 4,45,8
τιμῇ,honor,N-DFS,G5092,1 Thessalonians 4,46,8
πάθει,the passion,N-DNS,G3806,1 Thessalonians 4,47,8
ὑπερβαίνειν,to go beyond,V-PNA,G5233,1 Thessalonians 4,48,8
πλεονεκτεῖν,to overreach,V-PNA,G4122,1 Thessalonians 4,49,8
ἔκδικος,avenging is,Adj-NMS,G1558,1 Thessalonians 4,50,8
τοιγαροῦν,So then,Conj,G5105,1 Thessalonians 4,51,8
φιλαδελφίας,brotherly love,N-GFS,G5360,1 Thessalonians 4,52,8
θεοδίδακτοί,taught by God,Adj-NMP,G2312,1 Thessalonians 4,53,8
φιλοτιμεῖσθαι,to strive earnestly,V-PNM/P,G5389,1 Thessalonians 4,54,8
εὐσχημόνως,properly,Adv,G2156,1 Thessalonians 4,55,8
λυπῆσθε,you should be grieved,V-PSM/P-2P,G3076,1 Thessalonians 4,56,8
περιλειπόμενοι,remaining,V-PPM/P-NMP,G4035,1 Thessalonians 4,57,8
κελεύσματι,a loud command,N-DNS,G2752,1 Thessalonians 4,58,8
σάλπιγγι,the trumpet,N-DFS,G4536,1 Thessalonians 4,59,8
ἀπάντησιν,the meeting,N-AFS,G529,1 Thessalonians 4,60,8
ἀέρα,the air,N-AMS,G109,1 Thessalonians 4,61,8
ὠδὶν,labor pains,N-NFS,G5604,1 Thessalonians 5,62,8
καταλάβῃ,should overtake,V-ASA-3S,G2638,1 Thessalonians 5,63,8
νήφωμεν,we should be sober,V-PSA-1P,G3525,1 Thessalonians 5,64,8
μεθύουσιν,get drunk,V-PIA-3P,G3184,1 Thessalonians 5,65,8
θώρακα,the breastplate,N-AMS,G2382,1 Thessalonians 5,66,8
περικεφαλαίαν,the helmet,N-AFS,G4030,1 Thessalonians 5,67,8
προϊσταμένους,taking the lead,V-PPM-AMP,G4291,1 Thessalonians 5,68,8
