Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,1 Thessalonians 1,1,8
καὶ,and,Conj,G2532,1 Thessalonians 1,2,8
Σιλουανὸς,Silvanus,N-NMS,G4610,1 Thessalonians 1,3,8
Τιμόθεος,Timothy,N-NMS,G5095,1 Thessalonians 1,4,8
Τῇ,To the,Art-DFS,G3588,1 Thessalonians 1,5,8
ἐκκλησίᾳ,church,N-DFS,G1577,1 Thessalonians 1,6,8
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,1 Thessalonians 1,7,8
ἐν,in,Prep,G1722,1 Thessalonians 1,8,8
Θεῷ,God,N-DMS,G2316,1 Thessalonians 1,9,8
Πατρὶ,the Father,N-DMS,G3962,1 Thessalonians 1,10,8
Κυρίῳ,the Lord,N-DMS,G2962,1 Thessalonians 1,11,8
Ἰησοῦ,Jesus,N-DMS,G2424,1 Thessalonians 1,12,8
Χριστῷ,Christ,N-DMS,G5547,1 Thessalonians 1,13,8
Χάρις,Grace,N-NFS,G5485,1 Thessalonians 1,14,8
ὑμῖν,to you,PPro-D2P,G4771,1 Thessalonians 1,15,8
εἰρήνη,peace,N-NFS,G1515,1 Thessalonians 1,16,8
ἀπὸ,from,Prep,G575,1 Thessalonians 1,17,8
ἡμῶν,our,PPro-G1P,G1473,1 Thessalonians 1,18,8
Εὐχαριστοῦμεν,We give thanks,V-PIA-1P,G2168,1 Thessalonians 1,19,8
πάντοτε,always,Adv,G3842,1 Thessalonians 1,20,8
περὶ,concerning,Prep,G4012,1 Thessalonians 1,21,8
πάντων,all,Adj-GMP,G3956,1 Thessalonians 1,22,8
μνείαν,mention,N-AFS,G3417,1 Thessalonians 1,23,8
ποιούμενοι,making,V-PPM-NMP,G4160,1 Thessalonians 1,24,8
ἐπὶ,in,Prep,G1909,1 Thessalonians 1,25,8
προσευχῶν,prayers,N-GFP,G4335,1 Thessalonians 1,26,8
ἀδιαλείπτως,unceasingly,Adv,G89,1 Thessalonians 1,27,8
μνημονεύοντες,remembering,V-PPA-NMP,G3421,1 Thessalonians 1,28,8
ἔργου,work,N-GNS,G2041,1 Thessalonians 1,29,8
πίστεως,of faith,N-GFS,G4102,1 Thessalonians 1,30,8
κόπου,labor,N-GMS,G2873,1 Thessalonians 1,31,8
ἀγάπης,of love,N-GFS,G26,1 Thessalonians 1,32,8
ὑπομονῆς,endurance,N-GFS,G5281,1 Thessalonians 1,33,8
ἐλπίδος,hope,N-GFS,G1680,1 Thessalonians 1,34,8
ἔμπροσθεν,before,Prep,G1715,1 Thessalonians 1,35,8
εἰδότες,knowing,V-RPA-NMP,G1492,1 Thessalonians 1,36,8
ἀδελφοὶ,brothers,N-VMP,G80,1 Thessalonians 1,37,8
ἠγαπημένοι,beloved,V-RPM/P-VMP,G25,1 Thessalonians 1,38,8
ὑπὸ,by,Prep,G5259,1 Thessalonians 1,39,8
ἐκλογὴν,election,N-AFS,G1589,1 Thessalonians 1,40,8
ὅτι,because,Conj,G3754,1 Thessalonians 1,41,8
εὐαγγέλιον,gospel,N-NNS,G2098,1 Thessalonians 1,42,8
οὐκ,not,Adv,G3756,1 Thessalonians 1,43,8
ἐγενήθη,came,V-AIP-3S,G1096,1 Thessalonians 1,44,8
εἰς,to,Prep,G1519,1 Thessalonians 1,45,8
