Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
εὐσέβειαν,godliness,N-AFS,G2150,Titus 1,1,9
ἀψευδὴς,who cannot lie,Adj-NMS,G893,Titus 1,2,9
ἐπιταγὴν,the commandment,N-AFS,G2003,Titus 1,3,9
Τίτῳ,To Titus,N-DMS,G5103,Titus 1,4,9
γνησίῳ,my true,Adj-DNS,G1103,Titus 1,5,9
Κρήτῃ,Crete,N-DFS,G2914,Titus 1,6,9
ἐπιδιορθώσῃ,you might set in order,V-ASM-2S,G1930,Titus 1,7,9
ἀνέγκλητος,blameless,Adj-NMS,G410,Titus 1,8,9
κατηγορίᾳ,accusation,N-DFS,G2724,Titus 1,9,9
ἀσωτίας,of debauchery,N-GFS,G810,Titus 1,10,9
ἀνυπότακτα,insubordinate,Adj-ANP,G506,Titus 1,11,9
ἐπίσκοπον,overseer,N-AMS,G1985,Titus 1,12,9
αὐθάδη,self-willed,Adj-AMS,G829,Titus 1,13,9
ὀργίλον,quick-tempered,Adj-AMS,G3711,Titus 1,14,9
πάροινον,given to wine,Adj-AMS,G3943,Titus 1,15,9
πλήκτην,a striker,N-AMS,G4131,Titus 1,16,9
αἰσχροκερδῆ,greedy of base gain,Adj-AMS,G146,Titus 1,17,9
φιλόξενον,hospitable,Adj-AMS,G5382,Titus 1,18,9
φιλάγαθον,a lover of good,Adj-AMS,G5358,Titus 1,19,9
σώφρονα,self-controlled,Adj-AMS,G4998,Titus 1,20,9
ὅσιον,holy,Adj-AMS,G3741,Titus 1,21,9
ἐγκρατῆ,and disciplined,Adj-AMS,G1468,Titus 1,22,9
διδασκαλίᾳ,teaching,N-DFS,G1319,Titus 1,23,9
ματαιολόγοι,empty talkers,Adj-NMP,G3151,Titus 1,24,9
φρεναπάται,deceivers,N-NMP,G5423,Titus 1,25,9
περιτομῆς,circumcision,N-GFS,G4061,Titus 1,26,9
ἐπιστομίζειν,to silence,V-PNA,G1993,Titus 1,27,9
ἀνατρέπουσιν,overthrow,V-PIA-3P,G396,Titus 1,28,9
αἰσχροῦ,base,Adj-GNS,G150,Titus 1,29,9
κέρδους,gain,N-GNS,G2771,Titus 1,30,9
Κρῆτες,Cretans,N-NMP,G2912,Titus 1,31,9
ἀεὶ,are always,Adv,G104,Titus 1,32,9
θηρία,beasts,N-NNP,G2342,Titus 1,33,9
ἀργαί,lazy,Adj-NFP,G692,Titus 1,34,9
ἀποτόμως,severely,Adv,G664,Titus 1,35,9
Ἰουδαϊκοῖς,to Jewish,Adj-DMP,G2451,Titus 1,36,9
