Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἰσότιμον,equally precious,Adj-AFS,G2472,2 Peter 1,1,10
θείας,divine,Adj-GFS,G2304,2 Peter 1,2,10
δεδωρημένης,has given,V-RPM/P-GFS,G1433,2 Peter 1,3,10
ἀρετῇ,excellence,N-DFS,G703,2 Peter 1,4,10
τίμια,precious,Adj-ANP,G5093,2 Peter 1,5,10
ἐπαγγέλματα,promises,N-ANP,G1862,2 Peter 1,6,10
φύσεως,nature,N-GFS,G5449,2 Peter 1,7,10
ἀποφυγόντες,having escaped,V-APA-NMP,G668,2 Peter 1,8,10
φθορᾶς,decay,N-GFS,G5356,2 Peter 1,9,10
παρεισενέγκαντες,having brought in,V-APA-NMP,G3923,2 Peter 1,10,10
ἐπιχορηγήσατε,supplement,V-AMA-2P,G2023,2 Peter 1,11,10
ἐγκράτειαν,self-control,N-AFS,G1466,2 Peter 1,12,10
μυωπάζων,being short sighted,V-PPA-NMS,G3467,2 Peter 1,13,10
λήθην,forgetfulness,N-AFS,G3024,2 Peter 1,14,10
βεβαίαν,sure,Adj-AFS,G949,2 Peter 1,15,10
πταίσητέ,shall you stumble,V-ASA-2P,G4417,2 Peter 1,16,10
καίπερ,though,Conj,G2539,2 Peter 1,17,10
σκηνώματι,tabernacle,N-DNS,G4638,2 Peter 1,18,10
ὑπομνήσει,putting you in remembrance,N-DFS,G5280,2 Peter 1,19,10
ταχινή,impending,Adj-NFS,G5031,2 Peter 1,20,10
ἀπόθεσις,putting off,N-NFS,G595,2 Peter 1,21,10
ἐδήλωσέν,has made clear,V-AIA-3S,G1213,2 Peter 1,22,10
ἑκάστοτε,at every time,Adv,G1539,2 Peter 1,23,10
μνήμην,a lasting remembrance,N-AFS,G3420,2 Peter 1,24,10
σεσοφισμένοις,cleverly devised,V-RPM/P-DMP,G4679,2 Peter 1,25,10
ἐξακολουθήσαντες,having followed out,V-APA-NMP,G1811,2 Peter 1,26,10
ἐπόπται,eyewitnesses,N-NMP,G2030,2 Peter 1,27,10
τοιᾶσδε,such as follows,DPro-GFS,G5107,2 Peter 1,28,10
μεγαλοπρεποῦς,Majestic,Adj-GFS,G3169,2 Peter 1,29,10
προφητικὸν,prophetic,Adj-AMS,G4397,2 Peter 1,30,10
αὐχμηρῷ,a dark,Adj-DMS,G850,2 Peter 1,31,10
διαυγάσῃ,shall have dawned,V-ASA-3S,G1306,2 Peter 1,32,10
φωσφόρος,the morning star,Adj-NMS,G5459,2 Peter 1,33,10
ἐπιλύσεως,interpretation,N-GFS,G1955,2 Peter 1,34,10
ψευδοδιδάσκαλοι,false teachers,N-NMP,G5572,2 Peter 2,35,10
παρεισάξουσιν,will stealthily introduce,V-FIA-3P,G3919,2 Peter 2,36,10
αἱρέσεις,heresies,N-AFP,G139,2 Peter 2,37,10
ἐπάγοντες,bringing upon,V-PPA-NMP,G1863,2 Peter 2,38,10
πλαστοῖς,with fabricated,Adj-DMP,G4112,2 Peter 2,39,10
ἐμπορεύσονται,they will exploit,V-FIM-3P,G1710,2 Peter 2,40,10
ἔκπαλαι,of long ago,Adv,G1597,2 Peter 2,41,10
ἀργεῖ,is idle,V-PIA-3S,G691,2 Peter 2,42,10
νυστάζει,slumbers,V-PIA-3S,G3573,2 Peter 2,43,10
ἐφείσατο,spared,V-AIM-3S,G5339,2 Peter 2,44,10
σειραῖς,in chains,N-DFP,G4577,2 Peter 2,45,10
ταρταρώσας,having cast them down to Tartarus,V-APA-NMS,G5020,2 Peter 2,46,10
κήρυκα,a herald,N-AMS,G2783,2 Peter 2,47,10
τεφρώσας,having reduced to ashes,V-APA-NMS,G5077,2 Peter 2,48,10
καταστροφῇ,to destruction,N-DFS,G2692,2 Peter 2,49,10
ὑπόδειγμα,an example,N-ANS,G5262,2 Peter 2,50,10
καταπονούμενον,being distressed,V-PPM/P-AMS,G2669,2 Peter 2,51,10
ἀθέσμων,lawless,Adj-GMP,G113,2 Peter 2,52,10
ἀναστροφῆς,conduct,N-GFS,G391,2 Peter 2,53,10
βλέμματι,through seeing,N-DNS,G990,2 Peter 2,54,10
ἐνκατοικῶν,dwelling,V-PPA-NMS,G1460,2 Peter 2,55,10
εὐσεβεῖς,the devout,Adj-AMP,G2152,2 Peter 2,56,10
κολαζομένους,being punished,V-PPM/P-AMP,G2849,2 Peter 2,57,10
μιασμοῦ,of defilement,N-GMS,G3394,2 Peter 2,58,10
τολμηταὶ,Bold,N-NMP,G5113,2 Peter 2,59,10
βλάσφημον,a reviling,Adj-AFS,G989,2 Peter 2,60,10
φυσικὰ,as creatures of instinct,Adj-NNP,G5446,2 Peter 2,61,10
ἅλωσιν,capture,N-AFS,G259,2 Peter 2,62,10
σπίλοι,blots,N-NMP,G4696,2 Peter 2,63,10
μῶμοι,blemishes,N-NMP,G3470,2 Peter 2,64,10
ἐντρυφῶντες,reveling,V-PPA-NMP,G1792,2 Peter 2,65,10
μεστοὺς,full,Adj-AMP,G3324,2 Peter 2,66,10
μοιχαλίδος,of adultery,N-GFS,G3428,2 Peter 2,67,10
ἀκαταπαύστους,unceasing,Adj-AMP,G180,2 Peter 2,68,10
δελεάζοντες,enticing,V-PPA-NMP,G1185,2 Peter 2,69,10
ἀστηρίκτους,unestablished,Adj-AFP,G793,2 Peter 2,70,10
γεγυμνασμένην,having been exercised,V-RPM/P-AFS,G1128,2 Peter 2,71,10
κατάρας,of a curse,N-GFS,G2671,2 Peter 2,72,10
Βοσὸρ,son of Bosor,N-GMS,G1007,2 Peter 2,73,10
ἔλεγξιν,reproof,N-AFS,G1649,2 Peter 2,74,10
παρανομίας,transgression,N-GFS,G3892,2 Peter 2,75,10
ὑποζύγιον,by a donkey,N-NNS,G5268,2 Peter 2,76,10
ἄφωνον,mute,Adj-NNS,G880,2 Peter 2,77,10
φθεγξάμενον,having spoken,V-APM-NNS,G5350,2 Peter 2,78,10
παραφρονίαν,madness,N-AFS,G3913,2 Peter 2,79,10
πηγαὶ,springs,N-NFP,G4077,2 Peter 2,80,10
