Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Colossians 1,1,11
ἀπόστολος,an apostle,N-NMS,G652,Colossians 1,2,11
Χριστοῦ,of Christ,N-GMS,G5547,Colossians 1,3,11
Ἰησοῦ,Jesus,N-GMS,G2424,Colossians 1,4,11
διὰ,by,Prep,G1223,Colossians 1,5,11
θελήματος,the will,N-GNS,G2307,Colossians 1,6,11
Θεοῦ,of God,N-GMS,G2316,Colossians 1,7,11
καὶ,and,Conj,G2532,Colossians 1,8,11
Τιμόθεος,Timothy,N-NMS,G5095,Colossians 1,9,11
ὁ,the,Art-NMS,G3588,Colossians 1,10,11
ἀδελφὸς,brother,N-NMS,G80,Colossians 1,11,11
Τοῖς,To the,Art-DMP,G3588,Colossians 1,12,11
ἐν,in,Prep,G1722,Colossians 1,13,11
Κολοσσαῖς,Colossae,N-DFP,G2857,Colossians 1,14,11
ἁγίοις,saints,Adj-DMP,G40,Colossians 1,15,11
πιστοῖς,faithful,Adj-DMP,G4103,Colossians 1,16,11
ἀδελφοῖς,brothers,N-DMP,G80,Colossians 1,17,11
Χριστῷ,Christ,N-DMS,G5547,Colossians 1,18,11
Χάρις,Grace,N-NFS,G5485,Colossians 1,19,11
ὑμῖν,to you,PPro-D2P,G4771,Colossians 1,20,11
εἰρήνη,peace,N-NFS,G1515,Colossians 1,21,11
ἀπὸ,from,Prep,G575,Colossians 1,22,11
Πατρὸς,the Father,N-GMS,G3962,Colossians 1,23,11
ἡμῶν,of us,PPro-G1P,G1473,Colossians 1,24,11
Εὐχαριστοῦμεν,We give thanks,V-PIA-1P,G2168,Colossians 1,25,11
τῷ,to the,Art-DMS,G3588,Colossians 1,26,11
Θεῷ,God,N-DMS,G2316,Colossians 1,27,11
Πατρὶ,and Father,N-DMS,G3962,Colossians 1,28,11
τοῦ,of the,Art-GMS,G3588,Colossians 1,29,11
Κυρίου,Lord,N-GMS,G2962,Colossians 1,30,11
πάντοτε,continually,Adv,G3842,Colossians 1,31,11
περὶ,for,Prep,G4012,Colossians 1,32,11
ὑμῶν,you,PPro-G2P,G4771,Colossians 1,33,11
προσευχόμενοι,praying,V-PPM/P-NMP,G4336,Colossians 1,34,11
ἀκούσαντες,having heard of,V-APA-NMP,G191,Colossians 1,35,11
τὴν,the,Art-AFS,G3588,Colossians 1,36,11
πίστιν,faith,N-AFS,G4102,Colossians 1,37,11
Ἰησοῦ,Jesus,N-DMS,G2424,Colossians 1,38,11
ἀγάπην,love,N-AFS,G26,Colossians 1,39,11
ἣν,that,RelPro-AFS,G3739,Colossians 1,40,11
ἔχετε,you have,V-PIA-2P,G2192,Colossians 1,41,11
εἰς,toward,Prep,G1519,Colossians 1,42,11
πάντας,all,Adj-AMP,G3956,Colossians 1,43,11
τοὺς,the,Art-AMP,G3588,Colossians 1,44,11
ἁγίους,saints,Adj-AMP,G40,Colossians 1,45,11
ἐλπίδα,hope,N-AFS,G1680,Colossians 1,46,11
ἀποκειμένην,being laid up,V-PPM/P-AFS,G606,Colossians 1,47,11
τοῖς,the,Art-DMP,G3588,Colossians 1,48,11
οὐρανοῖς,heavens,N-DMP,G3772,Colossians 1,49,11
προηκούσατε,you heard of before,V-AIA-2P,G4257,Colossians 1,50,11
λόγῳ,word,N-DMS,G3056,Colossians 1,51,11
τῆς,of,Art-GFS,G3588,Colossians 1,52,11
ἀληθείας,truth,N-GFS,G225,Colossians 1,53,11
τοῦ,the,Art-GNS,G3588,Colossians 1,54,11
εὐαγγελίου,gospel,N-GNS,G2098,Colossians 1,55,11
παρόντος,being present,V-PPA-GNS,G3918,Colossians 1,56,11
ὑμᾶς,you,PPro-A2P,G4771,Colossians 1,57,11
καθὼς,just as,Adv,G2531,Colossians 1,58,11
παντὶ,all,Adj-DMS,G3956,Colossians 1,59,11
κόσμῳ,world,N-DMS,G2889,Colossians 1,60,11
ἐστὶν,it is,V-PIA-3S,G1510,Colossians 1,61,11
καρποφορούμενον,bearing fruit,V-PPM-NNS,G2592,Colossians 1,62,11
αὐξανόμενον,increasing,V-PPM/P-NNS,G837,Colossians 1,63,11
ἀφ,from,Prep,G575,Colossians 1,64,11
ἧς,the,RelPro-GFS,G3739,Colossians 1,65,11
ἡμέρας,day,N-GFS,G2250,Colossians 1,66,11
ἠκούσατε,you heard,V-AIA-2P,G191,Colossians 1,67,11
ἐπέγνωτε,knew,V-AIA-2P,G1921,Colossians 1,68,11
χάριν,grace,N-AFS,G5485,Colossians 1,69,11
ἀληθείᾳ,truth,N-DFS,G225,Colossians 1,70,11
ἐμάθετε,you learned,V-AIA-2P,G3129,Colossians 1,71,11
Ἐπαφρᾶ,Epaphras,N-GMS,G1889,Colossians 1,72,11
ἀγαπητοῦ,beloved,Adj-GMS,G27,Colossians 1,73,11
συνδούλου,fellow bond-servant,N-GMS,G4889,Colossians 1,74,11
ὅς,who,RelPro-NMS,G3739,Colossians 1,75,11
ἐστιν,is,V-PIA-3S,G1510,Colossians 1,76,11
πιστὸς,faithful,Adj-NMS,G4103,Colossians 1,77,11
ὑπὲρ,on behalf of,Prep,G5228,Colossians 1,78,11
ἡμῶν,us,PPro-G1P,G1473,Colossians 1,79,11
διάκονος,a servant,N-NMS,G1249,Colossians 1,80,11
δηλώσας,having made known,V-APA-NMS,G1213,Colossians 1,81,11
ἡμῖν,to us,PPro-D1P,G1473,Colossians 1,82,11
Πνεύματι,the Spirit,N-DNS,G4151,Colossians 1,83,11
Διὰ,Because of,Prep,G1223,Colossians 1,84,11
τοῦτο,this,DPro-ANS,G3778,Colossians 1,85,11
ἡμεῖς,we,PPro-N1P,G1473,Colossians 1,86,11
ἠκούσαμεν,we heard,V-AIA-1P,G191,Colossians 1,87,11
οὐ,not,Adv,G3756,Colossians 1,88,11
παυόμεθα,cease,V-PIM-1P,G3973,Colossians 1,89,11
αἰτούμενοι,asking,V-PPM-NMP,G154,Colossians 1,90,11
ἵνα,that,Conj,G2443,Colossians 1,91,11
πληρωθῆτε,you may be filled with,V-ASP-2P,G4137,Colossians 1,92,11
ἐπίγνωσιν,knowledge,N-AFS,G1922,Colossians 1,93,11
αὐτοῦ,of Him,PPro-GM3S,G846,Colossians 1,94,11
πάσῃ,all,Adj-DFS,G3956,Colossians 1,95,11
σοφίᾳ,wisdom,N-DFS,G4678,Colossians 1,96,11
συνέσει,understanding,N-DFS,G4907,Colossians 1,97,11
πνευματικῇ,spiritual,Adj-DFS,G4152,Colossians 1,98,11
περιπατῆσαι,to walk,V-ANA,G4043,Colossians 1,99,11
ἀξίως,worthily,Adv,G516,Colossians 1,100,11
πᾶσαν,all,Adj-AFS,G3956,Colossians 1,101,11
ἀρεσκείαν,pleasing,N-AFS,G699,Colossians 1,102,11
παντὶ,every,Adj-DNS,G3956,Colossians 1,103,11
ἔργῳ,work,N-DNS,G2041,Colossians 1,104,11
ἀγαθῷ,good,Adj-DNS,G18,Colossians 1,105,11
καρποφοροῦντες,bringing forth fruit,V-PPA-NMP,G2592,Colossians 1,106,11
