Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Κολοσσαῖς,Colossae,N-DFP,G2857,Colossians 1,1,11
προηκούσατε,you heard of before,V-AIA-2P,G4257,Colossians 1,2,11
συνδούλου,fellow bond-servant,N-GMS,G4889,Colossians 1,3,11
διάκονος,a servant,N-NMS,G1249,Colossians 1,4,11
πνευματικῇ,spiritual,Adj-DFS,G4152,Colossians 1,5,11
ἀρεσκείαν,pleasing,N-AFS,G699,Colossians 1,6,11
δυναμούμενοι,being strengthened,V-PPM/P-NMP,G1412,Colossians 1,7,11
ἱκανώσαντι,having qualified,V-APA-DMS,G2427,Colossians 1,8,11
ἀοράτου,invisible,Adj-GMS,G517,Colossians 1,9,11
ἐκτίσθη,were created,V-AIP-3S,G2936,Colossians 1,10,11
ὁρατὰ,visible,Adj-NNP,G3707,Colossians 1,11,11
πρωτεύων,holding preeminence,V-PPA-NMS,G4409,Colossians 1,12,11
πλήρωμα,fullness,N-ANS,G4138,Colossians 1,13,11
ἀποκαταλλάξαι,to reconcile,V-ANA,G604,Colossians 1,14,11
εἰρηνοποιήσας,having made peace,V-APA-NMS,G1517,Colossians 1,15,11
ἀπηλλοτριωμένους,alienated,V-RPM/P-AMP,G526,Colossians 1,16,11
ἐπιμένετε,you continue,V-PIA-2P,G1961,Colossians 1,17,11
τεθεμελιωμένοι,established,V-RPM/P-NMP,G2311,Colossians 1,18,11
ἑδραῖοι,firm,Adj-NMP,G1476,Colossians 1,19,11
μετακινούμενοι,being moved away,V-PPM/P-NMP,G3334,Colossians 1,20,11
παθήμασιν,sufferings,N-DNP,G3804,Colossians 1,21,11
ἀνταναπληρῶ,I am filling up,V-PIA-1S,G466,Colossians 1,22,11
καταγγέλλομεν,preach,V-PIA-1P,G2605,Colossians 1,23,11
ἡλίκον,how great,Adj-AMS,G2245,Colossians 2,24,11
Λαοδικείᾳ,Laodicea,N-DFS,G2993,Colossians 2,25,11
συμβιβασθέντες,having been knit together,V-APP-NMP,G4822,Colossians 2,26,11
παραλογίζηται,might delude,V-PSM/P-3S,G3884,Colossians 2,27,11
πιθανολογίᾳ,persuasive speech,N-DFS,G4086,Colossians 2,28,11
ἄπειμι,I am absent,V-PIA-1S,G548,Colossians 2,29,11
στερέωμα,firmness,N-ANS,G4733,Colossians 2,30,11
ἐρριζωμένοι,having been rooted,V-RPM/P-NMP,G4492,Colossians 2,31,11
βεβαιούμενοι,being strengthened in,V-PPM/P-NMP,G950,Colossians 2,32,11
συλαγωγῶν,taking captive,V-PPA-NMS,G4812,Colossians 2,33,11
φιλοσοφίας,philosophy,N-GFS,G5385,Colossians 2,34,11
Θεότητος,Deity,N-GFS,G2320,Colossians 2,35,11
σωματικῶς,bodily,Adv,G4985,Colossians 2,36,11
ἀχειροποιήτῳ,made without hands,Adj-DFS,G886,Colossians 2,37,11
ἀπεκδύσει,removal,N-DFS,G555,Colossians 2,38,11
συνταφέντες,having been buried with,V-APP-NMP,G4916,Colossians 2,39,11
βαπτισμῷ,baptism,N-DMS,G909,Colossians 2,40,11
συνηγέρθητε,you were raised with Him,V-AIP-2P,G4891,Colossians 2,41,11
παραπτώμασιν,trespasses,N-DNP,G3900,Colossians 2,42,11
ἀκροβυστίᾳ,uncircumcision,N-DFS,G203,Colossians 2,43,11
συνεζωοποίησεν,He made alive together,V-AIA-3S,G4806,Colossians 2,44,11
