Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἐφέσῳ,Ephesus,N-DFS,G2181,Ephesians 1,1,12
εὐλογίᾳ,blessing,N-DFS,G2129,Ephesians 1,2,12
ἐπουρανίοις,heavenly realms,Adj-DNP,G2032,Ephesians 1,3,12
προορίσας,having predestined,V-APA-NMS,G4309,Ephesians 1,4,12
υἱοθεσίαν,divine adoption as sons,N-AFS,G5206,Ephesians 1,5,12
ἔπαινον,the praise,N-AMS,G1868,Ephesians 1,6,12
προέθετο,He purposed,V-AIM-3S,G4388,Ephesians 1,7,12
ἀνακεφαλαιώσασθαι,to bring together,V-ANM,G346,Ephesians 1,8,12
ἐκληρώθημεν,we have obtained an inheritance,V-AIP-1P,G2820,Ephesians 1,9,12
προηλπικότας,having first trusted,V-RPA-AMP,G4276,Ephesians 1,10,12
ἐσφραγίσθητε,you were sealed,V-AIP-2P,G4972,Ephesians 1,11,12
ἀρραβὼν,the guarantee,N-NMS,G728,Ephesians 1,12,12
ὑπερβάλλον,surpassing,V-PPA-NNS,G5235,Ephesians 1,13,12
μέγεθος,greatness,N-NNS,G3174,Ephesians 1,14,12
ὑπεράνω,above,Prep,G5231,Ephesians 1,15,12
ποίημα,workmanship,N-NNS,G4161,Ephesians 2,16,12
προητοίμασεν,prepared beforehand,V-AIA-3S,G4282,Ephesians 2,17,12
χειροποιήτου,made by hands,Adj-GFS,G5499,Ephesians 2,18,12
πολιτείας,commonwealth,N-GFS,G4174,Ephesians 2,19,12
ἄθεοι,without God,Adj-NMP,G112,Ephesians 2,20,12
μεσότοιχον,barrier,N-ANS,G3320,Ephesians 2,21,12
προσαγωγὴν,access,N-AFS,G4318,Ephesians 2,22,12
πάροικοι,aliens,Adj-NMP,G3941,Ephesians 2,23,12
συμπολῖται,fellow citizens,N-NMP,G4847,Ephesians 2,24,12
οἰκεῖοι,of the household,Adj-NMP,G3609,Ephesians 2,25,12
ἀκρογωνιαίου,the cornerstone,Adj-GMS,G204,Ephesians 2,26,12
οἰκοδομὴ,building,N-NFS,G3619,Ephesians 2,27,12
συναρμολογουμένη,being fitted together,V-PPM/P-NFS,G4883,Ephesians 2,28,12
συνοικοδομεῖσθε,are being built together,V-PIM/P-2P,G4925,Ephesians 2,29,12
κατοικητήριον,a habitation,N-ANS,G2732,Ephesians 2,30,12
νοῆσαι,to understand,V-ANA,G3539,Ephesians 3,31,12
συνκληρονόμα,joint-heirs,Adj-ANP,G4789,Ephesians 3,32,12
σύσσωμα,a joint-body,Adj-ANP,G4954,Ephesians 3,33,12
συμμέτοχα,joint-partakers,Adj-ANP,G4830,Ephesians 3,34,12
δωρεὰν,gift,N-AFS,G1431,Ephesians 3,35,12
ἐλαχιστοτέρῳ,very least,Adj-DMS-C,G1647,Ephesians 3,36,12
ἀνεξιχνίαστον,unsearchable,Adj-ANS,G421,Ephesians 3,37,12
πολυποίκιλος,manifold,Adj-NFS,G4182,Ephesians 3,38,12
πεποιθήσει,confidence,N-DFS,G4006,Ephesians 3,39,12
κάμπτω,I bow,V-PIA-1S,G2578,Ephesians 3,40,12
ἔσω,inner,Adv,G2080,Ephesians 3,41,12
ἐξισχύσητε,you may be fully able,V-ASA-2P,G1840,Ephesians 3,42,12
πλάτος,breadth,N-NNS,G4114,Ephesians 3,43,12
μῆκος,length,N-NNS,G3372,Ephesians 3,44,12
ἑνότητα,unity,N-AFS,G1775,Ephesians 4,45,12
ᾐχμαλώτευσεν,He led captive,V-AIA-3S,G162,Ephesians 4,46,12
αἰχμαλωσίαν,captivity,N-AFS,G161,Ephesians 4,47,12
κατώτερα,lower,Adj-ANP-C,G2737,Ephesians 4,48,12
εὐαγγελιστάς,evangelists,N-AMP,G2099,Ephesians 4,49,12
καταρτισμὸν,perfecting,N-AMS,G2677,Ephesians 4,50,12
καταντήσωμεν,we may attain,V-ASA-1P,G2658,Ephesians 4,51,12
κλυδωνιζόμενοι,being tossed by waves,V-PPM/P-NMP,G2831,Ephesians 4,52,12
περιφερόμενοι,being carried about,V-PPM/P-NMP,G4064,Ephesians 4,53,12
κυβείᾳ,cunning,N-DFS,G2940,Ephesians 4,54,12
μεθοδείαν,scheming,N-AFS,G3180,Ephesians 4,55,12
ἀληθεύοντες,Speaking the truth,V-PPA-NMP,G226,Ephesians 4,56,12
ἐπιχορηγίας,supply,N-GFS,G2024,Ephesians 4,57,12
ἐσκοτωμένοι,being darkened,V-RPM/P-NMP,G4656,Ephesians 4,58,12
ἄγνοιαν,ignorance,N-AFS,G52,Ephesians 4,59,12
πώρωσιν,hardness,N-AFS,G4457,Ephesians 4,60,12
ἀπηλγηκότες,having cast off all feeling,V-RPA-NMP,G524,Ephesians 4,61,12
προτέραν,former,Adj-AFS-C,G4386,Ephesians 4,62,12
ἀνανεοῦσθαι,to be renewed,V-PNM/P,G365,Ephesians 4,63,12
ἐπιδυέτω,let set,V-PMA-3S,G1931,Ephesians 4,64,12
παροργισμῷ,anger,N-DMS,G3950,Ephesians 4,65,12
πικρία,bitterness,N-NFS,G4088,Ephesians 4,66,12
εὔσπλαγχνοι,tender-hearted,Adj-NMP,G2155,Ephesians 4,67,12
προσφορὰν,as an offering,N-AFS,G4376,Ephesians 5,68,12
ὀσμὴν,an aroma,N-AFS,G3744,Ephesians 5,69,12
εὐωδίας,of a sweet smell,N-GFS,G2175,Ephesians 5,70,12
αἰσχρότης,filthiness,N-NFS,G151,Ephesians 5,71,12
μωρολογία,foolish talking,N-NFS,G3473,Ephesians 5,72,12
εὐτραπελία,crude joking,N-NFS,G2160,Ephesians 5,73,12
πόρνος,fornicator,N-NMS,G4205,Ephesians 5,74,12
πλεονέκτης,covetous man,N-NMS,G4123,Ephesians 5,75,12
εἰδωλολάτρης,an idolater,N-NMS,G1496,Ephesians 5,76,12
ἀπατάτω,let deceive,V-PMA-3S,G538,Ephesians 5,77,12
συνκοινωνεῖτε,have fellowship with,V-PMA-2P,G4790,Ephesians 5,78,12
κρυφῇ,in secret,Adv,G2931,Ephesians 5,79,12
ἐπιφαύσει,will shine upon,V-FIA-3S,G2017,Ephesians 5,80,12
ἄσοφοι,unwise,Adj-NMP,G781,Ephesians 5,81,12
ψάλλοντες,making melody,V-PPA-NMP,G5567,Ephesians 5,82,12
ῥυτίδα,wrinkle,N-AFS,G4512,Ephesians 5,83,12
ἐκτρέφει,he nourishes,V-PIA-3S,G1625,Ephesians 5,84,12
προσκολληθήσεται,be joined,V-FIP-3S,G4347,Ephesians 5,85,12
μακροχρόνιος,long-lived,Adj-NMS,G3118,Ephesians 6,86,12
παροργίζετε,provoke,V-PMA-2P,G3949,Ephesians 6,87,12
παιδείᾳ,the discipline,N-DFS,G3809,Ephesians 6,88,12
τρόμου,trembling,N-GMS,G5156,Ephesians 6,89,12
εὐνοίας,good will,N-GFS,G2133,Ephesians 6,90,12
ἀνιέντες,giving up,V-PPA-NMP,G447,Ephesians 6,91,12
ἀπειλήν,threatening,N-AFS,G547,Ephesians 6,92,12
λοιποῦ,Henceforth,Adj-GNS,G3064,Ephesians 6,93,12
ἐνδυναμοῦσθε,be empowered,V-PMM/P-2P,G1743,Ephesians 6,94,12
πάλη,wrestling,N-NFS,G3823,Ephesians 6,95,12
κοσμοκράτορας,cosmic powers,N-AMP,G2888,Ephesians 6,96,12
ἀναλάβετε,take up,V-AMA-2P,G353,Ephesians 6,97,12
κατεργασάμενοι,having done,V-APM-NMP,G2716,Ephesians 6,98,12
ὑποδησάμενοι,having shod,V-APM-NMP,G5265,Ephesians 6,99,12
ἑτοιμασίᾳ,the readiness,N-DFS,G2091,Ephesians 6,100,12
θυρεὸν,shield,N-AMS,G2375,Ephesians 6,101,12
προσκαρτερήσει,perseverance,N-DFS,G4343,Ephesians 6,102,12
ἀνοίξει,the opening,N-DFS,G457,Ephesians 6,103,12
πρεσβεύω,I am an ambassador,V-PIA-1S,G4243,Ephesians 6,104,12
