Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐναρξάμενος,having begun,V-APM-NMS,G1728,Philippians 1,1,13
ἐπιτελέσει,will complete it,V-FIA-3S,G2005,Philippians 1,2,13
ἀπολογίᾳ,defense,N-DFS,G627,Philippians 1,3,13
βεβαιώσει,confirmation,N-DFS,G951,Philippians 1,4,13
συνκοινωνούς,fellow partakers,N-AMP,G4791,Philippians 1,5,13
αἰσθήσει,discernment,N-DFS,G144,Philippians 1,6,13
ἀπρόσκοποι,blameless,Adj-NMP,G677,Philippians 1,7,13
προκοπὴν,the advancement,N-AFS,G4297,Philippians 1,8,13
πραιτωρίῳ,palace guard,N-DNS,G4232,Philippians 1,9,13
ἐριθείας,selfish ambition,N-GFS,G2052,Philippians 1,10,13
ἁγνῶς,purely,Adv,G55,Philippians 1,11,13
οἰόμενοι,supposing,V-PPM/P-NMP,G3633,Philippians 1,12,13
ἀποκαραδοκίαν,earnest expectation,N-AFS,G603,Philippians 1,13,13
κρεῖσσον,better,Adj-NNS-C,G2908,Philippians 1,14,13
παραμενῶ,will continue with,V-FIA-1S,G3887,Philippians 1,15,13
καύχημα,boasting,N-NNS,G2745,Philippians 1,16,13
πολιτεύεσθε,conduct yourselves,V-PMM/P-2P,G4176,Philippians 1,17,13
συναθλοῦντες,striving together,V-PPA-NMP,G4866,Philippians 1,18,13
πτυρόμενοι,being frightened,V-PPM/P-NMP,G4426,Philippians 1,19,13
ἔνδειξις,a demonstration,N-NFS,G1732,Philippians 1,20,13
παραμύθιον,comfort,N-NNS,G3890,Philippians 2,21,13
σύμψυχοι,united in soul,Adj-NMP,G4861,Philippians 2,22,13
κενοδοξίαν,vain conceit,N-AFS,G2754,Philippians 2,23,13
ὑπερέχοντας,surpassing,V-PPA-AMP,G5242,Philippians 2,24,13
μορφῇ,the form,N-DFS,G3444,Philippians 2,25,13
ἁρπαγμὸν,something to be grasped,N-AMS,G725,Philippians 2,26,13
ἐκένωσεν,emptied,V-AIA-3S,G2758,Philippians 2,27,13
ὁμοιώματι,the likeness,N-DNS,G3667,Philippians 2,28,13
σχήματι,in appearance,N-DNS,G4976,Philippians 2,29,13
ὑπήκοος,obedient,Adj-NMS,G5255,Philippians 2,30,13
ὑπερύψωσεν,highly exalted,V-AIA-3S,G5251,Philippians 2,31,13
ἐπιγείων,on earth,Adj-GMP,G1919,Philippians 2,32,13
καταχθονίων,under the earth,Adj-GMP,G2709,Philippians 2,33,13
ἀπουσίᾳ,absence,N-DFS,G666,Philippians 2,34,13
γογγυσμῶν,murmurings,N-GMP,G1112,Philippians 2,35,13
ἀκέραιοι,innocent,Adj-NMP,G185,Philippians 2,36,13
φωστῆρες,lights,N-NMP,G5458,Philippians 2,37,13
σπένδομαι,I am being poured out as a drink offering,V-PIM/P-1S,G4689,Philippians 2,38,13
