Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Γαλατίας,of Galatia,N-GFS,G1053,Galatians 1,1,14
ἐξέληται,He might deliver,V-ASM-3S,G1807,Galatians 1,2,14
μεταστρέψαι,to pervert,V-ANA,G3344,Galatians 1,3,14
ἀνάθεμα,accursed,N-NNS,G331,Galatians 1,4,14
Ἰουδαϊσμῷ,Judaism,N-DMS,G2454,Galatians 1,5,14
ὑπερβολὴν,exceeding measure,N-AFS,G5236,Galatians 1,6,14
ἐπόρθουν,was destroying,V-IIA-1S,G4199,Galatians 1,7,14
συνηλικιώτας,contemporaries,N-AMP,G4915,Galatians 1,8,14
πατρικῶν,fathers,Adj-GFP,G3967,Galatians 1,9,14
προσανεθέμην,I consulted,V-AIM-1S,G4323,Galatians 1,10,14
ἀνῆλθον,did I go up,V-AIA-1S,G424,Galatians 1,11,14
Ἀραβίαν,Arabia,N-AFS,G688,Galatians 1,12,14
Δαμασκόν,Damascus,N-AFS,G1154,Galatians 1,13,14
ἱστορῆσαι,to make acquaintance with,V-ANA,G2477,Galatians 1,14,14
Κηφᾶν,Cephas,N-AMS,G2786,Galatians 1,15,14
δεκαπέντε,fifteen,Adj-AFP,G1178,Galatians 1,16,14
κλίματα,regions,N-ANP,G2824,Galatians 1,17,14
Κιλικίας,Cilicia,N-GFS,G2791,Galatians 1,18,14
δεκατεσσάρων,fourteen,Adj-GNP,G1180,Galatians 2,19,14
συμπαραλαβὼν,having taken with me,V-APA-NMS,G4838,Galatians 2,20,14
ἀνεθέμην,set before,V-AIM-1S,G394,Galatians 2,21,14
παρεισάκτους,brought in secretly,Adj-AMP,G3920,Galatians 2,22,14
ψευδαδέλφους,false brothers,N-AMP,G5569,Galatians 2,23,14
παρεισῆλθον,came in by stealth,V-AIA-3P,G3922,Galatians 2,24,14
κατασκοπῆσαι,to spy out,V-ANA,G2684,Galatians 2,25,14
καταδουλώσουσιν,they will enslave,V-FIA-3P,G2615,Galatians 2,26,14
εἴξαμεν,did we yield,V-AIA-1P,G1502,Galatians 2,27,14
ὑποταγῇ,in subjection,N-DFS,G5292,Galatians 2,28,14
τοὐναντίον,on the contrary,Adv-C,G5121,Galatians 2,29,14
ἀποστολὴν,apostleship,N-AFS,G651,Galatians 2,30,14
στῦλοι,pillars,N-NMP,G4769,Galatians 2,31,14
Ἀντιόχειαν,Antioch,N-AFS,G490,Galatians 2,32,14
ὑπέστελλεν,he was drawing back,V-IIA-3S,G5288,Galatians 2,33,14
συνυπεκρίθησαν,acted hypocritically,V-AIP-3P,G4942,Galatians 2,34,14
ὀρθοποδοῦσιν,they are walking uprightly,V-PIA-3P,G3716,Galatians 2,35,14
ἐθνικῶς,like a Gentile,Adv,G1483,Galatians 2,36,14
Ἰουδαϊκῶς,like a Jew,Adv,G2452,Galatians 2,37,14
ἰουδαΐζειν,to Judaize,V-PNA,G2450,Galatians 2,38,14
παραβάτην,a transgressor,N-AMS,G3848,Galatians 2,39,14
συνεσταύρωμαι,I have been crucified with,V-RIM/P-1S,G4957,Galatians 2,40,14
Γαλάται,Galatians,N-VMP,G1052,Galatians 3,41,14
ἐβάσκανεν,has bewitched,V-AIA-3S,G940,Galatians 3,42,14
προϊδοῦσα,Having foreseen,V-APA-NFS,G4308,Galatians 3,43,14
προευηγγελίσατο,foretold the gospel,V-AIM-3S,G4283,Galatians 3,44,14
Ἐνευλογηθήσονται,Will be blessed,V-FIP-3P,G1757,Galatians 3,45,14
Ἐπικατάρατος,Cursed is,Adj-NMS,G1944,Galatians 3,46,14
ἐμμένει,does continue,V-PIA-3S,G1696,Galatians 3,47,14
δῆλον,is evident,Adj-NNS,G1212,Galatians 3,48,14
ὅμως,Even,Conj,G3676,Galatians 3,49,14
κεκυρωμένην,having been ratified,V-RPM/P-AFS,G2964,Galatians 3,50,14
ἐπιδιατάσσεται,adds thereto,V-PIM/P-3S,G1928,Galatians 3,51,14
προκεκυρωμένην,having been confirmed beforehand,V-RPM/P-AFS,G4300,Galatians 3,52,14
τετρακόσια,four hundred,Adj-ANP,G5071,Galatians 3,53,14
ἀκυροῖ,does annul,V-PIA-3S,G208,Galatians 3,54,14
παραβάσεων,Transgressions,N-GFP,G3847,Galatians 3,55,14
μεσίτου,of a mediator,N-GMS,G3316,Galatians 3,56,14
ζωοποιῆσαι,to impart life,V-ANA,G2227,Galatians 3,57,14
παιδαγωγὸς,trainer,N-NMS,G3807,Galatians 3,58,14
θῆλυ,female,Adj-NNS,G2338,Galatians 3,59,14
