Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
προγόνων,my forefathers,N-GMP,G4269,2 Timothy 1,1,15
ἀδιάλειπτον,unceasingly,Adj-AFS,G88,2 Timothy 1,2,15
ἀνυποκρίτου,sincere,Adj-GFS,G505,2 Timothy 1,3,15
μάμμῃ,grandmother,N-DFS,G3125,2 Timothy 1,4,15
Λωΐδι,Lois,N-DFS,G3090,2 Timothy 1,5,15
Εὐνίκῃ,Eunice,N-DFS,G2131,2 Timothy 1,6,15
ἀναμιμνῄσκω,I remind,V-PIA-1S,G363,2 Timothy 1,7,15
ἀναζωπυρεῖν,to kindle anew,V-PNA,G329,2 Timothy 1,8,15
χάρισμα,gift,N-ANS,G5486,2 Timothy 1,9,15
ἐπιθέσεως,laying on,N-GFS,G1936,2 Timothy 1,10,15
δειλίας,of cowardice,N-GFS,G1167,2 Timothy 1,11,15
σωφρονισμοῦ,of self-control,N-GMS,G4995,2 Timothy 1,12,15
συνκακοπάθησον,suffer together,V-AMA-2S,G4777,2 Timothy 1,13,15
παραθήκην,deposit entrusted,N-AFS,G3866,2 Timothy 1,14,15
Ὑποτύπωσιν,The pattern,N-AFS,G5296,2 Timothy 1,15,15
Ἀσίᾳ,Asia,N-DFS,G773,2 Timothy 1,16,15
Φύγελος,Phygelus,N-NMS,G5436,2 Timothy 1,17,15
Ἑρμογένης,Hermogenes,N-NMS,G2061,2 Timothy 1,18,15
Ὀνησιφόρου,of Onesiphorus,N-GMS,G3683,2 Timothy 1,19,15
ἀνέψυξεν,he refreshed,V-AIA-3S,G404,2 Timothy 1,20,15
Ῥώμῃ,Rome,N-DFS,G4516,2 Timothy 1,21,15
βέλτιον,very well,Adv-C,G957,2 Timothy 1,22,15
πραγματείαις,affairs,N-DFP,G4230,2 Timothy 2,23,15
στρατολογήσαντι,having enlisted him,V-APA-DMS,G4758,2 Timothy 2,24,15
ἀθλῇ,competes,V-PSA-3S,G118,2 Timothy 2,25,15
στεφανοῦται,he is crowned,V-PIM/P-3S,G4737,2 Timothy 2,26,15
νομίμως,lawfully,Adv,G3545,2 Timothy 2,27,15
μεταλαμβάνειν,to partake,V-PNA,G3335,2 Timothy 2,28,15
κακοπαθῶ,I suffer hardship,V-PIA-1S,G2553,2 Timothy 2,29,15
συναπεθάνομεν,we have died together with Him,V-AIA-1P,G4880,2 Timothy 2,30,15
συζήσομεν,we will live together with Him,V-FIA-1P,G4800,2 Timothy 2,31,15
συμβασιλεύσομεν,we will reign together with Him,V-FIA-1P,G4821,2 Timothy 2,32,15
λογομαχεῖν,to quarrel about words,V-PNA,G3054,2 Timothy 2,33,15
χρήσιμον,profitable,Adj-ANS,G5539,2 Timothy 2,34,15
δόκιμον,approved,Adj-AMS,G1384,2 Timothy 2,35,15
ἀνεπαίσχυντον,not ashamed,Adj-AMS,G422,2 Timothy 2,36,15
ὀρθοτομοῦντα,accurately handling,V-PPA-AMS,G3718,2 Timothy 2,37,15
βεβήλους,worldly,Adj-AFP,G952,2 Timothy 2,38,15
κενοφωνίας,empty babblings,N-AFP,G2757,2 Timothy 2,39,15
γάγγραινα,gangrene,N-NFS,G1044,2 Timothy 2,40,15
νομὴν,pasture to grow,N-AFS,G3542,2 Timothy 2,41,15
Ὑμέναιος,Hymenaeus,N-NMS,G5211,2 Timothy 2,42,15
Φιλητός,Philetus,N-NMS,G5372,2 Timothy 2,43,15
ἠστόχησαν,have gone astray,V-AIA-3P,G795,2 Timothy 2,44,15
στερεὸς,the firm,Adj-NMS,G4731,2 Timothy 2,45,15
σφραγῖδα,seal,N-AFS,G4973,2 Timothy 2,46,15
χρυσᾶ,golden,Adj-NNP,G5552,2 Timothy 2,47,15
ἀργυρᾶ,silver,Adj-NNP,G693,2 Timothy 2,48,15
ξύλινα,wooden,Adj-NNP,G3585,2 Timothy 2,49,15
ὀστράκινα,earthen,Adj-NNP,G3749,2 Timothy 2,50,15
