Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,2 Timothy 1,1,15
ἀπόστολος,an apostle,N-NMS,G652,2 Timothy 1,2,15
Χριστοῦ,of Christ,N-GMS,G5547,2 Timothy 1,3,15
Ἰησοῦ,Jesus,N-GMS,G2424,2 Timothy 1,4,15
διὰ,by,Prep,G1223,2 Timothy 1,5,15
θελήματος,the will,N-GNS,G2307,2 Timothy 1,6,15
Θεοῦ,of God,N-GMS,G2316,2 Timothy 1,7,15
κατ,according to,Prep,G2596,2 Timothy 1,8,15
ἐπαγγελίαν,the promise,N-AFS,G1860,2 Timothy 1,9,15
ζωῆς,of life,N-GFS,G2222,2 Timothy 1,10,15
τῆς,-,Art-GFS,G3588,2 Timothy 1,11,15
ἐν,in,Prep,G1722,2 Timothy 1,12,15
Τιμοθέῳ,To Timothy,N-DMS,G5095,2 Timothy 1,13,15
ἀγαπητῷ,my beloved,Adj-DNS,G27,2 Timothy 1,14,15
τέκνῳ,child,N-DNS,G5043,2 Timothy 1,15,15
Χάρις,Grace,N-NFS,G5485,2 Timothy 1,16,15
ἔλεος,mercy,N-NNS,G1656,2 Timothy 1,17,15
εἰρήνη,and peace,N-NFS,G1515,2 Timothy 1,18,15
ἀπὸ,from,Prep,G575,2 Timothy 1,19,15
Πατρὸς,the Father,N-GMS,G3962,2 Timothy 1,20,15
καὶ,and,Conj,G2532,2 Timothy 1,21,15
Κυρίου,Lord,N-GMS,G2962,2 Timothy 1,22,15
ἡμῶν,of us,PPro-G1P,G1473,2 Timothy 1,23,15
ἔχω,I am,V-PIA-1S,G2192,2 Timothy 1,24,15
ᾧ,whom,RelPro-DMS,G3739,2 Timothy 1,25,15
λατρεύω,I serve,V-PIA-1S,G3000,2 Timothy 1,26,15
προγόνων,my forefathers,N-GMP,G4269,2 Timothy 1,27,15
καθαρᾷ,a pure,Adj-DFS,G2513,2 Timothy 1,28,15
συνειδήσει,conscience,N-DFS,G4893,2 Timothy 1,29,15
ὡς,as,Adv,G5613,2 Timothy 1,30,15
ἀδιάλειπτον,unceasingly,Adj-AFS,G88,2 Timothy 1,31,15
περὶ,of,Prep,G4012,2 Timothy 1,32,15
σοῦ,you,PPro-G2S,G4771,2 Timothy 1,33,15
μνείαν,remembrance,N-AFS,G3417,2 Timothy 1,34,15
δεήσεσίν,prayers,N-DFP,G1162,2 Timothy 1,35,15
νυκτὸς,night,N-GFS,G3571,2 Timothy 1,36,15
ἡμέρας,day,N-GFS,G2250,2 Timothy 1,37,15
ἐπιποθῶν,longing,V-PPA-NMS,G1971,2 Timothy 1,38,15
ἰδεῖν,to see,V-ANA,G3708,2 Timothy 1,39,15
μεμνημένος,recalling,V-RPM/P-NMS,G3403,2 Timothy 1,40,15
δακρύων,tears,N-GNP,G1144,2 Timothy 1,41,15
ἵνα,so that,Conj,G2443,2 Timothy 1,42,15
χαρᾶς,with joy,N-GFS,G5479,2 Timothy 1,43,15
πληρωθῶ,I may be filled,V-ASP-1S,G4137,2 Timothy 1,44,15
ὑπόμνησιν,remembrance,N-AFS,G5280,2 Timothy 1,45,15
λαβὼν,having taken,V-APA-NMS,G2983,2 Timothy 1,46,15
ἀνυποκρίτου,sincere,Adj-GFS,G505,2 Timothy 1,47,15
πίστεως,faith,N-GFS,G4102,2 Timothy 1,48,15
ἥτις,which,RelPro-NFS,G3748,2 Timothy 1,49,15
ἐνῴκησεν,dwelt,V-AIA-3S,G1774,2 Timothy 1,50,15
πρῶτον,first,Adv-S,G4412,2 Timothy 1,51,15
μάμμῃ,grandmother,N-DFS,G3125,2 Timothy 1,52,15
Λωΐδι,Lois,N-DFS,G3090,2 Timothy 1,53,15
μητρί,mother,N-DFS,G3384,2 Timothy 1,54,15
Εὐνίκῃ,Eunice,N-DFS,G2131,2 Timothy 1,55,15
πέπεισμαι,I am persuaded,V-RIM/P-1S,G3982,2 Timothy 1,56,15
