Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Διασπορᾷ,Dispersion,N-DFS,G1290,James 1,1,16
δοκίμιον,testing,N-NNS,G1383,James 1,2,16
ἁπλῶς,generously,Adv,G574,James 1,3,16
ἔοικεν,is like,V-RIA-3S,G1503,James 1,4,16
ἀνεμιζομένῳ,being blown by the wind,V-PPM/P-DMS,G416,James 1,5,16
ῥιπιζομένῳ,being tossed by the wind,V-PPM/P-DMS,G4494,James 1,6,16
δίψυχος,double-minded,Adj-NMS,G1374,James 1,7,16
ἀκατάστατος,unstable,Adj-NMS,G182,James 1,8,16
ἄνθος,a flower,N-NNS,G438,James 1,9,16
εὐπρέπεια,beauty,N-NFS,G2143,James 1,10,16
μαρανθήσεται,will fade away,V-FIP-3S,G3133,James 1,11,16
ἀπείραστός,unable to be tempted,Adj-NMS,G551,James 1,12,16
ἐξελκόμενος,being drawn away,V-PPM/P-NMS,G1828,James 1,13,16
ἀποκύει,brings forth,V-PIA-3S,G616,James 1,14,16
δώρημα,gift,N-NNS,G1434,James 1,15,16
παραλλαγὴ,variation,N-NFS,G3883,James 1,16,16
τροπῆς,of shifting,N-GFS,G5157,James 1,17,16
ἀποσκίασμα,shadow,N-NNS,G644,James 1,18,16
ἀπαρχήν,firstfruits,N-AFS,G536,James 1,19,16
κτισμάτων,creatures,N-GNP,G2938,James 1,20,16
ταχὺς,swift,Adj-NMS,G5036,James 1,21,16
ῥυπαρίαν,filthiness,N-AFS,G4507,James 1,22,16
περισσείαν,abounding,N-AFS,G4050,James 1,23,16
ἔμφυτον,implanted,Adj-AMS,G1721,James 1,24,16
ποιηταὶ,doers,N-NMP,G4163,James 1,25,16
ἀκροαταὶ ,hearers,N-NMP,G202,James 1,26,16
ἐσόπτρῳ,a mirror,N-DNS,G2072,James 1,27,16
ἐπιλησμονῆς,forgetful,N-GFS,G1953,James 1,28,16
ποιήσει,work,N-DFS,G4162,James 1,29,16
θρησκὸς,religious,Adj-NMS,G2357,James 1,30,16
χαλιναγωγῶν,bridling,V-PPA-NMS,G5468,James 1,31,16
ἀμίαντος,undefiled,Adj-NFS,G283,James 1,32,16
ὀρφανοὺς,orphans,Adj-AMP,G3737,James 1,33,16
χρυσοδακτύλιος,with a gold ring,Adj-NMS,G5554,James 2,34,16
ῥυπαρᾷ,shabby,Adj-DFS,G4508,James 2,35,16
φοροῦντα,wearing,V-PPA-AMS,G5409,James 2,36,16
καταδυναστεύουσιν,are oppressing,V-PIA-3P,G2616,James 2,37,16
ἕλκουσιν,dragging,V-PIA-3P,G1670,James 2,38,16
κριτήρια,court,N-ANP,G2922,James 2,39,16
βασιλικὸν,royal,Adj-AMS,G937,James 2,40,16
προσωπολημπτεῖτε,you show partiality,V-PIA-2P,G4380,James 2,41,16
ἔνοχος,guilty,Adj-NMS,G1777,James 2,42,16
ἀνέλεος,without mercy will be,Adj-NFS,G448,James 2,43,16
κατακαυχᾶται,Triumphs over,V-PIM/P-3S,G2620,James 2,44,16
ὄφελος,profit,N-NNS,G3786,James 2,45,16
γυμνοὶ,without clothes,Adj-NMP,G1131,James 2,46,16
ἐφημέρου,of daily,Adj-GFS,G2184,James 2,47,16
θερμαίνεσθε,be warmed,V-PMM/P-2P,G2328,James 2,48,16
ἐπιτήδεια,needful things,Adj-ANP,G2006,James 2,49,16
φρίσσουσιν,shudder,V-PIA-3P,G5425,James 2,50,16
συνήργει,was working with,V-IIA-3S,G4903,James 2,51,16
Ῥαὰβ,Rahab,N-NFS,G4460,James 2,52,16
ἵππων,horses,N-GMP,G2462,James 3,53,16
χαλινοὺς,bits,N-AMP,G5469,James 3,54,16
μετάγομεν,we turn about,V-PIA-1P,G3329,James 3,55,16
τηλικαῦτα,so great,DPro-NNP,G5082,James 3,56,16
πηδαλίου,rudder,N-GNS,G4079,James 3,57,16
ὁρμὴ,impulse,N-NFS,G3730,James 3,58,16
εὐθύνοντος,steering,V-PPA-GMS,G2116,James 3,59,16
αὐχεῖ,it boasts,V-PIA-3S,G3166,James 3,60,16
ὕλην,a forest,N-AFS,G5208,James 3,61,16
φλογίζουσα,setting on fire,V-PPA-NFS,G5394,James 3,62,16
τροχὸν,course,N-AMS,G5164,James 3,63,16
ἑρπετῶν,of creeping things,N-GNP,G2062,James 3,64,16
ἐναλίων,things of the sea,Adj-GNP,G1724,James 3,65,16
δαμάζεται,is subdued,V-PIM/P-3S,G1150,James 3,66,16
ἀνθρωπίνῃ,human,Adj-DFS,G442,James 3,67,16
ἰοῦ,of poison,N-GMS,G2447,James 3,68,16
θανατηφόρου,deadly,Adj-GMS,G2287,James 3,69,16
ὁμοίωσιν,the likeness,N-AFS,G3669,James 3,70,16
χρή,ought,V-PIA-3S,G5534,James 3,71,16
ὀπῆς,opening,N-GFS,G3692,James 3,72,16
βρύει,pours forth,V-PIA-3S,G1032,James 3,73,16
γλυκὺ,both fresh,Adj-ANS,G1099,James 3,74,16
πικρόν,bitter,Adj-ANS,G4089,James 3,75,16
ἁλυκὸν,a salt spring,Adj-NNS,G252,James 3,76,16
ἐπιστήμων,understanding,Adj-NMS,G1990,James 3,77,16
δαιμονιώδης,demonic,Adj-NFS,G1141,James 3,78,16
εἰρηνική,peaceable,Adj-NFS,G1516,James 3,79,16
εὐπειθής,reasonable,Adj-NFS,G2138,James 3,80,16
ἀδιάκριτος,impartial,Adj-NFS,G87,James 3,81,16
ἐπιτυχεῖν,to obtain,V-ANA,G2013,James 4,82,16
πολεμεῖτε,wrangle,V-PIA-2P,G4170,James 4,83,16
φιλία,friendship,N-NFS,G5373,James 4,84,16
κενῶς,in vain,Adv,G2761,James 4,85,16
ἀντιτάσσεται,opposes,V-PIM-3S,G498,James 4,86,16
ταλαιπωρήσατε,Be grieved,V-AMA-2P,G5003,James 4,87,16
γέλως,laughter,N-NMS,G1071,James 4,88,16
πένθος,mourning,N-ANS,G3997,James 4,89,16
κατήφειαν,gloom,N-AFS,G2726,James 4,90,16
καταλαλεῖτε,speak against,V-PMA-2P,G2635,James 4,91,16
νομοθέτης,Lawgiver,N-NMS,G3550,James 4,92,16
ἀτμὶς,A vapor,N-NFS,G822,James 4,93,16
ἀφανιζομένη,vanishing,V-PPM/P-NFS,G853,James 4,94,16
ὀλολύζοντες,wailing,V-PPA-NMP,G3649,James 5,95,16
ταλαιπωρίαις,miseries,N-DFP,G5004,James 5,96,16
σέσηπεν,have rotted,V-RIA-3S,G4595,James 5,97,16
σητόβρωτα,moth-eaten,Adj-NNP,G4598,James 5,98,16
χρυσὸς,gold,N-NMS,G5557,James 5,99,16
ἄργυρος,silver,N-NMS,G696,James 5,100,16
κατίωται,have corroded,V-RIM/P-3S,G2728,James 5,101,16
ἀμησάντων,having harvested,V-APA-GMP,G270,James 5,102,16
ἀφυστερημένος,having been kept back,V-RPM/P-NMS,G650,James 5,103,16
βοαὶ,cries,N-NFP,G995,James 5,104,16
Σαβαὼθ,of Hosts,N-GMP,G4519,James 5,105,16
Ἐτρυφήσατε,You lived in luxury,V-AIA-2P,G5171,James 5,106,16
ἐσπαταλήσατε,lived in self-indulgence,V-AIA-2P,G4684,James 5,107,16
σφαγῆς,of slaughter,N-GFS,G4967,James 5,108,16
ἐκδέχεται,awaits,V-PIM/P-3S,G1551,James 5,109,16
πρόϊμον,the early,Adj-AMS,G4406,James 5,110,16
ὄψιμον,latter rains,Adj-AMS,G3797,James 5,111,16
στενάζετε,grumble,V-PMA-2P,G4727,James 5,112,16
κακοπαθίας,of suffering evils,N-GFS,G2552,James 5,113,16
Ἰὼβ,of Job,N-GMS,G2492,James 5,114,16
πολύσπλαγχνός,full of compassion,Adj-NMS,G4184,James 5,115,16
εὐθυμεῖ,Is cheerful,V-PIA-3S,G2114,James 5,116,16
εὐχὴ,prayer,N-NFS,G2171,James 5,117,16
κάμνοντα,ailing,V-PPA-AMS,G2577,James 5,118,16
ὁμοιοπαθὴς,of like nature,Adj-NMS,G3663,James 5,119,16
ὑετὸν,rain,N-AMS,G5205,James 5,120,16
ἐβλάστησεν,produced,V-AIA-3S,G985,James 5,121,16
