Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,1 Timothy 1,1,18
ἀπόστολος,an apostle,N-NMS,G652,1 Timothy 1,2,18
Χριστοῦ,of Christ,N-GMS,G5547,1 Timothy 1,3,18
Ἰησοῦ,Jesus,N-GMS,G2424,1 Timothy 1,4,18
κατ,according to,Prep,G2596,1 Timothy 1,5,18
ἐπιταγὴν,the command,N-AFS,G2003,1 Timothy 1,6,18
Θεοῦ,of God,N-GMS,G2316,1 Timothy 1,7,18
Σωτῆρος,the Savior,N-GMS,G4990,1 Timothy 1,8,18
ἡμῶν,of us,PPro-G1P,G1473,1 Timothy 1,9,18
καὶ,and,Conj,G2532,1 Timothy 1,10,18
τῆς,the,Art-GFS,G3588,1 Timothy 1,11,18
ἐλπίδος,hope,N-GFS,G1680,1 Timothy 1,12,18
Τιμοθέῳ,To Timothy,N-DMS,G5095,1 Timothy 1,13,18
γνησίῳ,my true,Adj-DNS,G1103,1 Timothy 1,14,18
τέκνῳ,child,N-DNS,G5043,1 Timothy 1,15,18
ἐν,in,Prep,G1722,1 Timothy 1,16,18
πίστει,the faith,N-DFS,G4102,1 Timothy 1,17,18
Χάρις,Grace,N-NFS,G5485,1 Timothy 1,18,18
ἔλεος,mercy,N-NNS,G1656,1 Timothy 1,19,18
εἰρήνη,and peace,N-NFS,G1515,1 Timothy 1,20,18
ἀπὸ,from,Prep,G575,1 Timothy 1,21,18
πατρὸς,the Father,N-GMS,G3962,1 Timothy 1,22,18
τοῦ,the,Art-GMS,G3588,1 Timothy 1,23,18
κυρίου,Lord,N-GMS,G2962,1 Timothy 1,24,18
Καθὼς,Just as,Adv,G2531,1 Timothy 1,25,18
παρεκάλεσά,I urged,V-AIA-1S,G3870,1 Timothy 1,26,18
σε,you,PPro-A2S,G4771,1 Timothy 1,27,18
προσμεῖναι,to remain,V-ANA,G4357,1 Timothy 1,28,18
Ἐφέσῳ,Ephesus,N-DFS,G2181,1 Timothy 1,29,18
πορευόμενος,when I was going,V-PPM/P-NMS,G4198,1 Timothy 1,30,18
εἰς,to,Prep,G1519,1 Timothy 1,31,18
