Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
προσμεῖναι,to remain,V-ANA,G4357,1 Timothy 1,1,18
ἑτεροδιδασκαλεῖν,to teach other doctrines,V-PNA,G2085,1 Timothy 1,2,18
ἀπεράντοις,endless,Adj-DFP,G562,1 Timothy 1,3,18
ματαιολογίαν,meaningless discourse,N-AFS,G3150,1 Timothy 1,4,18
χρῆται,uses,V-PSM/P-3S,G5530,1 Timothy 1,5,18
πατρολῴαις,for murderers of fathers,N-DMP,G3964,1 Timothy 1,6,18
μητρολῴαις,murderers of mothers,N-DMP,G3389,1 Timothy 1,7,18
ἀνδροφόνοις,for slayers of man,N-DMP,G409,1 Timothy 1,8,18
ἀρσενοκοίταις,homosexuals,N-DMP,G733,1 Timothy 1,9,18
ἀνδραποδισταῖς,enslavers,N-DMP,G405,1 Timothy 1,10,18
ἐπιόρκοις,perjurers,Adj-DMP,G1965,1 Timothy 1,11,18
διώκτην,a persecutor,N-AMS,G1376,1 Timothy 1,12,18
ὑβριστήν,insolent,N-AMS,G5197,1 Timothy 1,13,18
ἀπιστίᾳ,unbelief,N-DFS,G570,1 Timothy 1,14,18
ὑπερεπλεόνασεν,Surpassingly increased,V-AIA-3S,G5250,1 Timothy 1,15,18
ἀποδοχῆς,acceptance,N-GFS,G594,1 Timothy 1,16,18
στρατείαν,warfare,N-AFS,G4752,1 Timothy 1,17,18
ἀπωσάμενοι,having cast away,V-APM-NMP,G683,1 Timothy 1,18,18
ἐναυάγησαν,have caused a shipwreck,V-AIA-3P,G3489,1 Timothy 1,19,18
ἐντεύξεις,intercessions,N-AFP,G1783,1 Timothy 2,20,18
ὑπεροχῇ,authority,N-DFS,G5247,1 Timothy 2,21,18
ἤρεμον,a tranquil,Adj-AMS,G2263,1 Timothy 2,22,18
ἀπόδεκτον,acceptable,Adj-NNS,G587,1 Timothy 2,23,18
ἀντίλυτρον,as a ransom,N-ANS,G487,1 Timothy 2,24,18
καταστολῇ,apparel,N-DFS,G2689,1 Timothy 2,25,18
κοσμίῳ,respectable,Adj-DFS,G2887,1 Timothy 2,26,18
αἰδοῦς,modesty,N-GFS,G127,1 Timothy 2,27,18
σωφροσύνης,self-control,N-GFS,G4997,1 Timothy 2,28,18
πλέγμασιν,braided hair,N-DNP,G4117,1 Timothy 2,29,18
μαργαρίταις,pearls,N-DMP,G3135,1 Timothy 2,30,18
θεοσέβειαν,the fear of God,N-AFS,G2317,1 Timothy 2,31,18
αὐθεντεῖν,to use authority over,V-PNA,G831,1 Timothy 2,32,18
ἐπλάσθη,was formed,V-AIP-3S,G4111,1 Timothy 2,33,18
Εὕα,Eve,N-NFS,G2096,1 Timothy 2,34,18
