Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,2 Corinthians 1,1,19
ἀπόστολος,apostle,N-NMS,G652,2 Corinthians 1,2,19
Χριστοῦ,of Christ,N-GMS,G5547,2 Corinthians 1,3,19
Ἰησοῦ,Jesus,N-GMS,G2424,2 Corinthians 1,4,19
διὰ,by,Prep,G1223,2 Corinthians 1,5,19
θελήματος,the will,N-GNS,G2307,2 Corinthians 1,6,19
Θεοῦ,of God,N-GMS,G2316,2 Corinthians 1,7,19
καὶ,and,Conj,G2532,2 Corinthians 1,8,19
Τιμόθεος,Timothy,N-NMS,G5095,2 Corinthians 1,9,19
ὁ,the,Art-NMS,G3588,2 Corinthians 1,10,19
ἀδελφὸς,brother,N-NMS,G80,2 Corinthians 1,11,19
ἐκκλησίᾳ,church,N-DFS,G1577,2 Corinthians 1,12,19
οὔσῃ,being,V-PPA-DFS,G1510,2 Corinthians 1,13,19
ἐν,in,Prep,G1722,2 Corinthians 1,14,19
Κορίνθῳ,Corinth,N-DFS,G2882,2 Corinthians 1,15,19
σὺν,with,Prep,G4862,2 Corinthians 1,16,19
ἁγίοις,saints,Adj-DMP,G40,2 Corinthians 1,17,19
πᾶσιν,all,Adj-DMP,G3956,2 Corinthians 1,18,19
ὅλῃ,all,Adj-DFS,G3650,2 Corinthians 1,19,19
Ἀχαΐᾳ,Achaia,N-DFS,G882,2 Corinthians 1,20,19
Χάρις,Grace,N-NFS,G5485,2 Corinthians 1,21,19
ὑμῖν,to you,PPro-D2P,G4771,2 Corinthians 1,22,19
εἰρήνη,peace,N-NFS,G1515,2 Corinthians 1,23,19
ἀπὸ,from,Prep,G575,2 Corinthians 1,24,19
Πατρὸς,the Father,N-GMS,G3962,2 Corinthians 1,25,19
ἡμῶν,of us,PPro-G1P,G1473,2 Corinthians 1,26,19
Κυρίου,the Lord,N-GMS,G2962,2 Corinthians 1,27,19
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,2 Corinthians 1,28,19
οἰκτιρμῶν,of compassions,N-GMP,G3628,2 Corinthians 1,29,19
παρακλήσεως,comfort,N-GFS,G3874,2 Corinthians 1,30,19
παρακαλῶν,comforting,V-PPA-NMS,G3870,2 Corinthians 1,31,19
ἐπὶ,in,Prep,G1909,2 Corinthians 1,32,19
θλίψει,tribulation,N-DFS,G2347,2 Corinthians 1,33,19
εἰς,for,Prep,G1519,2 Corinthians 1,34,19
δύνασθαι,to be able,V-PNM/P,G1410,2 Corinthians 1,35,19
ἧς,with which,RelPro-GFS,G3739,2 Corinthians 1,36,19
αὐτοὶ,ourselves,PPro-NM3P,G846,2 Corinthians 1,37,19
ὑπὸ,by,Prep,G5259,2 Corinthians 1,38,19
ὅτι,because,Conj,G3754,2 Corinthians 1,39,19
καθὼς,as,Adv,G2531,2 Corinthians 1,40,19
περισσεύει,abound,V-PIA-3S,G4052,2 Corinthians 1,41,19
παθήματα,sufferings,N-NNP,G3804,2 Corinthians 1,42,19
οὕτως,thus so,Adv,G3779,2 Corinthians 1,43,19
Εἴτε,If,Conj,G1535,2 Corinthians 1,44,19
δὲ,however,Conj,G1161,2 Corinthians 1,45,19
θλιβόμεθα,we are constricted,V-PIM/P-1P,G2346,2 Corinthians 1,46,19
ὑπὲρ,it is for,Prep,G5228,2 Corinthians 1,47,19
σωτηρίας,salvation,N-GFS,G4991,2 Corinthians 1,48,19
ἐνεργουμένης,operating,V-PPM-GFS,G1754,2 Corinthians 1,49,19
ὑπομονῇ,the endurance,N-DFS,G5281,2 Corinthians 1,50,19
πάσχομεν,suffer,V-PIA-1P,G3958,2 Corinthians 1,51,19
ἐλπὶς,hope,N-NFS,G1680,2 Corinthians 1,52,19
βεβαία,is steadfast,Adj-NFS,G949,2 Corinthians 1,53,19
εἰδότες,knowing,V-RPA-NMP,G1492,2 Corinthians 1,54,19
ὡς,as,Adv,G5613,2 Corinthians 1,55,19
κοινωνοί,partners,N-NMP,G2844,2 Corinthians 1,56,19
Οὐ,Not,Adv,G3756,2 Corinthians 1,57,19
γὰρ,for,Conj,G1063,2 Corinthians 1,58,19
θέλομεν,do we want,V-PIA-1P,G2309,2 Corinthians 1,59,19
ἀγνοεῖν,to be ignorant,V-PNA,G50,2 Corinthians 1,60,19
γενομένης,having happened,V-APM-GFS,G1096,2 Corinthians 1,61,19
Ἀσίᾳ,Asia,N-DFS,G773,2 Corinthians 1,62,19
καθ,against,Prep,G2596,2 Corinthians 1,63,19
ὑπερβολὴν,excessively,N-AFS,G5236,2 Corinthians 1,64,19
δύναμιν,power,N-AFS,G1411,2 Corinthians 1,65,19
ἐβαρήθημεν,we were weighed,V-AIP-1P,G916,2 Corinthians 1,66,19
ὥστε,so as,Conj,G5620,2 Corinthians 1,67,19
ἐξαπορηθῆναι,to despair,V-ANP,G1820,2 Corinthians 1,68,19
ζῆν,to live,V-PNA,G2198,2 Corinthians 1,69,19
ἀλλὰ,But,Conj,G235,2 Corinthians 1,70,19
ἑαυτοῖς,ourselves,RefPro-DM3P,G1438,2 Corinthians 1,71,19
ἀπόκριμα,sentence,N-ANS,G610,2 Corinthians 1,72,19
θανάτου,of death,N-GMS,G2288,2 Corinthians 1,73,19
ἐσχήκαμεν,had,V-RIA-1P,G2192,2 Corinthians 1,74,19
ἵνα,in order that,Conj,G2443,2 Corinthians 1,75,19
μὴ,not,Adv,G3361,2 Corinthians 1,76,19
πεποιθότες,trusting,V-RPA-NMP,G3982,2 Corinthians 1,77,19
ἐγείροντι,raising,V-PPA-DMS,G1453,2 Corinthians 1,78,19
νεκρούς,dead,Adj-AMP,G3498,2 Corinthians 1,79,19
ἐκ,from,Prep,G1537,2 Corinthians 1,80,19
τηλικούτου,such a great,DPro-GMS,G5082,2 Corinthians 1,81,19
ἐρρύσατο,has delivered,V-AIM-3S,G4506,2 Corinthians 1,82,19
ἠλπίκαμεν,we have hope,V-RIA-1P,G1679,2 Corinthians 1,83,19
ἔτι,still,Adv,G2089,2 Corinthians 1,84,19
συνυπουργούντων,joining together,V-PPA-GMP,G4943,2 Corinthians 1,85,19
δεήσει,supplication,N-DFS,G1162,2 Corinthians 1,86,19
πολλῶν,many,Adj-GNP,G4183,2 Corinthians 1,87,19
προσώπων,persons,N-GNP,G4383,2 Corinthians 1,88,19
χάρισμα,grace bestowed,N-NNS,G5486,2 Corinthians 1,89,19
εὐχαριστηθῇ,thanks may be given,V-ASP-3S,G2168,2 Corinthians 1,90,19
καύχησις,the boasting,N-NFS,G2746,2 Corinthians 1,91,19
αὕτη,this,DPro-NFS,G3778,2 Corinthians 1,92,19
μαρτύριον,testimony,N-NNS,G3142,2 Corinthians 1,93,19
συνειδήσεως,conscience,N-GFS,G4893,2 Corinthians 1,94,19
ἁγιότητι,the holiness,N-DFS,G572,2 Corinthians 1,95,19
εἰλικρινείᾳ,sincerity,N-DFS,G1505,2 Corinthians 1,96,19
σοφίᾳ,wisdom,N-DFS,G4678,2 Corinthians 1,97,19
σαρκικῇ,fleshly,Adj-DFS,G4559,2 Corinthians 1,98,19
ἀνεστράφημεν,we have conducted ourselves,V-AIP-1P,G390,2 Corinthians 1,99,19
κόσμῳ,world,N-DMS,G2889,2 Corinthians 1,100,19
περισσοτέρως,more abundantly,Adv,G4057,2 Corinthians 1,101,19
πρὸς,toward,Prep,G4314,2 Corinthians 1,102,19
ἄλλα,other things,Adj-ANP,G243,2 Corinthians 1,103,19
γράφομεν,we write,V-PIA-1P,G1125,2 Corinthians 1,104,19
ἢ,than,Conj,G2228,2 Corinthians 1,105,19
ἀναγινώσκετε,you read,V-PIA-2P,G314,2 Corinthians 1,106,19
ἐπιγινώσκετε,understand,V-PIA-2P,G1921,2 Corinthians 1,107,19
ἕως,to the,Prep,G2193,2 Corinthians 1,108,19
τέλους,end,N-GNS,G5056,2 Corinthians 1,109,19
μέρους,part,N-GNS,G3313,2 Corinthians 1,110,19
καύχημα,boasting,N-NNS,G2745,2 Corinthians 1,111,19
καθάπερ,even as,Adv,G2509,2 Corinthians 1,112,19
ἡμέρᾳ,day,N-DFS,G2250,2 Corinthians 1,113,19
