Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,1 Corinthians 1,1,20
κλητὸς,a called,Adj-NMS,G2822,1 Corinthians 1,2,20
ἀπόστολος,apostle,N-NMS,G652,1 Corinthians 1,3,20
Χριστοῦ,of Christ,N-GMS,G5547,1 Corinthians 1,4,20
Ἰησοῦ,Jesus,N-GMS,G2424,1 Corinthians 1,5,20
διὰ,by the,Prep,G1223,1 Corinthians 1,6,20
θελήματος,will,N-GNS,G2307,1 Corinthians 1,7,20
Θεοῦ,of God,N-GMS,G2316,1 Corinthians 1,8,20
καὶ,and,Conj,G2532,1 Corinthians 1,9,20
Σωσθένης,Sosthenes,N-NMS,G4988,1 Corinthians 1,10,20
ὁ,the,Art-NMS,G3588,1 Corinthians 1,11,20
ἀδελφὸς,brother,N-NMS,G80,1 Corinthians 1,12,20
Τῇ,To the,Art-DFS,G3588,1 Corinthians 1,13,20
ἐκκλησίᾳ,church,N-DFS,G1577,1 Corinthians 1,14,20
τοῦ,-,Art-GMS,G3588,1 Corinthians 1,15,20
τῇ,-,Art-DFS,G3588,1 Corinthians 1,16,20
οὔσῃ,being,V-PPA-DFS,G1510,1 Corinthians 1,17,20
ἐν,in,Prep,G1722,1 Corinthians 1,18,20
Κορίνθῳ» ,Corinth,N-DFS,G2882,1 Corinthians 1,19,20
ἡγιασμένοις,having been sanctified,V-RPM/P-DMP,G37,1 Corinthians 1,20,20
Χριστῷ,Christ,N-DMS,G5547,1 Corinthians 1,21,20
Ἰησοῦ,Jesus,N-DMS,G2424,1 Corinthians 1,22,20
κλητοῖς,called,Adj-DMP,G2822,1 Corinthians 1,23,20
ἁγίοις,holy,Adj-DMP,G40,1 Corinthians 1,24,20
σὺν,together with,Prep,G4862,1 Corinthians 1,25,20
πᾶσιν,all,Adj-DMP,G3956,1 Corinthians 1,26,20
τοῖς,those,Art-DMP,G3588,1 Corinthians 1,27,20
ἐπικαλουμένοις,calling on,V-PPM-DMP,G1941,1 Corinthians 1,28,20
τὸ,the,Art-ANS,G3588,1 Corinthians 1,29,20
ὄνομα,name,N-ANS,G3686,1 Corinthians 1,30,20
Κυρίου,Lord,N-GMS,G2962,1 Corinthians 1,31,20
ἡμῶν,of us,PPro-G1P,G1473,1 Corinthians 1,32,20
παντὶ,every,Adj-DMS,G3956,1 Corinthians 1,33,20
τόπῳ,place,N-DMS,G5117,1 Corinthians 1,34,20
αὐτῶν,both theirs,PPro-GM3P,G846,1 Corinthians 1,35,20
Χάρις,Grace,N-NFS,G5485,1 Corinthians 1,36,20
ὑμῖν,to you,PPro-D2P,G4771,1 Corinthians 1,37,20
εἰρήνη,peace,N-NFS,G1515,1 Corinthians 1,38,20
ἀπὸ,from,Prep,G575,1 Corinthians 1,39,20
Πατρὸς,Father,N-GMS,G3962,1 Corinthians 1,40,20
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,1 Corinthians 1,41,20
τῷ,the,Art-DMS,G3588,1 Corinthians 1,42,20
Θεῷ,God,N-DMS,G2316,1 Corinthians 1,43,20
μου,of me,PPro-G1S,G1473,1 Corinthians 1,44,20
πάντοτε,always,Adv,G3842,1 Corinthians 1,45,20
περὶ,concerning,Prep,G4012,1 Corinthians 1,46,20
ὑμῶν,you,PPro-G2P,G4771,1 Corinthians 1,47,20
ἐπὶ,for,Prep,G1909,1 Corinthians 1,48,20
τῇ,the,Art-DFS,G3588,1 Corinthians 1,49,20
χάριτι,grace,N-DFS,G5485,1 Corinthians 1,50,20
δοθείσῃ,having been given,V-APP-DFS,G1325,1 Corinthians 1,51,20
Ἰησοῦ,Jesus,N-DMS,G2424,1 Corinthians 1,52,20
ὅτι,that,Conj,G3754,1 Corinthians 1,53,20
παντὶ,everything,Adj-DNS,G3956,1 Corinthians 1,54,20
ἐπλουτίσθητε,you have been enriched,V-AIP-2P,G4148,1 Corinthians 1,55,20
αὐτῷ,Him,PPro-DM3S,G846,1 Corinthians 1,56,20
λόγῳ,speech,N-DMS,G3056,1 Corinthians 1,57,20
πάσῃ,all,Adj-DFS,G3956,1 Corinthians 1,58,20
γνώσει,knowledge,N-DFS,G1108,1 Corinthians 1,59,20
καθὼς,as,Adv,G2531,1 Corinthians 1,60,20
τὸ,the,Art-NNS,G3588,1 Corinthians 1,61,20
μαρτύριον,testimony,N-NNS,G3142,1 Corinthians 1,62,20
ἐβεβαιώθη,was confirmed,V-AIP-3S,G950,1 Corinthians 1,63,20
ὥστε,so as for,Conj,G5620,1 Corinthians 1,64,20
ὑμᾶς,you,PPro-A2P,G4771,1 Corinthians 1,65,20
μὴ,not,Adv,G3361,1 Corinthians 1,66,20
ὑστερεῖσθαι,to be lacking,V-PNM/P,G5302,1 Corinthians 1,67,20
μηδενὶ,not one,Adj-DNS,G3367,1 Corinthians 1,68,20
χαρίσματι,gift,N-DNP,G5486,1 Corinthians 1,69,20
