Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Σωσθένης,Sosthenes,N-NMS,G4988,1 Corinthians 1,1,20
σχίσματα,divisions,N-NNP,G4978,1 Corinthians 1,2,20
Χλόης,of Chloe,N-GFS,G5514,1 Corinthians 1,3,20
Κρίσπον,Crispus,N-AMS,G2921,1 Corinthians 1,4,20
Στεφανᾶ,of Stephanas,N-GMS,G4734,1 Corinthians 1,5,20
μωρία,foolishness,N-NFS,G3472,1 Corinthians 1,6,20
συζητητὴς,debater,N-NMS,G4804,1 Corinthians 1,7,20
ἀγενῆ,low-born,Adj-ANP,G36,1 Corinthians 1,8,20
πειθοῖς,persuasive,Adj-DMP,G3981,1 Corinthians 2,9,20
ἀποδείξει,demonstration,N-DFS,G585,1 Corinthians 2,10,20
διδακτοῖς,taught,Adj-DMP,G1318,1 Corinthians 2,11,20
πνευματικῶς,spiritually,Adv,G4153,1 Corinthians 2,12,20
γεώργιον,field,N-NNS,G1091,1 Corinthians 3,13,20
ἀρχιτέκτων,master builder,N-NMS,G753,1 Corinthians 3,14,20
καλάμην,straw,N-AFS,G2562,1 Corinthians 3,15,20
δρασσόμενος,catching,V-PPM/P-NMS,G1405,1 Corinthians 3,16,20
σύνοιδα,I am conscious of,V-RIA-1S,G4894,1 Corinthians 4,17,20
κεκορεσμένοι,satiated,V-RPM/P-NMP,G2880,1 Corinthians 4,18,20
ἐπιθανατίους,appointed to death,Adj-AMP,G1935,1 Corinthians 4,19,20
θέατρον,a spectacle,N-NNS,G2302,1 Corinthians 4,20,20
ἄτιμοι,without honor,Adj-NMP,G820,1 Corinthians 4,21,20
διψῶμεν,thirst,V-PIA-1P,G1372,1 Corinthians 4,22,20
γυμνιτεύομεν,are poorly clad,V-PIA-1P,G1130,1 Corinthians 4,23,20
ἀστατοῦμεν,wander homeless,V-PIA-1P,G790,1 Corinthians 4,24,20
περικαθάρματα,the scum,N-NNP,G4027,1 Corinthians 4,25,20
περίψημα,refuse,N-NNS,G4067,1 Corinthians 4,26,20
μυρίους,ten thousand,Adj-AMP,G3463,1 Corinthians 4,27,20
Ὅλως,Actually,Adv,G3654,1 Corinthians 5,28,20
ἑορτάζωμεν,we might celebrate the feast,V-PSA-1P,G1858,1 Corinthians 5,29,20
λοίδορος,verbal abuser,N-NMS,G3060,1 Corinthians 5,30,20
μέθυσος,a drunkard,N-NMS,G3183,1 Corinthians 5,31,20
Ἐξάρατε,Expel,V-AMA-2P,G1808,1 Corinthians 5,32,20
ἀνάξιοί,unworthy,Adj-NMP,G370,1 Corinthians 6,33,20
μήτιγε,How much more,Adv,G3386,1 Corinthians 6,34,20
ἐντροπὴν,shame,N-AFS,G1791,1 Corinthians 6,35,20
ἥττημα,a defeat,N-NNS,G2275,1 Corinthians 6,36,20
ἀπελούσασθε,you were washed,V-AIM-2P,G628,1 Corinthians 6,37,20
ἐξεγερεῖ,will raise out,V-FIA-3S,G1825,1 Corinthians 6,38,20
ἁμάρτημα,sin,N-NNS,G265,1 Corinthians 6,39,20
πορνεύων,sinning sexually,V-PPA-NMS,G4203,1 Corinthians 6,40,20
ὀφειλὴν,duty,N-AFS,G3782,1 Corinthians 7,41,20
συμφώνου,mutual agreement,Adj-GNS,G4859,1 Corinthians 7,42,20
ἀκρασίαν,lack of self-control,N-AFS,G192,1 Corinthians 7,43,20
συνγνώμην,concession,N-AFS,G4774,1 Corinthians 7,44,20
ἀγάμοις,unmarried,N-DMP,G22,1 Corinthians 7,45,20
ἐγκρατεύονται,they have self-control,V-PIM/P-3P,G1467,1 Corinthians 7,46,20
ἐπισπάσθω,let him be uncircumcised,V-PMM/P-3S,G1986,1 Corinthians 7,47,20
τήρησις,keeping,N-NFS,G5084,1 Corinthians 7,48,20
ἀπελεύθερος,a freedman,N-NMS,G558,1 Corinthians 7,49,20
λύσιν,to be loosed,N-AFS,G3080,1 Corinthians 7,50,20
συνεσταλμένος,shortened,V-RPM/P-NMS,G4958,1 Corinthians 7,51,20
καταχρώμενοι,using it as their own,V-PPM/P-NMP,G2710,1 Corinthians 7,52,20
ἀμερίμνους,without concern,Adj-AMP,G275,1 Corinthians 7,53,20
βρόχον,a restraint,N-AMS,G1029,1 Corinthians 7,54,20
εὔσχημον,is seemly,Adj-ANS,G2158,1 Corinthians 7,55,20
εὐπάρεδρον,devoted,Adj-ANS,G2145,1 Corinthians 7,56,20
ἀπερισπάστως,without distraction,Adv,G563,1 Corinthians 7,57,20
ἀσχημονεῖν,to be behaving improperly,V-PNA,G807,1 Corinthians 7,58,20
ὑπέρακμος,beyond youth,Adj-NFS,G5230,1 Corinthians 7,59,20
εἰδωλοθύτων,sacrificed to idols,Adj-GNP,G1494,1 Corinthians 8,60,20
συνηθείᾳ,by habit,N-DFS,G4914,1 Corinthians 8,61,20
μολύνεται,it is defiled,V-PIM/P-3S,G3435,1 Corinthians 8,62,20
εἰδωλείῳ,an idol’s temple,N-DNS,G1493,1 Corinthians 8,63,20
Διόπερ,Therefore,Conj,G1355,1 Corinthians 8,64,20
κρέα,meat,N-ANP,G2907,1 Corinthians 8,65,20
περιάγειν,to take about,V-PNA,G4013,1 Corinthians 9,66,20
μετέχειν,to partake,V-PNA,G3348,1 Corinthians 9,67,20
ἐνκοπὴν,hindrance,N-AFS,G1464,1 Corinthians 9,68,20
παρεδρεύοντες,attending,V-PPA-NMP,G4332,1 Corinthians 9,69,20
συμμερίζονται,partake,V-PIM/P-3P,G4829,1 Corinthians 9,70,20
ἑκὼν,willingly,Adj-NMS,G1635,1 Corinthians 9,71,20
ἄκων,unwillingly,Adj-NMS,G210,1 Corinthians 9,72,20
ἀδάπανον,free of charge,Adj-ANS,G77,1 Corinthians 9,73,20
ἔννομος,under the law,Adj-NMS,G1772,1 Corinthians 9,74,20
ἀδήλως,uncertainly,Adv,G84,1 Corinthians 9,75,20
πυκτεύω,I fight,V-PIA-1S,G4438,1 Corinthians 9,76,20
δουλαγωγῶ,bring it into servitude,V-PIA-1S,G1396,1 Corinthians 9,77,20
πόμα,drink,N-ANS,G4188,1 Corinthians 10,78,20
κατεστρώθησαν,they were strewn,V-AIP-3P,G2693,1 Corinthians 10,79,20
ἐπιθυμητὰς,desirers,N-AMP,G1938,1 Corinthians 10,80,20
παίζειν,to play,V-PNA,G3815,1 Corinthians 10,81,20
ὀλοθρευτοῦ,Destroyer,N-GMS,G3644,1 Corinthians 10,82,20
ἔκβασιν,escape,N-AFS,G1545,1 Corinthians 10,83,20
παραζηλοῦμεν,do we provoke to jealousy,V-PIA-1P,G3863,1 Corinthians 10,84,20
μακέλλῳ,the meat market,N-DNS,G3111,1 Corinthians 10,85,20
ἀκατακαλύπτῳ,uncovered,Adj-DFS,G177,1 Corinthians 11,86,20
ἐξυρημένῃ,with having been shaven,V-RPM/P-DFS,G3587,1 Corinthians 11,87,20
κατακαλύπτεται,covers her head,V-PIM/P-3S,G2619,1 Corinthians 11,88,20
κειράσθω,let her be shorn,V-AMM-3S,G2751,1 Corinthians 11,89,20
κομᾷ,he has long hair,V-PSA-3S,G2863,1 Corinthians 11,90,20
κόμη,long hair,N-NFS,G2864,1 Corinthians 11,91,20
περιβολαίου,of a covering,N-GNS,G4018,1 Corinthians 11,92,20
φιλόνεικος,contentious,Adj-NMS,G5380,1 Corinthians 11,93,20
κυριακὸν,the Lord’s,Adj-ANS,G2960,1 Corinthians 11,94,20
ὁσάκις,as often as,Conj,G3740,1 Corinthians 11,95,20
ἀναξίως,unworthily,Adv,G371,1 Corinthians 11,96,20
ἄρρωστοι,sick,Adj-NMP,G732,1 Corinthians 11,97,20
Διαιρέσεις,Varieties,N-NFP,G1243,1 Corinthians 12,98,20
ἐνεργημάτων,of workings,N-GNP,G1755,1 Corinthians 12,99,20
ἰαμάτων,of healing,N-GNP,G2386,1 Corinthians 12,100,20
διακρίσεις,distinguishing,N-NFP,G1253,1 Corinthians 12,101,20
ἑρμηνεία,interpretation,N-NFS,G2058,1 Corinthians 12,102,20
ὄσφρησις,sense of smell,N-NFS,G3750,1 Corinthians 12,103,20
περιτίθεμεν,we bestow,V-PIA-1P,G4060,1 Corinthians 12,104,20
ἀσχήμονα,unpresentable parts,Adj-NNP,G809,1 Corinthians 12,105,20
εὐσχημοσύνην,decorum,N-AFS,G2157,1 Corinthians 12,106,20
συνεκέρασεν,has composed,V-AIA-3S,G4786,1 Corinthians 12,107,20
συμπάσχει,suffer with it,V-PIA-3S,G4841,1 Corinthians 12,108,20
ἀντιλήμψεις,helping,N-AFP,G484,1 Corinthians 12,109,20
κυβερνήσεις,administrating,N-AFP,G2941,1 Corinthians 12,110,20
χαλκὸς,a brass,N-NMS,G5475,1 Corinthians 13,111,20
ἠχῶν,sounding,V-PPA-NMS,G2278,1 Corinthians 13,112,20
κύμβαλον,a cymbal,N-NNS,G2950,1 Corinthians 13,113,20
ἀλαλάζον,clanging,V-PPA-NNS,G214,1 Corinthians 13,114,20
ψωμίσω,I may give away,V-ASA-1S,G5595,1 Corinthians 13,115,20
χρηστεύεται,is kind,V-PIM/P-3S,G5541,1 Corinthians 13,116,20
περπερεύεται,is boastful,V-PIM/P-3S,G4068,1 Corinthians 13,117,20
παροξύνεται,is easily provoked,V-PIM/P-3S,G3947,1 Corinthians 13,118,20
αἰνίγματι,obscurity,N-DNS,G135,1 Corinthians 13,119,20
παραμυθίαν,consolation,N-AFS,G3889,1 Corinthians 14,120,20
ἄψυχα,lifeless things,Adj-NNP,G895,1 Corinthians 14,121,20
αὐλὸς,flute,N-NMS,G836,1 Corinthians 14,122,20
κιθάρα,harp,N-NFS,G2788,1 Corinthians 14,123,20
διαστολὴν,distinction,N-AFS,G1293,1 Corinthians 14,124,20
φθόγγοις,sounds,N-DMP,G5353,1 Corinthians 14,125,20
κιθαριζόμενον,being harped,V-PPM/P-NNS,G2789,1 Corinthians 14,126,20
εὔσημον,intelligible,Adj-AMS,G2154,1 Corinthians 14,127,20
φρεσίν,minds,N-DFP,G5424,1 Corinthians 14,128,20
