Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἐν,In the,Prep,G1722,John 1,1,22
ἀρχῇ,beginning,N-DFS,G746,John 1,2,22
ἦν,was,V-IIA-3S,G1510,John 1,3,22
ὁ,the,Art-NMS,G3588,John 1,4,22
Λόγος,Word,N-NMS,G3056,John 1,5,22
καὶ,and,Conj,G2532,John 1,6,22
πρὸς,with,Prep,G4314,John 1,7,22
τὸν,-,Art-AMS,G3588,John 1,8,22
Θεόν,God,N-AMS,G2316,John 1,9,22
Θεὸς,God,N-NMS,G2316,John 1,10,22
Οὗτος,He,DPro-NMS,G3778,John 1,11,22
ἐν,in the,Prep,G1722,John 1,12,22
πάντα,All things,Adj-NNP,G3956,John 1,13,22
δι,through,Prep,G1223,John 1,14,22
αὐτοῦ,Him,PPro-GM3S,G846,John 1,15,22
ἐγένετο,came into being,V-AIM-3S,G1096,John 1,16,22
χωρὶς,without,Prep,G5565,John 1,17,22
οὐδὲ,not even,Adv,G3761,John 1,18,22
ἕν,one thing,Adj-NNS,G1520,John 1,19,22
ὃ,that,RelPro-NNS,G3739,John 1,20,22
γέγονεν,has come into being,V-RIA-3S,G1096,John 1,21,22
αὐτῷ,Him,PPro-DM3S,G846,John 1,22,22
ζωὴ,life,N-NFS,G2222,John 1,23,22
ἡ,the,Art-NFS,G3588,John 1,24,22
τὸ,the,Art-NNS,G3588,John 1,25,22
φῶς,light,N-NNS,G5457,John 1,26,22
τῶν,-,Art-GMP,G3588,John 1,27,22
ἀνθρώπων,of men,N-GMP,G444,John 1,28,22
τῇ,the,Art-DFS,G3588,John 1,29,22
σκοτίᾳ,darkness,N-DFS,G4653,John 1,30,22
φαίνει,shines,V-PIA-3S,G5316,John 1,31,22
σκοτία,darkness,N-NFS,G4653,John 1,32,22
αὐτὸ,it,PPro-AN3S,G846,John 1,33,22
οὐ,not,Adv,G3756,John 1,34,22
κατέλαβεν,overcame,V-AIA-3S,G2638,John 1,35,22
Ἐγένετο,There came,V-AIM-3S,G1096,John 1,36,22
ἄνθρωπος,a man,N-NMS,G444,John 1,37,22
ἀπεσταλμένος,having been sent,V-RPM/P-NMS,G649,John 1,38,22
παρὰ,from,Prep,G3844,John 1,39,22
Θεοῦ,God,N-GMS,G2316,John 1,40,22
ὄνομα,the name,N-NNS,G3686,John 1,41,22
Ἰωάννης,was John,N-NMS,G2491,John 1,42,22
οὗτος,He,DPro-NMS,G3778,John 1,43,22
ἦλθεν,came,V-AIA-3S,G2064,John 1,44,22
εἰς,as,Prep,G1519,John 1,45,22
μαρτυρίαν,a witness,N-AFS,G3141,John 1,46,22
ἵνα,that,Conj,G2443,John 1,47,22
μαρτυρήσῃ,he might testify,V-ASA-3S,G3140,John 1,48,22
περὶ,concerning,Prep,G4012,John 1,49,22
τοῦ,the,Art-GNS,G3588,John 1,50,22
φωτός,Light,N-GNS,G5457,John 1,51,22
πάντες,all,Adj-NMP,G3956,John 1,52,22
πιστεύσωσιν,might believe,V-ASA-3P,G4100,John 1,53,22
οὐκ,Not,Adv,G3756,John 1,54,22
ἐκεῖνος,He,DPro-NMS,G1565,John 1,55,22
ἀλλ,but,Conj,G235,John 1,56,22
Ἦν,Was,V-IIA-3S,G1510,John 1,57,22
ἀληθινὸν,TRUE,Adj-NNS,G228,John 1,58,22
φωτίζει,enlightens,V-PIA-3S,G5461,John 1,59,22
πάντα,every,Adj-AMS,G3956,John 1,60,22
ἄνθρωπον,man,N-AMS,G444,John 1,61,22
ἐρχόμενον,coming,V-PPM/P-AMS,G2064,John 1,62,22
κόσμον,world,N-AMS,G2889,John 1,63,22
τῷ,the,Art-DMS,G3588,John 1,64,22
κόσμῳ,world,N-DMS,G2889,John 1,65,22
κόσμος,world,N-NMS,G2889,John 1,66,22
αὐτὸν,Him,PPro-AM3S,G846,John 1,67,22
ἔγνω,knew,V-AIA-3S,G1097,John 1,68,22
τὰ,the,Art-ANP,G3588,John 1,69,22
ἴδια,own,Adj-ANP,G2398,John 1,70,22
οἱ,the,Art-NMP,G3588,John 1,71,22
ἴδιοι,own,Adj-NMP,G2398,John 1,72,22
παρέλαβον,received,V-AIA-3P,G3880,John 1,73,22
ὅσοι,As many as,RelPro-NMP,G3745,John 1,74,22
δὲ,however,Conj,G1161,John 1,75,22
ἔλαβον,received,V-AIA-3P,G2983,John 1,76,22
αὐτόν,Him,PPro-AM3S,G846,John 1,77,22
ἔδωκεν,He gave,V-AIA-3S,G1325,John 1,78,22
αὐτοῖς,to them,PPro-DM3P,G846,John 1,79,22
ἐξουσίαν,authority,N-AFS,G1849,John 1,80,22
τέκνα,children,N-ANP,G5043,John 1,81,22
γενέσθαι,to be,V-ANM,G1096,John 1,82,22
τοῖς,to those,Art-DMP,G3588,John 1,83,22
πιστεύουσιν,believing,V-PPA-DMP,G4100,John 1,84,22
τὸ,the,Art-ANS,G3588,John 1,85,22
ὄνομα,name,N-ANS,G3686,John 1,86,22
οἳ,who,RelPro-NMP,G3739,John 1,87,22
ἐξ,of,Prep,G1537,John 1,88,22
αἱμάτων,blood,N-GNP,G129,John 1,89,22
οὐδὲ,nor,Conj,G3761,John 1,90,22
ἐκ,of,Prep,G1537,John 1,91,22
θελήματος,will,N-GNS,G2307,John 1,92,22
σαρκὸς,of flesh,N-GFS,G4561,John 1,93,22
ἀνδρὸς,of man,N-GMS,G435,John 1,94,22
ἐγεννήθησαν,were born,V-AIP-3P,G1080,John 1,95,22
