Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐσκήνωσεν,dwelt,V-AIA-3S,G4637,John 1,1,22
ἐπαύριον,next day,Adv,G1887,John 1,2,22
Ῥαββί,Rabbi,N-VMS,G4461,John 1,3,22
μεθερμηνευόμενον,being translated,V-PPM/P-NNS,G3177,John 1,4,22
δεκάτη,the tenth,Adj-NFS,G1182,John 1,5,22
Μεσσίαν,Messiah,N-AMS,G3323,John 1,6,22
ἑρμηνεύεται,means,V-PIM/P-3S,G2059,John 1,7,22
Ναθαναὴλ,Nathanael,N-AMS,G3482,John 1,8,22
Κανὰ,Cana,N-DFS,G2580,John 2,9,22
ὑδρίαι,water jars,N-NFP,G5201,John 2,10,22
μετρητὰς,metretae,N-AMP,G3355,John 2,11,22
Ἀντλήσατε,Draw out,V-AMA-2P,G501,John 2,12,22
ἀρχιτρικλίνῳ,master of the feast,N-DMS,G755,John 2,13,22
κερματιστὰς,money changers,N-AMP,G2773,John 2,14,22
φραγέλλιον,a whip,N-ANS,G5416,John 2,15,22
σχοινίων,cords,N-GNP,G4979,John 2,16,22
κολλυβιστῶν,money changers,N-GMP,G2855,John 2,17,22
κέρματα,coins,N-ANP,G2772,John 2,18,22
ἐμπορίου,of trade,N-GNS,G1712,John 2,19,22
Νικόδημος,Nicodemus,N-NMS,G3530,John 3,20,22
γέρων,old,N-NMS,G1088,John 3,21,22
διέτριβεν,He was staying,V-IIA-3S,G1304,John 3,22,22
Αἰνὼν,Aenon,N-DFS,G137,John 3,23,22
Σαλείμ,Salim,N-GNS,G4530,John 3,24,22
ἐλαττοῦσθαι,to decrease,V-PNM/P,G1642,John 3,25,22
καίτοιγε,although indeed,Conj,G2544,John 4,26,22
Συχὰρ,Sychar,N-AFS,G4965,John 4,27,22
χωρίου,plot of ground,N-GNS,G5564,John 4,28,22
Σαμαρῖτις,Samaritan,N-NFS,G4542,John 4,29,22
συνχρῶνται,have association,V-PIM/P-3P,G4798,John 4,30,22
