Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἄλφα,Alpha,N-NNS,G1,Revelation 1,1,23
Ὦ,Omega,N-NNS,G5598,Revelation 1,2,23
νήσῳ,island,N-DFS,G3520,Revelation 1,3,23
Πάτμῳ,Patmos,N-DFS,G3963,Revelation 1,4,23
Σμύρναν,Smyrna,N-AFS,G4667,Revelation 1,5,23
Πέργαμον,Pergamum,N-AFS,G4010,Revelation 1,6,23
Θυάτειρα,Thyatira,N-ANP,G2363,Revelation 1,7,23
Σάρδεις,Sardis,N-AFP,G4554,Revelation 1,8,23
Φιλαδέλφειαν,Philadelphia,N-AFS,G5359,Revelation 1,9,23
ποδήρη,to the feet,Adj-AMS,G4158,Revelation 1,10,23
ζώνην,with a sash,N-AFS,G2223,Revelation 1,11,23
ἔριον,wool,N-NNS,G2053,Revelation 1,12,23
χιών,snow,N-NFS,G5510,Revelation 1,13,23
χαλκολιβάνῳ,fine bronze,N-DNS,G5474,Revelation 1,14,23
καμίνῳ,a furnace,N-DFS,G2575,Revelation 1,15,23
δίστομος,two-edged,Adj-NFS,G1366,Revelation 1,16,23
ψευδεῖς,FALSE,Adj-AMP,G5571,Revelation 2,17,23
κινήσω,I will remove,V-FIA-1S,G2795,Revelation 2,18,23
Νικολαϊτῶν,Nicolaitans,N-GMP,G3531,Revelation 2,19,23
Ἀντιπᾶς,of Antipas,N-NMS,G493,Revelation 2,20,23
Βαλὰκ,Balak,N-DMS,G904,Revelation 2,21,23
ψῆφον,stone,N-AFS,G5586,Revelation 2,22,23
Ἰεζάβελ,Jezebel,N-AFS,G2403,Revelation 2,23,23
νεφροὺς,affections,N-AMP,G3510,Revelation 2,24,23
σιδηρᾷ,of iron,Adj-DFS,G4603,Revelation 2,25,23
κεραμικὰ,potter,Adj-NNP,G2764,Revelation 2,26,23
πρωϊνόν,morning,Adj-AMS,G4407,Revelation 2,27,23
ψυχρὸς,cold,Adj-NMS,G5593,Revelation 3,28,23
ζεστός,hot,Adj-NMS,G2200,Revelation 3,29,23
χλιαρὸς,lukewarm,Adj-NMS,G5513,Revelation 3,30,23
ἐμέσαι,to spit,V-ANA,G1692,Revelation 3,31,23
κολλούριον,eye-salve,N-ANS,G2854,Revelation 3,32,23
ἐγχρῖσαι,to anoint,V-ANA,G1472,Revelation 3,33,23
ὁράσει,in appearance,N-DFS,G3706,Revelation 4,34,23
ἰάσπιδι,jasper,N-DFS,G2393,Revelation 4,35,23
σαρδίῳ,sardius,N-DNS,G4556,Revelation 4,36,23
ἶρις,a rainbow,N-NFS,G2463,Revelation 4,37,23
κυκλόθεν,was around,Prep,G2943,Revelation 4,38,23
σμαραγδίνῳ,an emerald,Adj-DMS,G4664,Revelation 4,39,23
ὑαλίνη,of glass,Adj-NFS,G5193,Revelation 4,40,23
κρυστάλλῳ,crystal,N-DMS,G2930,Revelation 4,41,23
τέταρτον,fourth,Adj-NNS,G5067,Revelation 4,42,23
πετομένῳ,flying,V-PPM/P-DMS,G4072,Revelation 4,43,23
κατεσφραγισμένον,having been sealed,V-RPM/P-ANS,G2696,Revelation 5,44,23
φιάλας,bowls,N-AFP,G5357,Revelation 5,45,23
τόξον,a bow,N-ANS,G5115,Revelation 6,46,23
πυρρός,bright red,Adj-NMS,G4450,Revelation 6,47,23
μέλας,black,Adj-NMS,G3189,Revelation 6,48,23
