Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
δερματίνην,of leather,Adj-AFS,G1193,Mark 1,1,24
ἐθαμβήθησαν,were astonished,V-AIP-3P,G2284,Mark 1,2,24
πυρέσσουσα,fevering,V-PPA-NFS,G4445,Mark 1,3,24
ἔννυχα,in night,Adv,G1773,Mark 1,4,24
κατεδίωξεν,went after,V-AIA-3S,G2614,Mark 1,5,24
κωμοπόλεις,towns,N-AFP,G2969,Mark 1,6,24
γονυπετῶν,kneeling down to Him,V-PPA-NMS,G1120,Mark 1,7,24
διαφημίζειν,to spread abroad,V-PNA,G1310,Mark 1,8,24
παραλυτικὸν,a paralytic,Adj-AMS,G3885,Mark 2,9,24
ἀπεστέγασαν,they removed,V-AIA-3P,G648,Mark 2,10,24
ῥάκους,of cloth,N-GNS,G4470,Mark 2,11,24
ἀγνάφου,unshrunk,Adj-GNS,G46,Mark 2,12,24
ἐπιράπτει,sews,V-PIA-3S,G1976,Mark 2,13,24
παραπορεύεσθαι,is passing,V-PNM/P,G3899,Mark 2,14,24
Ἀβιαθὰρ,Abiathar,N-GMS,G8,Mark 2,15,24
συλλυπούμενος,being grieved,V-PPM/P-NMS,G4818,Mark 3,16,24
Ἡρῳδιανῶν,Herodians,N-GMP,G2265,Mark 3,17,24
συμβούλιον,counsel,N-ANS,G4824,Mark 3,18,24
Ἰδουμαίας,Idumea,N-GFS,G2401,Mark 3,19,24
Βοανηργές,Boanerges,N-AMP,G993,Mark 3,20,24
Θαδδαῖον,Thaddaeus,N-AMS,G2280,Mark 3,21,24
Καναναῖον,Zealot,N-AMS,G2581,Mark 3,22,24
διαρπάσαι,to plunder,V-ANA,G1283,Mark 3,23,24
πετρῶδες,rocky place,Adj-ANS,G4075,Mark 4,24,24
ἐξανέτειλεν,it sprang up,V-AIA-3S,G1816,Mark 4,25,24
μηκύνηται,grow,V-PSM/P-3S,G3373,Mark 4,26,24
αὐτομάτη,Of itself,Adj-NFS,G844,Mark 4,27,24
ἐπέλυεν,He would explain,V-IIA-3S,G1956,Mark 4,28,24
πρύμνῃ,stern,N-DFS,G4403,Mark 4,29,24
προσκεφάλαιον,cushion,N-ANS,G4344,Mark 4,30,24
ἐκόπασεν,abated,V-AIA-3S,G2869,Mark 4,31,24
κατοίκησιν,dwelling,N-AFS,G2731,Mark 5,32,24
διεσπάσθαι,had been torn in two,V-RNM/P,G1288,Mark 5,33,24
κατακόπτων,cutting,V-PPA-NMS,G2629,Mark 5,34,24
δισχίλιοι,two thousand,Adj-NMP,G1367,Mark 5,35,24
ἐπνίγοντο,they were drowned,V-IIM/P-3P,G4155,Mark 5,36,24
ὁρίων,region,N-GNP,G3725,Mark 5,37,24
Δεκαπόλει,Decapolis,N-DFS,G1179,Mark 5,38,24
θυγάτριόν,little daughter,N-NNS,G2365,Mark 5,39,24
ἐσχάτως,at the end,Adv,G2079,Mark 5,40,24
συνέθλιβον,pressing in on,V-IIA-3P,G4918,Mark 5,41,24
παρακούσας,having heard,V-APA-NMS,G3878,Mark 5,42,24
θόρυβον,a commotion,N-AMS,G2351,Mark 5,43,24
Ταλιθὰ,Talitha,N-VFS,G5008,Mark 5,44,24
κούμ,koum,V-AMA-2S,G2891,Mark 5,45,24
Κοράσιον,Little girl,N-VNS,G2877,Mark 5,46,24
διεστείλατο,He instructed,V-AIM-3S,G1291,Mark 5,47,24
τέκτων,carpenter,N-NMS,G5045,Mark 6,48,24
Ἰωσῆτος,Joseph,N-GMS,G2500,Mark 6,49,24
σανδάλια,sandals,N-ANP,G4547,Mark 6,50,24
ἐκτινάξατε,shake off,V-AMA-2P,G1621,Mark 6,51,24
εὐκαίρου,opportune,Adj-GFS,G2121,Mark 6,52,24
γενεσίοις,birthday,N-DNP,G1077,Mark 6,53,24
σπεκουλάτορα,an executioner,N-AMS,G4688,Mark 6,54,24
πεζῇ,on foot,Adv,G3979,Mark 6,55,24
συμπόσια,groups,N-ANP,G4849,Mark 6,56,24
