Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,1,25
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,2,25
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,3,25
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,4,25
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,5,25
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,6,25
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,7,25
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,8,25
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,9,25
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,10,25
Ὀζίαν,Uzziah,N-AMS,G3604,Matthew 1,11,25
Ἰωαθάμ,Jotham,N-AMS,G2488,Matthew 1,12,25
Ἄχαζ,Ahaz,N-AMS,G881,Matthew 1,13,25
Ἑζεκίαν,Hezekiah,N-AMS,G1478,Matthew 1,14,25
Ἰωσίαν,Josiah,N-AMS,G2502,Matthew 1,15,25
Ἰεχονίαν,Jeconiah,N-AMS,G2423,Matthew 1,16,25
μετοικεσίας,carrying away,N-GFS,G3350,Matthew 1,17,25
Ἀβιούδ,Abiud,N-AMS,G10,Matthew 1,18,25
Ἀζώρ,Azor,N-AMS,G107,Matthew 1,19,25
Σαδώκ,Zadok,N-AMS,G4524,Matthew 1,20,25
Ἀχίμ,Achim,N-AMS,G885,Matthew 1,21,25
Ἐλιούδ,Eliud,N-AMS,G1664,Matthew 1,22,25
Ἐλεάζαρ,Eleazar,N-AMS,G1648,Matthew 1,23,25
Ματθάν,Matthan,N-AMS,G3157,Matthew 1,24,25
ἐνθυμηθέντος,having pondered,V-APP-GMS,G1760,Matthew 1,25,25
ὄναρ,a dream,N-ANS,G3677,Matthew 1,26,25
Ἐμμανουήλ,Immanuel,N-AMS,G1694,Matthew 1,27,25
μάγοι,Magi,N-NMP,G3097,Matthew 2,28,25
οὐδαμῶς,by no means,Adv,G3760,Matthew 2,29,25
ἠκρίβωσεν,inquired exactly,V-AIA-3S,G198,Matthew 2,30,25
τελευτῆς,death,N-GFS,G5054,Matthew 2,31,25
ἐθυμώθη,was enraged,V-AIP-3S,G2373,Matthew 2,32,25
διετοῦς,two years old,Adj-GMS,G1332,Matthew 2,33,25
Ἰερεμίου,Jeremiah,N-GMS,G2408,Matthew 2,34,25
Ῥαμὰ,Ramah,N-DFS,G4471,Matthew 2,35,25
Ῥαχὴλ,Rachel,N-NFS,G4478,Matthew 2,36,25
Ἀρχέλαος,Archelaus,N-NMS,G745,Matthew 2,37,25
διεκώλυεν,was hindering,V-IIA-3S,G1254,Matthew 3,38,25
παραθαλασσίαν,is on the sea-side,Adj-AFS,G3864,Matthew 4,39,25
ἀμφίβληστρον,a net,N-ANS,G293,Matthew 4,40,25
μαλακίαν,sickness,N-AFS,G3119,Matthew 4,41,25
σεληνιαζομένους,being epileptics,V-PPM/P-AMP,G4583,Matthew 4,42,25
ἐλεήμονες,merciful,Adj-NMP,G1655,Matthew 5,43,25
εἰρηνοποιοί,peacemakers,Adj-NMP,G1518,Matthew 5,44,25
ἰῶτα,iota,N-NNS,G2503,Matthew 5,45,25
Ῥακά,Raca,N-VMS,G4469,Matthew 5,46,25
διαλλάγηθι,be reconciled,V-AMP-2S,G1259,Matthew 5,47,25
εὐνοῶν,agreeing,V-PPA-NMS,G2132,Matthew 5,48,25
ἐπιορκήσεις,shall you swear falsely,V-FIA-2S,G1964,Matthew 5,49,25
ῥαπίζει,shall strike,V-PIA-3S,G4474,Matthew 5,50,25
μίλιον,mile,N-ANS,G3400,Matthew 5,51,25
βατταλογήσητε,do use vain repetitions,V-ASA-2P,G945,Matthew 6,52,25
πολυλογίᾳ,many words,N-DFS,G4180,Matthew 6,53,25
καταμάθετε,Observe,V-AMA-2P,G2648,Matthew 6,54,25
πλατεῖα,wide is,Adj-NFS,G4116,Matthew 7,55,25
εὐρύχωρος,broad,Adj-NFS,G2149,Matthew 7,56,25
τριβόλων,thistles,N-GMP,G5146,Matthew 7,57,25
βροχὴ,rain,N-NFS,G1028,Matthew 7,58,25
ἐξώτερον,outer,Adj-ANS-C,G1857,Matthew 8,59,25
Γαδαρηνῶν,Gadarenes,Adj-GMP,G1046,Matthew 8,60,25
δαίμονες,the demons,N-NMP,G1142,Matthew 8,61,25
ἐνθυμήσεις,thoughts,N-AFP,G1761,Matthew 9,62,25
αἱμορροοῦσα,having had a flux of blood,V-PPA-NFS,G131,Matthew 9,63,25
οἰκιακοὺς,house members,N-AMP,G3615,Matthew 10,64,25
διχάσαι,to set at variance,V-ANA,G1369,Matthew 10,65,25
δεσμωτηρίῳ,prison,N-DNS,G1201,Matthew 11,66,25
βιασταὶ,violent,N-NMP,G973,Matthew 11,67,25
βεβηλοῦσιν,profane,V-PIA-3P,G953,Matthew 12,68,25
ἀναίτιοί,guiltless,Adj-NMP,G338,Matthew 12,69,25
ᾑρέτισα,I have chosen,V-AIA-1S,G140,Matthew 12,70,25
ἐρίσει,will He quarrel,V-FIA-3S,G2051,Matthew 12,71,25
τυφόμενον,smoldering,V-PPM/P-ANS,G5188,Matthew 12,72,25
κήτους,great fish,N-GNS,G2785,Matthew 12,73,25
Ἐπαχύνθη,Has grown dull,V-AIP-3S,G3975,Matthew 13,74,25
βαρέως,barely,Adv,G917,Matthew 13,75,25
ἐκάμμυσαν,they have closed,V-AIA-3P,G2576,Matthew 13,76,25
ζιζάνια,weeds,N-ANP,G2215,Matthew 13,77,25
συναυξάνεσθαι,to grow together,V-PNM/P,G4885,Matthew 13,78,25
θερισταῖς,harvesters,N-DMP,G2327,Matthew 13,79,25
δέσμας,bundles,N-AFP,G1197,Matthew 13,80,25
ἐνέκρυψεν,hid,V-AIA-3S,G1470,Matthew 13,81,25
ἐρεύξομαι,I will utter,V-FIM-1S,G2044,Matthew 13,82,25
Διασάφησον,Explain,V-AMA-2S,G1285,Matthew 13,83,25
συντέλεια,the consummation,N-NFS,G4930,Matthew 13,84,25
ἐκλάμψουσιν,will shine forth,V-FIA-3P,G1584,Matthew 13,85,25
σαγήνῃ,a dragnet,N-DFS,G4522,Matthew 13,86,25
ἀναβιβάσαντες,having drawn up,V-APA-NMP,G307,Matthew 13,87,25
ἄγγη,vessels,N-ANP,G30,Matthew 13,88,25
μαθητευθεὶς,having been discipled,V-APP-NMS,G3100,Matthew 13,89,25
μετῆρεν,He withdrew,V-AIA-3S,G3332,Matthew 13,90,25
προβιβασθεῖσα,having been urged on,V-APP-NFS,G4264,Matthew 14,91,25
καταποντίζεσθαι,to sink,V-PNM/P,G2670,Matthew 14,92,25
ἐδίστασας,did you doubt,V-AIA-2S,G1365,Matthew 14,93,25
παραβαίνουσιν,break,V-PIA-3P,G3845,Matthew 15,94,25
φυτεία,plant,N-NFS,G5451,Matthew 15,95,25
Φράσον,Explain,V-AMA-2S,G5419,Matthew 15,96,25
Ἀκμὴν,Still,Adv,G188,Matthew 15,97,25
ψευδομαρτυρίαι,false testimonies,N-NFP,G5577,Matthew 15,98,25
Χαναναία,Canaanite,Adj-NFS,G5478,Matthew 15,99,25
Μαγαδάν,of Magadan,N-GFS,G3093,Matthew 15,100,25
Εὐδία,Fair weather,N-NFS,G2105,Matthew 16,101,25
πυρράζει,is red,V-PIA-3S,G4449,Matthew 16,102,25
Βαριωνᾶ,Barjona,N-VMS,G920,Matthew 16,103,25
Ἵλεώς,Far be it,Adj-NMS,G2436,Matthew 16,104,25
ὅραμα,vision,N-ANS,G3705,Matthew 17,105,25
Συστρεφομένων,Were abiding,V-PPM/P-GMP,G4962,Matthew 17,106,25
δίδραχμα,didrachmas,N-ANP,G1323,Matthew 17,107,25
προέφθασεν,anticipated,V-AIA-3S,G4399,Matthew 17,108,25
ἄγκιστρον,a hook,N-ANS,G44,Matthew 17,109,25
στατῆρα,a four-drachma coin,N-AMS,G4715,Matthew 17,110,25
πελάγει,depth,N-DNS,G3989,Matthew 18,111,25
ἑβδομηκοντάκις,seventy times,Adv,G1441,Matthew 18,112,25
συνᾶραι,to settle,V-ANA,G4868,Matthew 18,113,25
ταλάντων,talents,N-GNP,G5007,Matthew 18,114,25
δάνειον,debt,N-ANS,G1156,Matthew 18,115,25
βασανισταῖς,jailers,N-DMP,G930,Matthew 18,116,25
εὐνοῦχοι,eunuchs,N-NMP,G2135,Matthew 19,117,25
εὐνουχίσθησαν,were made eunuchs,V-AIP-3P,G2134,Matthew 19,118,25
μισθώσασθαι,to hire,V-ANM,G3409,Matthew 20,119,25
Ἑταῖρε,Friend,N-VMS,G2083,Matthew 20,120,25
ἐπιβεβηκὼς,mounted,V-RPA-NMS,G1910,Matthew 21,121,25
συνέταξεν,commanded,V-AIA-3S,G4929,Matthew 21,122,25
ἐπεκάθισεν,He sat,V-AIA-3S,G1940,Matthew 21,123,25
θαυμάσια,wonders,Adj-ANP,G2297,Matthew 21,124,25
ταῦροί,oxen,N-NMP,G5022,Matthew 22,125,25
σιτιστὰ,fatlings,Adj-NNP,G4619,Matthew 22,126,25
ἐμπορίαν,business,N-AFS,G1711,Matthew 22,127,25
ἐνέπρησεν,he burned,V-AIA-3S,G1714,Matthew 22,128,25
διεξόδους,thoroughfares,N-AFP,G1327,Matthew 22,129,25
παγιδεύσωσιν,they might trap,V-ASA-3P,G3802,Matthew 22,130,25
νόμισμα,coin,N-ANS,G3546,Matthew 22,131,25
ἐπιγαμβρεύσει,will marry,V-FIA-3S,G1918,Matthew 22,132,25
φυλακτήρια,phylacteries,N-ANP,G5440,Matthew 23,133,25
καθηγηταί,instructors,N-NMP,G2519,Matthew 23,134,25
προσήλυτον,convert,N-AMS,G4339,Matthew 23,135,25
ἄνηθον,dill,N-ANS,G432,Matthew 23,136,25
κύμινον,cumin,N-ANS,G2951,Matthew 23,137,25
διϋλίζοντες,straining out,V-PPA-VMP,G1368,Matthew 23,138,25
κώνωπα,gnat,N-AMS,G2971,Matthew 23,139,25
παροψίδος,dish,N-GFS,G3953,Matthew 23,140,25
παρομοιάζετε,you are like,V-PIA-2P,G3945,Matthew 23,141,25
