Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Βίβλος,The book,N-NFS,G976,Matthew 1,1,25
γενέσεως,of the genealogy,N-GFS,G1078,Matthew 1,2,25
Ἰησοῦ,of Jesus,N-GMS,G2424,Matthew 1,3,25
Χριστοῦ,Christ,N-GMS,G5547,Matthew 1,4,25
υἱοῦ,son,N-GMS,G5207,Matthew 1,5,25
Δαυὶδ,of David,N-GMS,G1138,Matthew 1,6,25
Ἀβραάμ,of Abraham,N-GMS,G11,Matthew 1,7,25
ἐγέννησεν,begat,V-AIA-3S,G1080,Matthew 1,8,25
τὸν,-,Art-AMS,G3588,Matthew 1,9,25
Ἰσαάκ,Isaac,N-AMS,G2464,Matthew 1,10,25
δὲ,then,Conj,G1161,Matthew 1,11,25
Ἰακώβ,Jacob,N-AMS,G2384,Matthew 1,12,25
Ἰούδαν,Judah,N-AMS,G2455,Matthew 1,13,25
καὶ,and,Conj,G2532,Matthew 1,14,25
ἀδελφοὺς,brothers,N-AMP,G80,Matthew 1,15,25
αὐτοῦ,of him,PPro-GM3S,G846,Matthew 1,16,25
Φαρὲς,Perez,N-AMS,G5329,Matthew 1,17,25
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,18,25
ἐκ,out of,Prep,G1537,Matthew 1,19,25
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,20,25
Ἑσρώμ,Hezron,N-AMS,G2074,Matthew 1,21,25
Ἀράμ,Ram,N-AMS,G689,Matthew 1,22,25
Ἀμιναδάβ,Amminadab,N-AMS,G284,Matthew 1,23,25
Ναασσών,Nahshon,N-AMS,G3476,Matthew 1,24,25
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,25,25
Βόες,Boaz,N-AMS,G1003,Matthew 1,26,25
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,27,25
Ἰωβὴδ,Obed,N-AMS,G5601,Matthew 1,28,25
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,29,25
Ἰεσσαί,Jesse,N-AMS,G2421,Matthew 1,30,25
βασιλέα,king,N-AMS,G935,Matthew 1,31,25
Σολομῶνα,Solomon,N-AMS,G4672,Matthew 1,32,25
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,33,25
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,34,25
Ἀβιά,Abijah,N-AMS,G7,Matthew 1,35,25
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,36,25
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,37,25
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,38,25
Ὀζίαν,Uzziah,N-AMS,G3604,Matthew 1,39,25
Ἰωαθάμ,Jotham,N-AMS,G2488,Matthew 1,40,25
Ἄχαζ,Ahaz,N-AMS,G881,Matthew 1,41,25
Ἑζεκίαν,Hezekiah,N-AMS,G1478,Matthew 1,42,25
Μανασσῆ,Manasseh,N-AMS,G3128,Matthew 1,43,25
Ἀμώς,Amos,N-AMS,G301,Matthew 1,44,25
Ἰωσίαν,Josiah,N-AMS,G2502,Matthew 1,45,25
Ἰεχονίαν,Jeconiah,N-AMS,G2423,Matthew 1,46,25
ἐπὶ,at the time,Prep,G1909,Matthew 1,47,25
μετοικεσίας,carrying away,N-GFS,G3350,Matthew 1,48,25
Βαβυλῶνος,to Babylon,N-GFS,G897,Matthew 1,49,25
Μετὰ,After,Prep,G3326,Matthew 1,50,25
Σαλαθιήλ,Shealtiel,N-AMS,G4528,Matthew 1,51,25
Ζοροβαβέλ,Zerubbabel,N-AMS,G2216,Matthew 1,52,25
Ἀβιούδ,Abiud,N-AMS,G10,Matthew 1,53,25
Ἐλιακίμ,Eliakim,N-AMS,G1662,Matthew 1,54,25
Ἀζώρ,Azor,N-AMS,G107,Matthew 1,55,25
Σαδώκ,Zadok,N-AMS,G4524,Matthew 1,56,25
Ἀχίμ,Achim,N-AMS,G885,Matthew 1,57,25
Ἐλιούδ,Eliud,N-AMS,G1664,Matthew 1,58,25
Ἐλεάζαρ,Eleazar,N-AMS,G1648,Matthew 1,59,25
Ματθάν,Matthan,N-AMS,G3157,Matthew 1,60,25
Ἰωσὴφ,Joseph,N-AMS,G2501,Matthew 1,61,25
ἄνδρα,husband,N-AMS,G435,Matthew 1,62,25
Μαρίας,of Mary,N-GFS,G3137,Matthew 1,63,25
ἧς,whom,RelPro-GFS,G3739,Matthew 1,64,25
λεγόμενος,being called,V-PPM/P-NMS,G3004,Matthew 1,65,25
Πᾶσαι,All,Adj-NFP,G3956,Matthew 1,66,25
οὖν,therefore,Conj,G3767,Matthew 1,67,25
γενεαὶ,generations,N-NFP,G1074,Matthew 1,68,25
ἀπὸ,from,Prep,G575,Matthew 1,69,25
ἕως,to,Prep,G2193,Matthew 1,70,25
δεκατέσσαρες,fourteen,Adj-NFP,G1180,Matthew 1,71,25
οὕτως,thus,Adv,G3779,Matthew 1,72,25
ἦν,came about,V-IIA-3S,G1510,Matthew 1,73,25
μνηστευθείσης,Having been pledged,V-APP-GFS,G3423,Matthew 1,74,25
μητρὸς,mother,N-GFS,G3384,Matthew 1,75,25
πρὶν,before,Adv,G4250,Matthew 1,76,25
ἢ,rather,Conj,G2228,Matthew 1,77,25
συνελθεῖν,coming together,V-ANA,G4905,Matthew 1,78,25
εὑρέθη,she was found,V-AIP-3S,G2147,Matthew 1,79,25
ἐν,in,Prep,G1722,Matthew 1,80,25
γαστρὶ,womb,N-DFS,G1064,Matthew 1,81,25
ἔχουσα,having a child,V-PPA-NFS,G2192,Matthew 1,82,25
πνεύματος,the Spirit,N-GNS,G4151,Matthew 1,83,25
ἁγίου,Holy,Adj-GNS,G40,Matthew 1,84,25
δίκαιος,righteous,Adj-NMS,G1342,Matthew 1,85,25
μὴ,not,Adv,G3361,Matthew 1,86,25
θέλων,willing,V-PPA-NMS,G2309,Matthew 1,87,25
δειγματίσαι,to expose publicly,V-ANA,G1165,Matthew 1,88,25
ἐβουλήθη,purposed,V-AIP-3S,G1014,Matthew 1,89,25
λάθρᾳ,secretly,Adv,G2977,Matthew 1,90,25
ἀπολῦσαι,to send away,V-ANA,G630,Matthew 1,91,25
Ταῦτα,These things,DPro-ANP,G3778,Matthew 1,92,25
ἐνθυμηθέντος,having pondered,V-APP-GMS,G1760,Matthew 1,93,25
ἰδοὺ,behold,V-AMA-2S,G2400,Matthew 1,94,25
ἄγγελος,an angel,N-NMS,G32,Matthew 1,95,25
Κυρίου,of the Lord,N-GMS,G2962,Matthew 1,96,25
κατ,in,Prep,G2596,Matthew 1,97,25
ὄναρ,a dream,N-ANS,G3677,Matthew 1,98,25
ἐφάνη,appeared,V-AIP-3S,G5316,Matthew 1,99,25
φοβηθῇς,you should fear,V-ASP-2S,G5399,Matthew 1,100,25
παραλαβεῖν,to receive,V-ANA,G3880,Matthew 1,101,25
γυναῖκά,wife,N-AFS,G1135,Matthew 1,102,25
σου,of you,PPro-G2S,G4771,Matthew 1,103,25
γὰρ,for,Conj,G1063,Matthew 1,104,25
τέξεται,She will bear,V-FIM-3S,G5088,Matthew 1,105,25
καλέσεις,you will call,V-FIA-2S,G2564,Matthew 1,106,25
ὄνομα,name,N-ANS,G3686,Matthew 1,107,25
σώσει,will save,V-FIA-3S,G4982,Matthew 1,108,25
λαὸν,people,N-AMS,G2992,Matthew 1,109,25
ἁμαρτιῶν,sins,N-GFP,G266,Matthew 1,110,25
ὅλον,all,Adj-NNS,G3650,Matthew 1,111,25
γέγονεν,has come to pass,V-RIA-3S,G1096,Matthew 1,112,25
ἵνα,that,Conj,G2443,Matthew 1,113,25
πληρωθῇ,may be fulfilled,V-ASP-3S,G4137,Matthew 1,114,25
ῥηθὲν,having been spoken,V-APP-NNS,G2046,Matthew 1,115,25
ὑπὸ,by,Prep,G5259,Matthew 1,116,25
διὰ,through,Prep,G1223,Matthew 1,117,25
προφήτου,prophet,N-GMS,G4396,Matthew 1,118,25
παρθένος,virgin,N-NFS,G3933,Matthew 1,119,25
Ἐμμανουήλ,Immanuel,N-AMS,G1694,Matthew 1,120,25
μεθερμηνευόμενον,being translated,V-PPM/P-NNS,G3177,Matthew 1,121,25
ἡμῶν,us,PPro-G1P,G1473,Matthew 1,122,25
Θεός,God,N-NMS,G2316,Matthew 1,123,25
Ἐγερθεὶς,Having been awoken,V-APP-NMS,G1453,Matthew 1,124,25
ὕπνου,sleep,N-GMS,G5258,Matthew 1,125,25
ἐποίησεν,he did,V-AIA-3S,G4160,Matthew 1,126,25
ὡς,as,Adv,G5613,Matthew 1,127,25
προσέταξεν,had commanded,V-AIA-3S,G4367,Matthew 1,128,25
οὐκ,not,Adv,G3756,Matthew 1,129,25
ἐγίνωσκεν,knew,V-IIA-3S,G1097,Matthew 1,130,25
Βηθλέεμ,Bethlehem,N-DFS,G965,Matthew 2,131,25
Ἰουδαίας,of Judea,N-GFS,G2449,Matthew 2,132,25
ἡμέραις,the days,N-DFP,G2250,Matthew 2,133,25
Ἡρῴδου,of Herod,N-GMS,G2264,Matthew 2,134,25
μάγοι,Magi,N-NMP,G3097,Matthew 2,135,25
ἀνατολῶν,east,N-GFP,G395,Matthew 2,136,25
παρεγένοντο,arrived,V-AIM-3P,G3854,Matthew 2,137,25
εἰς,in,Prep,G1519,Matthew 2,138,25
Ἱεροσόλυμα,Jerusalem,N-ANP,G2414,Matthew 2,139,25
Ποῦ,Where,Adv,G4226,Matthew 2,140,25
Ἰουδαίων,Jews,Adj-GMP,G2453,Matthew 2,141,25
εἴδομεν,We saw,V-AIA-1P,G3708,Matthew 2,142,25
