Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1,26
καὶ,and,Conj,G2532,Hebrews 1,2,26
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,3,26
πάλαι,long ago,Adv,G3819,Hebrews 1,4,26
ὁ,-,Art-NMS,G3588,Hebrews 1,5,26
Θεὸς,God,N-NMS,G2316,Hebrews 1,6,26
λαλήσας,having spoken,V-APA-NMS,G2980,Hebrews 1,7,26
τοῖς,to the,Art-DMP,G3588,Hebrews 1,8,26
πατράσιν,fathers,N-DMP,G3962,Hebrews 1,9,26
ἐν,in,Prep,G1722,Hebrews 1,10,26
προφήταις,prophets,N-DMP,G4396,Hebrews 1,11,26
ἐπ,in,Prep,G1909,Hebrews 1,12,26
ἐσχάτου,last,Adj-GNS,G2078,Hebrews 1,13,26
τῶν,-,Art-GFP,G3588,Hebrews 1,14,26
ἡμερῶν,days,N-GFP,G2250,Hebrews 1,15,26
τούτων,these,DPro-GFP,G3778,Hebrews 1,16,26
ἐλάλησεν,has spoken,V-AIA-3S,G2980,Hebrews 1,17,26
ἡμῖν,to us,PPro-D1P,G1473,Hebrews 1,18,26
Υἱῷ,His Son,N-DMS,G5207,Hebrews 1,19,26
ὃν,whom,RelPro-AMS,G3739,Hebrews 1,20,26
ἔθηκεν,He appointed,V-AIA-3S,G5087,Hebrews 1,21,26
κληρονόμον,heir,N-AMS,G2818,Hebrews 1,22,26
πάντων,of all things,Adj-GNP,G3956,Hebrews 1,23,26
δι,through,Prep,G1223,Hebrews 1,24,26
οὗ,whom,RelPro-GMS,G3739,Hebrews 1,25,26
ἐποίησεν,He made,V-AIA-3S,G4160,Hebrews 1,26,26
τοὺς,the,Art-AMP,G3588,Hebrews 1,27,26
αἰῶνας,ages,N-AMP,G165,Hebrews 1,28,26
ὃς,who,RelPro-NMS,G3739,Hebrews 1,29,26
ὢν,being,V-PPA-NMS,G1510,Hebrews 1,30,26
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,31,26
τῆς,of His,Art-GFS,G3588,Hebrews 1,32,26
δόξης,glory,N-GFS,G1391,Hebrews 1,33,26
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,34,26
ὑποστάσεως,substance,N-GFS,G5287,Hebrews 1,35,26
αὐτοῦ,of Him,PPro-GM3S,G846,Hebrews 1,36,26
φέρων,upholding,V-PPA-NMS,G5342,Hebrews 1,37,26
τε,then,Conj,G5037,Hebrews 1,38,26
τὰ,-,Art-ANP,G3588,Hebrews 1,39,26
πάντα,all things,Adj-ANP,G3956,Hebrews 1,40,26
τῷ,by the,Art-DNS,G3588,Hebrews 1,41,26
ῥήματι,word,N-DNS,G4487,Hebrews 1,42,26
δυνάμεως,power,N-GFS,G1411,Hebrews 1,43,26
δι,through,Prep,G1223,Hebrews 1,44,26
καθαρισμὸν,the purification,N-AMS,G2512,Hebrews 1,45,26
ἁμαρτιῶν,of sins,N-GFP,G266,Hebrews 1,46,26
ποιησάμενος,having made,V-APM-NMS,G4160,Hebrews 1,47,26
ἐκάθισεν,sat down,V-AIA-3S,G2523,Hebrews 1,48,26
δεξιᾷ,the right hand,Adj-DFS,G1188,Hebrews 1,49,26
Μεγαλωσύνης,Majesty,N-GFS,G3172,Hebrews 1,50,26
ὑψηλοῖς,high,Adj-DMP,G5308,Hebrews 1,51,26
τοσούτῳ,By so much,DPro-DNS,G5118,Hebrews 1,52,26
κρείττων,superior,Adj-NMS-C,G2909,Hebrews 1,53,26
γενόμενος,having become,V-APM-NMS,G1096,Hebrews 1,54,26
τῶν,to the,Art-GMP,G3588,Hebrews 1,55,26
ἀγγέλων,angels,N-GMP,G32,Hebrews 1,56,26
ὅσῳ,as much as,RelPro-DNS,G3745,Hebrews 1,57,26
διαφορώτερον,more excellent,Adj-ANS-C,G1313,Hebrews 1,58,26
παρ,beyond,Prep,G3844,Hebrews 1,59,26
αὐτοὺς,theirs,PPro-AM3P,G846,Hebrews 1,60,26
κεκληρονόμηκεν,He has inherited,V-RIA-3S,G2816,Hebrews 1,61,26
ὄνομα,a name,N-ANS,G3686,Hebrews 1,62,26
Τίνι,To which,IPro-DMS,G5101,Hebrews 1,63,26
γὰρ,for,Conj,G1063,Hebrews 1,64,26
εἶπέν,did He say,V-AIA-3S,G2036,Hebrews 1,65,26
ποτε,ever,Prtcl,G4218,Hebrews 1,66,26
Υἱός,Son,N-NMS,G5207,Hebrews 1,67,26
μου,of me,PPro-G1S,G1473,Hebrews 1,68,26
εἶ,are,V-PIA-2S,G1510,Hebrews 1,69,26
σύ,You,PPro-N2S,G4771,Hebrews 1,70,26
ἐγὼ,I,PPro-N1S,G1473,Hebrews 1,71,26
σήμερον,today,Adv,G4594,Hebrews 1,72,26
γεγέννηκά,have begotten,V-RIA-1S,G1080,Hebrews 1,73,26
σε,You,PPro-A2S,G4771,Hebrews 1,74,26
Καὶ,And,Conj,G2532,Hebrews 1,75,26
πάλιν,again,Adv,G3825,Hebrews 1,76,26
Ἐγὼ,I,PPro-N1S,G1473,Hebrews 1,77,26
ἔσομαι,will be,V-FIM-1S,G1510,Hebrews 1,78,26
αὐτῷ,to Him,PPro-DM3S,G846,Hebrews 1,79,26
εἰς,for,Prep,G1519,Hebrews 1,80,26
Πατέρα,a Father,N-AMS,G3962,Hebrews 1,81,26
αὐτὸς,He,PPro-NM3S,G846,Hebrews 1,82,26
ἔσται,will be,V-FIM-3S,G1510,Hebrews 1,83,26
μοι,to Me,PPro-D1S,G1473,Hebrews 1,84,26
Υἱόν,a Son,N-AMS,G5207,Hebrews 1,85,26
Ὅταν,When,Conj,G3752,Hebrews 1,86,26
