Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1,26
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,2,26
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,3,26
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,4,26
εὐθύτητος,righteousness is,N-GFS,G2118,Hebrews 1,5,26
λειτουργικὰ,ministering,Adj-NNP,G3010,Hebrews 1,6,26
παραρυῶμεν,we should drift away,V-ASA-1P,G3901,Hebrews 2,7,26
μισθαποδοσίαν,recompense,N-AFS,G3405,Hebrews 2,8,26
συνεπιμαρτυροῦντος,bearing witness,V-PPA-GMS,G4901,Hebrews 2,9,26
μερισμοῖς,distributions,N-DMP,G3311,Hebrews 2,10,26
θέλησιν,will,N-AFS,G2308,Hebrews 2,11,26
ἀρχηγὸν,archetype,N-AMS,G747,Hebrews 2,12,26
παραπλησίως,likewise,Adv,G3898,Hebrews 2,13,26
θεράπων,a servant,N-NMS,G2324,Hebrews 3,14,26
παραπικρασμῷ,rebellion,N-DMS,G3894,Hebrews 3,15,26
προσώχθισα,I was angry,V-AIA-1S,G4360,Hebrews 3,16,26
κατάπαυσίν,rest,N-AFS,G2663,Hebrews 3,17,26
παρεπίκραναν,rebelled,V-AIA-3P,G3893,Hebrews 3,18,26
κῶλα,bodies,N-NNP,G2966,Hebrews 3,19,26
Καίτοι,And yet,Conj,G2543,Hebrews 4,20,26
κατέπαυσεν,rested,V-AIA-3S,G2664,Hebrews 4,21,26
σαββατισμὸς,a Sabbath rest,N-NMS,G4520,Hebrews 4,22,26
τομώτερος,sharper,Adj-NMS-C,G5114,Hebrews 4,23,26
διϊκνούμενος,penetrating,V-PPM/P-NMS,G1338,Hebrews 4,24,26
ἁρμῶν,of joints,N-GMP,G719,Hebrews 4,25,26
μυελῶν,marrows,N-GMP,G3452,Hebrews 4,26,26
κριτικὸς,able to judge,Adj-NMS,G2924,Hebrews 4,27,26
ἀφανὴς,hidden,Adj-NFS,G852,Hebrews 4,28,26
τετραχηλισμένα,laid bare,V-RPM/P-NNP,G5136,Hebrews 4,29,26
συμπαθῆσαι,to sympathize,V-ANA,G4834,Hebrews 4,30,26
ὁμοιότητα,the same way,N-AFS,G3665,Hebrews 4,31,26
βοήθειαν,help,N-AFS,G996,Hebrews 4,32,26
μετριοπαθεῖν,to exercise forbearance,V-PNA,G3356,Hebrews 5,33,26
Μελχισέδεκ,of Melchizedek,N-GMS,G3198,Hebrews 5,34,26
ἱκετηρίας,supplications,N-AFP,G2428,Hebrews 5,35,26
εὐλαβείας,reverence,N-GFS,G2124,Hebrews 5,36,26
προσαγορευθεὶς,having been designated,V-APP-NMS,G4316,Hebrews 5,37,26
δυσερμήνευτος,difficult in interpretation,Adj-NMS,G1421,Hebrews 5,38,26
νωθροὶ,sluggish,Adj-NMP,G3576,Hebrews 5,39,26
ἄπειρος,is inexperienced,Adj-NMS,G552,Hebrews 5,40,26
ἕξιν,constant use,N-AFS,G1838,Hebrews 5,41,26
αἰσθητήρια,senses,N-ANP,G145,Hebrews 5,42,26
παραπεσόντας,having fallen away,V-APA-AMP,G3895,Hebrews 6,43,26
ἀνακαινίζειν,to restore them,V-PNA,G340,Hebrews 6,44,26
ἀνασταυροῦντας,crucifying,V-PPA-AMP,G388,Hebrews 6,45,26
παραδειγματίζοντας,subjecting Him to open shame,V-PPA-AMP,G3856,Hebrews 6,46,26
βοτάνην,vegetation,N-AFS,G1008,Hebrews 6,47,26
γεωργεῖται,it is tilled,V-PIM/P-3S,G1090,Hebrews 6,48,26
καῦσιν,burning,N-AFS,G2740,Hebrews 6,49,26
μὴν,surely,Prtcl,G3375,Hebrews 6,50,26
ἀμετάθετον,unchangeableness,Adj-ANS,G276,Hebrews 6,51,26
ἐμεσίτευσεν,guaranteed it,V-AIA-3S,G3315,Hebrews 6,52,26
καταφυγόντες,having fled for refuge,V-APA-NMP,G2703,Hebrews 6,53,26
ἄγκυραν,an anchor,N-AFS,G45,Hebrews 6,54,26
ἐσώτερον,within,Adj-ANS-C,G2082,Hebrews 6,55,26
πρόδρομος,the forerunner,Adj-NMS,G4274,Hebrews 6,56,26
Σαλήμ,of Salem,N-GFS,G4532,Hebrews 7,57,26
κοπῆς,slaughter,N-GFS,G2871,Hebrews 7,58,26
δεκάτην,a tenth,Adj-AFS,G1181,Hebrews 7,59,26
ἀπάτωρ,Without father,Adj-NMS,G540,Hebrews 7,60,26
ἀμήτωρ,without mother,Adj-NMS,G282,Hebrews 7,61,26
ἀγενεαλόγητος,without genealogy,Adj-NMS,G35,Hebrews 7,62,26
ἀφωμοιωμένος,having been made like,V-RPM/P-NMS,G871,Hebrews 7,63,26
διηνεκές,all time,Adj-ANS,G1336,Hebrews 7,64,26
ἀκροθινίων,best spoils,N-GNP,G205,Hebrews 7,65,26
πατριάρχης,patriarch,N-NMS,G3966,Hebrews 7,66,26
γενεαλογούμενος,tracing his ancestry,V-PPM/P-NMS,G1075,Hebrews 7,67,26
δεδεκάτωκεν,has collected a tenth,V-RIA-3S,G1183,Hebrews 7,68,26
ἔπος,a word,N-ANS,G2031,Hebrews 7,69,26
Λευιτικῆς,Levitical,Adj-GFS,G3020,Hebrews 7,70,26
ἱερωσύνης,priesthood,N-GFS,G2420,Hebrews 7,71,26
νενομοθέτηται,had received the Law,V-RIM/P-3S,G3549,Hebrews 7,72,26
μετάθεσις,a change,N-NFS,G3331,Hebrews 7,73,26
κατάδηλόν,evident,Adj-NNS,G2612,Hebrews 7,74,26
ἀκαταλύτου,indestructible,Adj-GFS,G179,Hebrews 7,75,26
Ἀθέτησις,A putting away,N-NFS,G115,Hebrews 7,76,26
ἐπεισαγωγὴ,the introduction,N-NFS,G1898,Hebrews 7,77,26
ὁρκωμοσίας,an oath,N-GFS,G3728,Hebrews 7,78,26
ἔγγυος,the guarantee,Adj-NMS,G1450,Hebrews 7,79,26
ἀπαράβατον,a permanent,Adj-AFS,G531,Hebrews 7,80,26
Κεφάλαιον,The sum,N-NNS,G2774,Hebrews 8,81,26
ἔπηξεν,has pitched,V-AIA-3S,G4078,Hebrews 8,82,26
