Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
τεκμηρίοις,proofs,N-DNP,G5039,Acts 1,1,27
ὀπτανόμενος,being seen,V-PPM/P-NMS,G3700,Acts 1,2,27
συναλιζόμενος,being assembled together,V-PPM/P-NMS,G4871,Acts 1,3,27
περιμένειν,to await,V-PNA,G4037,Acts 1,4,27
Ἐλαιῶνος,Olivet,N-GMS,G1638,Acts 1,5,27
ὑπερῷον,upper room,N-ANS,G5253,Acts 1,6,27
καταμένοντες,staying,V-PPA-NMP,G2650,Acts 1,7,27
προεῖπεν,spoke beforehand,V-AIA-3S,G4277,Acts 1,8,27
κατηριθμημένος,numbered,V-RPM/P-NMS,G2674,Acts 1,9,27
πρηνὴς,headlong,Adj-NMS,G4248,Acts 1,10,27
ἐλάκησεν,he burst open,V-AIA-3S,G2997,Acts 1,11,27
διαλέκτῳ,language,N-DFS,G1258,Acts 1,12,27
Ἁκελδαμάχ,Akeldama,N-ANS,G184,Acts 1,13,27
ἔπαυλις,homestead,N-NFS,G1886,Acts 1,14,27
Βαρσαββᾶν,Barsabbas,N-AMS,G923,Acts 1,15,27
Μαθθίαν,Matthias,N-AMS,G3159,Acts 1,16,27
καρδιογνῶστα,knower of the hearts,N-VMS,G2589,Acts 1,17,27
συνκατεψηφίσθη,he was numbered,V-AIP-3S,G4785,Acts 1,18,27
ἄφνω,suddenly,Adv,G869,Acts 2,19,27
πνοῆς,of a wind,N-GFS,G4157,Acts 2,20,27
βιαίας,violent,Adj-GFS,G972,Acts 2,21,27
ἀποφθέγγεσθαι,to utter forth,V-PNM/P,G669,Acts 2,22,27
συνεχύθη,was confounded,V-AIP-3S,G4797,Acts 2,23,27
Πάρθοι,Parthians,N-NMP,G3934,Acts 2,24,27
Μῆδοι,Medes,N-NMP,G3370,Acts 2,25,27
Ἐλαμῖται,Elamites,N-NMP,G1639,Acts 2,26,27
Μεσοποταμίαν,Mesopotamia,N-AFS,G3318,Acts 2,27,27
Φρυγίαν,Phrygia,N-AFS,G5435,Acts 2,28,27
Παμφυλίαν,Pamphylia,N-AFS,G3828,Acts 2,29,27
Λιβύης,of Libya,N-GFS,G3033,Acts 2,30,27
Κυρήνην,Cyrene,N-AFS,G2957,Acts 2,31,27
ἐπιδημοῦντες,visiting here,V-PPA-NMP,G1927,Acts 2,32,27
Ἄραβες,Arabs,N-NMP,G690,Acts 2,33,27
μεγαλεῖα,great things,Adj-ANP,G3167,Acts 2,34,27
διαχλευάζοντες,mocking,V-PPA-NMP,G5512,Acts 2,35,27
Γλεύκους,Of new wine,N-GNS,G1098,Acts 2,36,27
μεμεστωμένοι,full,V-RPM/P-NMP,G3325,Acts 2,37,27
ἐνωτίσασθε,give heed to,V-AMM-2P,G1801,Acts 2,38,27
Ἰωήλ,Joel,N-GMS,G2493,Acts 2,39,27
ἐνυπνίοις,dreams,N-DNP,G1798,Acts 2,40,27
ἐπιφανῆ,glorious,Adj-AFS,G2016,Acts 2,41,27
ἔκδοτον,delivered up,Adj-AMS,G1560,Acts 2,42,27
προσπήξαντες,having crucified,V-APA-NMP,G4362,Acts 2,43,27
διαφθοράν,decay,N-AFS,G1312,Acts 2,44,27
εὐφροσύνης,with joy,N-GFS,G2167,Acts 2,45,27
κατενύγησαν,they were pierced,V-AIP-3P,G2660,Acts 2,46,27
τρισχίλιαι,three thousand,Adj-NFP,G5153,Acts 2,47,27
ἀφελότητι,sincerity,N-DFS,G858,Acts 2,48,27
ἐστερεώθησαν,were strengthened,V-AIP-3P,G4732,Acts 3,49,27
βάσεις,feet,N-NFP,G939,Acts 3,50,27
σφυδρά,ankles,N-NNP,G4974,Acts 3,51,27
ἐξαλλόμενος,leaping up,V-PPM/P-NMS,G1814,Acts 3,52,27
ἔκθαμβοι,greatly amazed,Adj-NMP,G1569,Acts 3,53,27
ὁλοκληρίαν,complete soundness,N-AFS,G3647,Acts 3,54,27
προκατήγγειλεν,He foretold,V-AIA-3S,G4293,Acts 3,55,27
ἀναψύξεως,of refreshing,N-GFS,G403,Acts 3,56,27
προκεχειρισμένον,having been appointed,V-RPM/P-AMS,G4400,Acts 3,57,27
ἀποκαταστάσεως,of restoration,N-GFS,G605,Acts 3,58,27
ἐξολεθρευθήσεται,will be utterly destroyed,V-FIP-3S,G1842,Acts 3,59,27
διαπονούμενοι,being distressed,V-PPM/P-NMP,G1278,Acts 4,60,27
ἀρχιερατικοῦ,high-priestly,Adj-GNS,G748,Acts 4,61,27
ἀγράμματοί,unschooled,Adj-NMP,G62,Acts 4,62,27
διανεμηθῇ,it might spread,V-ASP-3S,G1268,Acts 4,63,27
καθόλου,at all,Adv,G2527,Acts 4,64,27
προσαπειλησάμενοι,having further threatened them,V-APM-NMP,G4324,Acts 4,65,27
ἐφρύαξαν,did rage,V-AIA-3P,G5433,Acts 4,66,27
ἐνδεής,in need,Adj-NMS,G1729,Acts 4,67,27
κτήτορες,owners,N-NMP,G2935,Acts 4,68,27
Κύπριος,a Cypriot,N-NMS,G2953,Acts 4,69,27
Ἁνανίας,Ananias,N-NMS,G367,Acts 5,70,27
Σαπφίρῃ,Sapphira,N-DFS,G4551,Acts 5,71,27
ἐξέψυξεν,he breathed his last,V-AIA-3S,G1634,Acts 5,72,27
διάστημα,afterward,N-NNS,G1292,Acts 5,73,27
πέριξ,surrounding,Adv,G4038,Acts 5,74,27
ὀχλουμένους,those being tormented,V-PPM/P-AMP,G3791,Acts 5,75,27
δημοσίᾳ,public,Adj-DFS,G1219,Acts 5,76,27
γερουσίαν,Senate,N-AFS,G1087,Acts 5,77,27
φύλακας,guards,N-AMP,G5441,Acts 5,78,27
βίας,force,N-GFS,G970,Acts 5,79,27
διεχειρίσασθε,killed,V-AIM-2P,G1315,Acts 5,80,27
διεπρίοντο,they were cut to the heart,V-IIM/P-3P,G1282,Acts 5,81,27
Γαμαλιήλ,Gamaliel,N-NMS,G1059,Acts 5,82,27
Θευδᾶς,Theudas,N-NMS,G2333,Acts 5,83,27
διελύθησαν,were dispersed,V-AIP-3P,G1262,Acts 5,84,27
θεομάχοι,fighting against God,Adj-NMP,G2314,Acts 5,85,27
Ἑλληνιστῶν,Hellenists,N-GMP,G1675,Acts 6,86,27
παρεθεωροῦντο,were being overlooked,V-IIM/P-3P,G3865,Acts 6,87,27
καθημερινῇ,daily,Adj-DFS,G2522,Acts 6,88,27
Στέφανον,Stephen,N-AMS,G4736,Acts 6,89,27
Πρόχορον,Prochorus,N-AMS,G4402,Acts 6,90,27
Νικάνορα,Nicanor,N-AMS,G3527,Acts 6,91,27
Τίμωνα,Timon,N-AMS,G5096,Acts 6,92,27
Παρμενᾶν,Parmenas,N-AMS,G3937,Acts 6,93,27
Νικόλαον,Nicolas,N-AMS,G3532,Acts 6,94,27
Ἀντιοχέα,of Antioch,N-AMS,G491,Acts 6,95,27
Λιβερτίνων,Freedmen,N-GMP,G3032,Acts 6,96,27
Ἀλεξανδρέων,Alexandrians,N-GMP,G221,Acts 6,97,27
ὑπέβαλον,they suborned,V-AIA-3P,G5260,Acts 6,98,27
συνεκίνησάν,They stirred up,V-AIA-3P,G4787,Acts 6,99,27
Χαρράν,Haran,N-DFS,G5488,Acts 7,100,27
Χαλδαίων,of Chaldeans,N-GMP,G5466,Acts 7,101,27
μετῴκισεν,He removed,V-AIA-3S,G3351,Acts 7,102,27
κατάσχεσιν,a possession,N-AFS,G2697,Acts 7,103,27
Χανάαν,Canaan,N-AFS,G5477,Acts 7,104,27
χορτάσματα,sustenance,N-ANP,G5527,Acts 7,105,27
ἀνεγνωρίσθη,was made known,V-AIP-3S,G319,Acts 7,106,27
μετεκαλέσατο,he called for,V-AIM-3S,G3333,Acts 7,107,27
Συχὲμ,Shechem,N-AFS,G4966,Acts 7,108,27
ὠνήσατο,had bought,V-AIM-3S,G5608,Acts 7,109,27
Ἑμμὼρ,of Hamor,N-GMS,G1697,Acts 7,110,27
κατασοφισάμενος,having dealt treacherously with,V-APM-NMS,G2686,Acts 7,111,27
ἔκθετα,abandon,Adj-ANP,G1570,Acts 7,112,27
ἀνετράφη,was brought up,V-AIP-3S,G397,Acts 7,113,27
ἐκτεθέντος,Having been set outside,V-APP-GMS,G1620,Acts 7,114,27
τεσσερακονταέτης,of forty years,Adj-NMS,G5063,Acts 7,115,27
ἠμύνατο,he defended him,V-AIM-3S,G292,Acts 7,116,27
ἐπιούσῃ,following,V-PPA-DFS,G1966,Acts 7,117,27
συνήλλασσεν,urged,V-IIA-3S,G4900,Acts 7,118,27
δικαστὴν,judge,N-AMS,G1348,Acts 7,119,27
Μαδιάμ,of Midian,N-GMS,G3099,Acts 7,120,27
κάκωσιν,oppression,N-AFS,G2561,Acts 7,121,27
λυτρωτὴν,redeemer,N-AMS,G3086,Acts 7,122,27
ἐμοσχοποίησαν,they made a calf,V-AIA-3P,G3447,Acts 7,123,27
σφάγια,slain beasts,N-ANP,G4968,Acts 7,124,27
Μολὸχ,of Moloch,N-GMS,G3434,Acts 7,125,27
