Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Τὸν,The,Art-AMS,G3588,Acts 1,1,27
μὲν,indeed,Prtcl,G3303,Acts 1,2,27
πρῶτον,first,Adj-AMS,G4413,Acts 1,3,27
λόγον,account,N-AMS,G3056,Acts 1,4,27
ἐποιησάμην,I composed,V-AIM-1S,G4160,Acts 1,5,27
περὶ,concerning,Prep,G4012,Acts 1,6,27
πάντων,all the things,Adj-GNP,G3956,Acts 1,7,27
ὦ,O,I,G5599,Acts 1,8,27
Θεόφιλε,Theophilus,N-VMS,G2321,Acts 1,9,27
ὧν,which,RelPro-GNP,G3739,Acts 1,10,27
ἤρξατο,began,V-AIM-3S,G756,Acts 1,11,27
Ἰησοῦς,Jesus,N-NMS,G2424,Acts 1,12,27
τε,both,Conj,G5037,Acts 1,13,27
καὶ,and,Conj,G2532,Acts 1,14,27
διδάσκειν,to teach,V-PNA,G1321,Acts 1,15,27
ἄχρι,until,Prep,G891,Acts 1,16,27
ἡμέρας,day,N-GFS,G2250,Acts 1,17,27
ἐντειλάμενος,having given orders,V-APM-NMS,G1781,Acts 1,18,27
ἀποστόλοις,apostles,N-DMP,G652,Acts 1,19,27
διὰ,by,Prep,G1223,Acts 1,20,27
Πνεύματος,the Spirit,N-GNS,G4151,Acts 1,21,27
Ἁγίου,Holy,Adj-GNS,G40,Acts 1,22,27
ἐξελέξατο,He had chosen,V-AIM-3S,G1586,Acts 1,23,27
ἀνελήμφθη,He was taken up,V-AIP-3S,G353,Acts 1,24,27
παρέστησεν,He presented,V-AIA-3S,G3936,Acts 1,25,27
ἑαυτὸν,Himself,RefPro-AM3S,G1438,Acts 1,26,27
ζῶντα,alive,V-PPA-AMS,G2198,Acts 1,27,27
μετὰ,after,Prep,G3326,Acts 1,28,27
παθεῖν,suffering,V-ANA,G3958,Acts 1,29,27
αὐτὸν,of Him,PPro-AM3S,G846,Acts 1,30,27
ἐν,with,Prep,G1722,Acts 1,31,27
πολλοῖς,many,Adj-DNP,G4183,Acts 1,32,27
τεκμηρίοις,proofs,N-DNP,G5039,Acts 1,33,27
τεσσεράκοντα,forty,Adj-GFP,G5062,Acts 1,34,27
ὀπτανόμενος,being seen,V-PPM/P-NMS,G3700,Acts 1,35,27
λέγων,speaking,V-PPA-NMS,G3004,Acts 1,36,27
βασιλείας,kingdom,N-GFS,G932,Acts 1,37,27
Θεοῦ,of God,N-GMS,G2316,Acts 1,38,27
συναλιζόμενος,being assembled together,V-PPM/P-NMS,G4871,Acts 1,39,27
παρήγγειλεν,He instructed,V-AIA-3S,G3853,Acts 1,40,27
ἀπὸ,from,Prep,G575,Acts 1,41,27
Ἱεροσολύμων,Jerusalem,N-GNP,G2414,Acts 1,42,27
μὴ,not,Adv,G3361,Acts 1,43,27
χωρίζεσθαι,to depart,V-PNM/P,G5563,Acts 1,44,27
ἀλλὰ,but,Conj,G235,Acts 1,45,27
περιμένειν,to await,V-PNA,G4037,Acts 1,46,27
ἐπαγγελίαν,promise,N-AFS,G1860,Acts 1,47,27
Πατρὸς,Father,N-GMS,G3962,Acts 1,48,27
ἠκούσατέ,you heard,V-AIA-2P,G191,Acts 1,49,27
μου,of Me,PPro-G1S,G1473,Acts 1,50,27
ὅτι,for,Conj,G3754,Acts 1,51,27
Ἰωάννης,John,N-NMS,G2491,Acts 1,52,27
ἐβάπτισεν,baptized,V-AIA-3S,G907,Acts 1,53,27
ὕδατι,with water,N-DNS,G5204,Acts 1,54,27
ὑμεῖς,you,PPro-N2P,G4771,Acts 1,55,27
δὲ,however,Conj,G1161,Acts 1,56,27
οὐ,not,Adv,G3756,Acts 1,57,27
ταύτας,these,DPro-AFP,G3778,Acts 1,58,27
οὖν,therefore,Conj,G3767,Acts 1,59,27
συνελθόντες,having come together,V-APA-NMP,G4905,Acts 1,60,27
ἠρώτων,were asking,V-IIA-3P,G2065,Acts 1,61,27
Κύριε,Lord,N-VMS,G2962,Acts 1,62,27
εἰ,if,Conj,G1487,Acts 1,63,27
χρόνῳ,time,N-DMS,G5550,Acts 1,64,27
ἀποκαθιστάνεις,are you restoring,V-PIA-2S,G600,Acts 1,65,27
Ἰσραήλ,to Israel,N-DMS,G2474,Acts 1,66,27
Εἶπεν,He said,V-AIA-3S,G2036,Acts 1,67,27
πρὸς,to,Prep,G4314,Acts 1,68,27
ἐστιν,it is,V-PIA-3S,G1510,Acts 1,69,27
γνῶναι,to know,V-ANA,G1097,Acts 1,70,27
ἢ,or,Conj,G2228,Acts 1,71,27
καιροὺς,seasons,N-AMP,G2540,Acts 1,72,27
ἔθετο,put in place,V-AIM-3S,G5087,Acts 1,73,27
ἰδίᾳ,His own,Adj-DFS,G2398,Acts 1,74,27
ἐξουσίᾳ,authority,N-DFS,G1849,Acts 1,75,27
λήμψεσθε,you will receive,V-FIM-2P,G2983,Acts 1,76,27
δύναμιν,power,N-AFS,G1411,Acts 1,77,27
ἐπελθόντος,having come,V-APA-GNS,G1904,Acts 1,78,27
ἐφ,upon,Prep,G1909,Acts 1,79,27
μάρτυρες,witnesses,N-NMP,G3144,Acts 1,80,27
Ἰερουσαλὴμ,Jerusalem,N-DFS,G2419,Acts 1,81,27
Ἰουδαίᾳ,Judea,N-DFS,G2449,Acts 1,82,27
Σαμαρείᾳ,Samaria,N-DFS,G4540,Acts 1,83,27
ἕως,to,Prep,G2193,Acts 1,84,27
ἐσχάτου,the uttermost part,Adj-GNS,G2078,Acts 1,85,27
γῆς,earth,N-GFS,G1093,Acts 1,86,27
βλεπόντων,beholding,V-PPA-GMP,G991,Acts 1,87,27
ἐπήρθη,He was taken up,V-AIP-3S,G1869,Acts 1,88,27
νεφέλη,a cloud,N-NFS,G3507,Acts 1,89,27
ὑπέλαβεν,hid,V-AIA-3S,G5274,Acts 1,90,27
ὀφθαλμῶν,eyes,N-GMP,G3788,Acts 1,91,27
ὡς,as,Adv,G5613,Acts 1,92,27
ἀτενίζοντες,looking intently,V-PPA-NMP,G816,Acts 1,93,27
εἰς,into,Prep,G1519,Acts 1,94,27
οὐρανὸν,heaven,N-AMS,G3772,Acts 1,95,27
πορευομένου,as was going,V-PPM/P-GMS,G4198,Acts 1,96,27
ἰδοὺ,behold,V-AMA-2S,G2400,Acts 1,97,27
ἄνδρες,men,N-NMP,G435,Acts 1,98,27
δύο,two,Adj-NMP,G1417,Acts 1,99,27
ἐσθήσεσι,apparel,N-DFP,G2066,Acts 1,100,27
λευκαῖς,white,Adj-DFP,G3022,Acts 1,101,27
Γαλιλαῖοι,Galileans,N-VMP,G1057,Acts 1,102,27
τί,why,IPro-ANS,G5101,Acts 1,103,27
ἑστήκατε,do you stand,V-RIA-2P,G2476,Acts 1,104,27
οὕτως,thus,Adv,G3779,Acts 1,105,27
ἐλεύσεται,will come,V-FIM-3S,G2064,Acts 1,106,27
τρόπον,manner,N-AMS,G5158,Acts 1,107,27
ἐθεάσασθε,you beheld,V-AIM-2P,G2300,Acts 1,108,27
Τότε,Then,Adv,G5119,Acts 1,109,27
ὑπέστρεψαν,they returned,V-AIA-3P,G5290,Acts 1,110,27
ὄρους,the mount,N-GNS,G3735,Acts 1,111,27
καλουμένου,called,V-PPM/P-GNS,G2564,Acts 1,112,27
Ἐλαιῶνος,Olivet,N-GMS,G1638,Acts 1,113,27
ἐγγὺς,near,Prep,G1451,Acts 1,114,27
σαββάτου,a Sabbath day’s,N-GNS,G4521,Acts 1,115,27
ἔχον,holding,V-PPA-NNS,G2192,Acts 1,116,27
ὁδόν,journey,N-AFS,G3598,Acts 1,117,27
ὅτε,when,Adv,G3753,Acts 1,118,27
εἰσῆλθον,they had entered,V-AIA-3P,G1525,Acts 1,119,27
